,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.18,0.13,0.97,0.38,0.25,0.97,0.61,1.24,0.43,1.96,0.77,0.3,0.3,1.1,1.17,0.66
PRES_0_1,1.0,1.01,,,0.96,0.39,0.23,0.98,0.59,1.25,0.44,1.97,0.79,0.31,0.28,1.1,1.19,0.67
PRES_0_0,1.0,,12.41,,1.05,,,0.93,1.63,0.43,,1.69,,,1.21,1.27,0.43,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.19,0.14,1.05,0.01,,0.93,0.66,1.23,0.47,1.96,0.67,0.33,0.32,1.1,1.19,0.68
DEWP_1_0,0.98,0.99,,,,4.44,0.8,1.46,0.1,1.33,,1.96,1.85,,,1.08,0.95,0.43
DEWP_0_0,0.97,0.78,,,,2.78,21.89,0.81,,1.73,,1.71,3.02,,,1.24,1.19,
WSPM_0_1,1.0,0.99,0.15,,0.92,0.57,0.23,1.62,0.11,1.15,,2.22,0.67,,0.1,1.12,1.14,0.7
WSPM_0_2,1.0,0.97,0.44,0.69,1.04,0.05,,0.14,2.71,0.46,0.04,1.02,0.06,,,1.11,1.11,0.4
WSPM_0_0,1.0,1.0,,,0.96,0.42,0.4,0.91,0.22,3.06,0.11,3.91,1.39,,0.37,1.1,1.26,0.81
WSPM_0_3,1.0,1.01,,,1.05,,,,0.1,0.33,4.13,0.6,,,,0.96,1.41,1.43
WSPM_1_0,1.0,1.0,,,0.96,0.4,,1.04,0.32,2.22,0.15,2.83,0.8,,,1.1,1.2,0.69
WSPM_1_1,1.0,1.01,,,0.81,1.07,1.35,1.14,,1.66,,1.49,5.11,,,1.07,1.28,
WSPM_0_4,1.0,1.01,,,1.05,,,,,,,0.36,,6.69,,1.04,1.06,
WSPM_1_2,1.0,0.91,,,1.05,,,0.62,,1.56,,1.0,,,12.08,1.24,0.61,
PM10_0,1.0,0.99,0.26,0.19,0.96,0.42,0.34,0.99,0.61,1.3,0.37,2.04,0.87,0.3,0.43,1.25,0.85,0.35
PM10_1,1.0,1.0,,,1.0,0.24,,0.93,0.64,1.09,0.58,1.75,0.58,0.23,,0.85,1.96,1.12
PM10_2,1.0,1.01,,,1.03,,,0.96,,1.25,1.02,1.99,,,,0.52,2.02,11.16
