,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.99,0.97,0.88,0.84,0.83,0.82,0.77,0.81,0.76,0.84,0.8,0.79,0.84,0.79,0.84,0.61,0.63,0.67,0.74,0.64,0.53,0.67,0.65,0.56,0.93,0.69,0.53,,0.44,0.71,0.48,0.5,0.48,0.73,0.51,0.55,,0.45,0.46,0.55,0.66,,0.46,0.35,,0.48,,,,,,0.52,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.16,1.63,1.23,1.49,1.48,1.49,1.45,1.48,1.47,1.73,0.4,1.64,1.15
E_0,1.01,1.0,0.99,0.91,0.87,0.88,0.84,0.83,0.82,0.81,0.82,0.79,0.79,0.83,0.73,0.84,0.68,0.69,0.42,0.72,0.63,0.5,0.57,0.54,0.45,0.68,0.63,0.48,,0.37,0.6,0.58,0.55,0.59,0.77,0.56,0.51,,,0.6,0.53,0.62,,0.42,,0.69,0.52,,,,,,0.52,0.38,,0.47,,0.49,,,,0.44,0.41,,0.51,,,,,,,,,,,,,,,,,,,,,,,1.66,1.14,1.66,1.21,1.5,1.49,1.49,1.48,1.5,1.5,1.75,0.4,1.65,1.18
NE_0,1.02,1.0,1.0,0.95,0.91,0.87,0.83,0.84,0.89,0.78,0.85,0.81,0.8,0.88,0.8,0.9,0.64,0.64,0.62,0.59,0.71,0.58,0.65,0.58,0.65,0.96,0.82,0.56,0.49,0.5,0.78,0.52,0.49,0.51,0.7,0.5,0.53,0.56,0.49,0.58,0.41,0.46,,0.57,0.49,,0.53,,,,,,0.53,0.49,,,,,0.4,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.22,1.68,1.3,1.52,1.52,1.55,1.49,1.54,1.51,1.79,0.56,1.68,1.14
ESE_0,1.11,1.08,1.05,1.0,0.87,0.94,0.96,0.85,0.84,0.85,0.9,0.9,0.83,0.85,0.79,0.77,0.72,0.63,,0.69,0.67,0.53,0.57,0.65,0.55,0.72,0.59,0.56,,,0.58,0.54,0.53,,0.67,0.58,0.66,,,0.57,0.47,0.64,,0.36,,,0.51,,,,,,0.52,0.48,,0.48,,,,,,0.53,,,0.44,,,,,,,,,,,,,,,,,,,,,,,1.77,1.2,1.76,1.25,1.6,1.56,1.59,1.57,1.58,1.58,1.85,0.39,1.75,1.3
SW_0,1.22,1.15,1.09,1.11,1.0,1.07,1.1,1.0,1.06,1.01,1.04,0.95,1.0,0.92,0.97,0.82,0.84,0.76,,0.57,0.71,0.71,0.62,0.72,0.78,0.53,0.59,0.6,,,0.41,,,0.66,0.5,,0.56,,,0.55,0.63,0.49,,,,0.36,,,,,,0.45,0.33,,,0.37,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.26,1.89,1.23,1.75,1.67,1.67,1.77,1.67,1.73,1.99,0.44,1.89,1.5
SE_0,1.21,1.15,1.16,1.08,0.98,1.0,1.08,0.96,0.91,0.94,0.9,1.02,0.96,0.9,0.79,0.84,1.06,0.76,,0.78,0.79,,0.56,0.83,0.63,0.58,0.59,0.51,,,0.46,,0.67,0.7,,0.66,,,,0.48,0.61,0.6,,0.55,,,,,,,,,0.52,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.27,1.93,1.33,1.76,1.69,1.71,1.74,1.7,1.71,2.0,0.38,1.9,1.5
N_0,1.17,1.15,1.16,1.03,0.94,0.93,1.0,0.89,0.99,0.9,0.95,0.98,0.85,0.86,0.88,0.82,0.75,0.81,0.84,0.82,0.81,0.77,0.71,,0.65,0.64,0.61,0.61,0.82,0.73,,0.71,0.54,,0.5,,0.61,0.57,0.65,,,,,,,,,,0.52,,,,0.49,,,,0.52,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.6,1.88,1.62,1.75,1.71,1.78,1.67,1.79,1.68,2.01,,1.9,1.34
SSW_0,1.3,1.25,1.25,1.18,1.03,1.04,1.17,1.0,1.01,0.99,0.97,1.12,0.97,0.92,0.96,0.84,1.05,0.82,,0.8,0.76,0.65,0.6,0.47,,0.44,0.67,0.65,,,0.38,,0.82,0.64,0.41,0.76,0.59,,,0.53,0.57,0.46,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,1.3,1.93,1.3,1.79,1.73,1.71,1.84,1.71,1.74,2.03,,1.93,1.52
NW_0,1.2,1.22,1.13,1.22,0.94,1.1,1.02,1.07,1.0,0.97,0.95,0.97,1.01,0.92,0.92,0.9,0.61,0.88,0.8,0.7,,0.72,0.7,0.84,0.75,0.49,,,0.57,0.75,,0.6,0.59,,0.5,,,0.56,0.55,,,,,,,,,,0.43,,,,0.5,,,,0.53,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,2.03,1.91,1.81,1.77,1.74,1.86,1.71,1.9,1.72,2.06,,1.95,1.45
S_0,1.3,1.28,1.26,1.21,1.01,1.09,1.11,1.01,1.08,1.0,0.98,1.2,0.97,0.93,0.98,0.8,0.92,0.88,,0.87,0.65,,0.41,0.59,,0.4,0.39,0.57,,,0.48,,0.6,,,0.72,,,,0.63,0.56,0.67,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.32,2.01,1.35,1.84,1.78,1.77,1.86,1.77,1.79,2.09,,1.98,1.56
