,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.73,0.41,0.99,0.81,0.43,0.79,0.79,0.46,0.78,0.34,0.46,0.75,0.53,0.85,0.64,0.31
PRES_0_1,1.0,0.99,,,0.99,0.8,0.45,0.79,0.8,0.46,0.77,0.34,0.46,0.75,0.55,0.85,0.64,0.31
PRES_0_0,2.77,,0.25,,2.63,,,2.05,1.41,1.93,,0.93,,,0.68,2.21,2.6,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.7,0.4,0.97,4.5,,0.82,0.77,0.48,0.76,0.35,0.52,0.74,0.52,0.86,0.64,0.32
DEWP_1_0,1.75,1.74,,,,0.41,0.22,1.12,4.91,0.76,,0.58,0.49,,,1.47,1.22,0.82
DEWP_0_0,3.94,3.67,,,,1.32,0.19,2.43,,1.1,,0.89,1.01,,,3.14,2.6,
WSPM_0_1,1.21,1.21,0.97,,1.22,0.8,0.43,0.75,2.11,0.56,5.96,0.39,0.53,2.0,0.77,1.02,0.75,0.39
WSPM_0_2,1.47,1.49,0.59,0.3,1.4,2.31,,2.44,0.56,1.06,2.2,0.69,0.83,,,1.22,0.88,0.48
WSPM_0_0,1.64,1.63,,,1.63,1.32,0.67,1.36,1.66,0.51,2.15,0.4,0.77,,0.78,1.37,1.16,0.46
WSPM_0_3,1.71,1.69,,,1.62,,,2.83,4.42,1.59,0.44,0.95,,,,1.55,1.01,0.41
WSPM_1_0,1.75,1.74,,,1.73,1.39,,1.31,1.81,0.66,2.01,0.51,1.17,,,1.44,1.18,0.54
WSPM_1_1,1.98,1.96,,,2.11,1.03,0.43,1.44,,0.63,,0.54,0.38,,,1.66,1.42,0.55
WSPM_0_4,2.05,2.03,,,1.94,,,8.81,,,,2.12,,0.33,,1.77,1.42,
WSPM_1_2,2.83,2.75,,,2.69,,,3.29,,1.08,,1.37,,,0.25,2.25,5.99,
PM10_0,1.09,1.1,0.67,0.37,1.09,0.85,0.45,0.85,0.87,0.52,0.95,0.37,0.54,0.82,0.54,0.88,0.79,0.55
PM10_1,1.32,1.31,,,1.29,1.29,,1.08,1.04,0.56,0.84,0.43,0.52,1.17,,1.24,0.67,0.28
PM10_2,2.9,2.87,,,2.79,,,2.67,,1.21,1.29,0.88,,,,2.88,1.6,0.23
