,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.75,0.61,,,,,1.69,0.81,1.85,0.58,,,,1.67,1.07,0.58,0.09,0.09,,1.27,1.01,0.87,1.46,1.99,3.51,1.9,1.09,0.82,,1.1,1.55,1.6
TEMP_0_0,0.6,2.82,,,,,0.67,2.06,1.01,0.95,,,,0.96,1.97,0.03,1.24,1.83,,1.22,1.19,1.23,0.42,1.97,2.62,1.57,1.95,1.23,,1.16,1.42,1.54
TEMP_1_1,,,5.52,,,,1.83,,1.1,,5.63,,,0.53,0.08,4.4,,,,0.98,2.07,0.56,0.59,2.45,4.72,1.24,0.37,,,1.51,1.22,0.09
TEMP_0_2,,,,13.85,,,0.11,,,3.07,,10.95,,0.81,1.39,,,4.74,,0.39,0.78,0.59,3.69,2.26,2.78,1.29,1.64,,,1.12,1.13,2.21
TEMP_0_1,,,,,17.67,,0.24,0.72,0.24,4.57,,3.67,,0.07,,,9.65,,,0.37,0.22,3.32,,2.59,2.8,1.69,1.13,6.83,,1.01,1.47,3.42
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.58,0.62,1.7,0.09,0.13,,3.44,0.1,0.83,,,,,1.43,0.51,1.57,0.19,0.19,,1.15,1.3,0.97,1.28,1.78,3.57,0.98,0.92,0.61,,1.03,1.65,1.7
PRES_1_1,1.01,2.21,,,0.68,,0.12,3.54,0.03,,,,,0.91,1.51,,1.7,2.15,,1.14,1.22,1.33,0.44,1.96,3.12,1.91,1.79,1.32,,1.17,1.36,1.65
PRES_1_0,1.73,1.21,0.94,,,,0.81,0.02,4.8,,,,,1.44,1.32,1.02,0.3,,,0.91,1.14,1.01,1.45,2.15,3.07,1.55,1.3,0.82,,1.34,1.35,0.73
PRES_1_2,0.82,1.19,,2.99,4.55,,,,,8.3,,,,0.89,2.4,,2.42,,,1.09,0.68,0.97,1.16,3.29,3.55,2.43,1.64,2.25,,1.2,1.42,1.37
PRES_0_1,,,5.48,,,,,,,,15.87,,,,,5.79,,,,1.64,2.07,,,2.68,4.71,1.62,,,,1.48,1.25,
PRES_1_3,,,,10.98,3.71,,,,,,,17.81,,0.28,0.8,,2.08,6.11,,0.48,1.01,1.54,2.0,1.34,2.15,1.76,1.35,2.05,,1.18,0.8,3.48
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.82,1.08,0.55,0.74,0.05,,1.6,0.86,1.6,0.8,,0.22,,2.21,0.44,,,,,1.33,0.85,1.24,1.71,1.22,2.51,0.63,0.25,,,0.95,1.71,2.06
DEWP_0_0,1.2,2.01,0.05,1.25,,,0.53,1.39,1.15,2.13,,0.71,,0.4,5.07,,,,,0.61,1.71,0.62,0.32,3.78,4.8,3.57,3.21,1.72,,1.54,0.88,0.28
DEWP_1_1,0.56,0.03,4.42,,,,1.71,,1.22,,5.95,,,,,5.83,,,,1.04,2.33,0.26,0.62,2.23,4.72,1.07,0.39,,,1.38,1.53,0.17
DEWP_0_2,0.16,1.31,,,9.65,,0.42,1.75,0.59,2.43,,2.06,,,,,9.91,,,1.04,0.32,2.46,,2.48,2.85,2.13,1.53,3.83,,1.14,1.25,2.93
DEWP_0_1,0.2,1.91,,4.75,,,0.24,2.2,,,,6.13,,,,,,11.05,,1.02,0.73,0.99,1.03,2.44,2.24,2.79,3.86,4.09,,1.34,0.99,1.69
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.36,1.36,0.89,0.33,0.33,,1.19,1.13,1.14,1.0,1.49,0.4,,1.27,0.78,0.94,0.95,0.91,,4.03,0.17,,,0.34,2.06,0.31,,,,1.16,1.64,1.05
WSPM_0_1,0.94,1.14,1.78,0.67,0.18,,1.21,1.01,1.02,0.55,1.86,0.87,,0.8,1.53,1.99,0.26,0.56,,0.08,4.07,,,1.5,4.36,1.13,0.53,,,1.48,1.11,0.28
WSPM_0_3,0.96,1.35,0.55,0.55,3.12,,1.08,1.32,1.18,0.93,,1.45,,1.22,0.7,0.24,2.35,0.95,,,0.05,5.37,,0.36,1.09,0.42,,,,0.72,1.79,3.59
WSPM_0_4,1.59,0.62,0.57,3.65,,,1.47,0.42,1.75,1.2,,1.92,,1.7,0.46,0.6,,1.04,,,,,7.89,0.22,0.71,,,,,0.7,2.07,3.04
WSPM_0_0,1.08,1.08,1.26,1.13,1.23,,1.01,0.82,1.21,1.72,1.56,0.62,,0.66,1.94,1.11,1.17,1.04,,0.28,0.77,0.2,,11.86,12.59,3.7,1.84,,,1.59,0.75,0.39
WSPM_1_0,1.33,0.9,1.47,0.89,0.83,,1.16,0.88,1.42,1.13,1.43,0.6,,0.85,1.75,1.43,0.77,0.57,,0.45,1.7,0.35,0.28,7.78,9.91,1.49,0.82,,,1.46,0.97,0.53
WSPM_1_1,1.24,1.35,0.72,0.7,1.18,,0.88,1.24,1.04,1.54,0.94,1.0,,0.65,2.21,0.73,1.42,1.73,,0.61,0.85,0.43,,6.11,2.93,19.71,,,,1.68,0.76,
WSPM_1_2,1.11,1.52,0.3,1.3,0.91,,1.06,1.31,1.14,1.24,,1.14,,0.44,2.45,0.32,1.17,3.05,,,0.44,,,2.98,1.23,,24.61,,,1.68,0.62,
WSPM_1_3,0.68,1.27,,,6.4,,0.85,1.2,0.82,1.98,,2.2,,,1.59,,3.58,3.72,,,,,,1.86,,,,69.2,,1.7,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.06,1.15,1.26,1.02,0.79,,0.97,1.02,1.31,1.02,1.25,1.07,,0.85,1.55,1.12,0.96,1.2,,1.03,1.53,0.58,0.5,3.18,4.63,2.55,2.2,1.8,,1.73,0.65,0.17
PM10_1,1.33,1.21,0.82,0.82,0.97,,1.4,1.01,1.13,1.04,0.92,0.45,,1.31,0.79,1.09,0.76,0.63,,1.29,0.92,1.39,1.57,0.87,1.89,0.51,0.13,,,0.62,2.72,1.32
PM10_2,1.3,1.23,,1.62,2.48,,1.54,1.11,0.81,0.81,,2.71,,1.45,0.21,,2.23,1.19,,0.69,0.09,2.77,2.34,,0.5,,,,,0.03,1.29,10.21
