,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.71,1.0,0.98,0.64,0.84,0.91,0.49,0.94,0.3,0.58,0.97,0.76,0.84,0.66,0.38
PRES_0_1,1.01,0.99,,,1.01,0.97,0.73,0.84,0.94,0.48,0.94,0.3,0.57,0.96,0.83,0.85,0.65,0.38
PRES_0_0,5.6,,0.08,,5.29,,,5.21,2.11,,,2.11,,,0.74,3.77,13.63,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.04,1.04,0.97,0.68,0.95,,,0.91,0.87,0.51,0.89,0.31,0.71,0.92,0.74,0.88,0.66,0.39
DEWP_1_0,2.73,2.69,,,,0.22,0.32,1.49,20.99,1.24,,0.84,0.63,,,2.22,2.34,
DEWP_0_0,10.03,10.83,,,,,0.05,11.24,,1.88,,,1.09,,,6.75,,
WSPM_0_1,1.4,1.4,1.71,,1.47,0.9,1.07,0.63,21.09,1.35,,0.51,1.18,,,1.17,0.9,0.63
WSPM_0_2,1.97,2.03,0.75,0.26,1.83,12.26,,28.41,0.37,4.56,,1.52,,,,1.68,1.22,0.97
WSPM_0_0,2.42,2.39,,,2.43,2.24,,3.06,7.28,0.33,10.81,0.26,1.18,,2.13,2.0,1.64,0.58
WSPM_0_3,2.6,2.56,,,2.38,,,,,8.61,0.24,2.94,,,,2.63,1.36,0.49
WSPM_1_0,2.7,2.69,,,2.7,2.6,,2.5,5.2,0.53,8.32,0.41,2.57,,,2.13,2.0,0.88
WSPM_1_1,3.37,3.32,,,3.96,1.34,0.39,4.24,,0.67,,0.92,0.2,,,2.66,2.75,
WSPM_0_4,3.57,3.51,,,3.27,,,,,,,,,0.15,,3.11,2.91,
WSPM_1_2,5.77,6.1,,,5.47,,,,,2.84,,,,,0.09,3.88,17.63,
PM10_0,1.17,1.18,0.82,0.56,1.18,1.07,0.59,0.96,1.1,0.57,1.33,0.36,0.67,1.15,0.66,0.81,1.35,1.5
PM10_1,1.64,1.62,,,1.59,2.36,,1.42,1.41,0.8,1.1,0.48,0.95,2.05,,2.39,0.52,0.33
PM10_2,6.63,6.52,,,6.22,,,6.15,,3.35,2.27,2.16,,,,11.22,2.54,0.09
