,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.43,,0.98,0.61,0.33,0.84,0.71,0.64,0.62,0.61,0.54,0.53,0.42,0.92,0.78,0.39
PRES_0_1,1.0,1.0,,,0.99,0.61,0.34,0.85,0.71,0.65,0.62,0.61,0.55,0.53,0.42,0.93,0.78,0.39
PRES_0_0,2.33,,1.0,,2.3,,,1.96,1.68,,,,,,0.98,2.15,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.44,,1.0,,,0.86,0.72,0.66,0.63,0.62,0.56,0.54,0.43,0.94,0.79,0.4
DEWP_1_0,1.65,1.64,,,,1.0,,1.39,1.21,1.07,,1.0,0.9,,,1.52,1.3,
DEWP_0_0,3.0,2.95,,,,,1.0,,,,,,1.55,,,2.73,,
WSPM_0_1,1.18,1.18,0.51,,1.16,0.72,,1.0,,,,0.75,0.52,,,1.1,0.92,0.51
WSPM_0_2,1.4,1.4,0.59,,1.38,0.83,,,1.0,,,0.88,,,,1.3,1.08,
WSPM_0_0,1.55,1.55,,,1.52,0.93,,,,1.0,,0.92,1.03,,,1.44,1.2,
WSPM_0_3,1.61,1.61,,,1.58,,,,,,1.0,0.94,,,,1.5,1.25,0.66
WSPM_1_0,1.64,1.64,,,1.61,1.0,,1.33,1.14,1.09,1.06,1.0,,,,1.48,1.4,
WSPM_1_1,1.84,1.83,,,1.8,1.11,0.65,1.91,,0.97,,,1.0,,,1.67,1.51,
WSPM_0_4,1.89,1.88,,,1.86,,,,,,,,,1.0,,1.74,1.48,
WSPM_1_2,2.36,2.35,1.02,,2.34,,,,,,,,,,1.0,2.16,,
PM10_0,1.08,1.08,0.46,,1.06,0.66,0.37,0.91,0.77,0.69,0.67,0.67,0.6,0.58,0.46,1.0,0.84,
PM10_1,1.28,1.28,,,1.26,0.77,,1.09,0.93,0.83,0.8,0.71,0.66,0.67,,1.19,1.0,0.49
PM10_2,2.57,2.57,,,2.53,,,1.97,,,1.52,,,,,,2.05,1.0
