,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.98,0.01,,0.92,0.09,0.01,0.65,0.25,0.48,0.11,0.65,0.19,0.05,0.03,0.92,0.67,0.06
PRES_0_1,1.0,1.0,,,0.91,0.09,0.01,0.65,0.24,0.49,0.11,0.65,0.19,0.05,0.03,0.92,0.68,0.06
PRES_0_0,1.0,,0.99,,1.0,,,0.65,0.71,0.18,,0.61,,,0.09,1.0,0.31,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.02,,1.0,0.01,,0.63,0.27,0.48,0.12,0.65,0.17,0.05,0.03,0.93,0.68,0.06
DEWP_1_0,0.98,0.98,,,,0.98,0.05,0.93,0.05,0.52,,0.65,0.45,,,0.87,0.58,0.03
DEWP_0_0,0.82,0.62,,,,0.62,0.72,0.41,,0.49,,0.51,0.49,,,0.82,0.69,0.36
WSPM_0_1,1.0,0.98,0.01,,0.87,0.13,0.01,0.98,0.1,0.55,0.02,0.81,0.22,,0.01,0.94,0.67,0.06
WSPM_0_2,1.0,0.97,0.04,0.02,0.99,0.01,,0.2,0.98,0.25,0.02,0.41,0.03,,0.01,0.93,0.61,0.03
WSPM_0_0,0.99,0.99,,,0.91,0.1,0.03,0.72,0.08,0.84,0.03,0.91,0.27,,0.05,0.93,0.7,0.09
WSPM_0_3,1.0,1.0,,,1.0,,,0.06,0.07,0.17,0.99,0.24,,,,0.85,0.76,0.11
WSPM_1_0,1.0,0.99,,,0.91,0.09,,0.72,0.12,0.67,0.04,0.75,0.2,,0.02,0.92,0.68,0.09
WSPM_1_1,1.0,1.0,,,0.77,0.24,0.05,0.76,0.1,0.56,,0.58,0.84,,0.04,0.91,0.76,0.07
WSPM_0_4,1.0,1.0,,,1.0,,,0.11,,,,0.15,,0.99,,0.85,0.65,
WSPM_1_2,1.0,0.9,,,1.0,,,0.5,,0.52,,0.47,0.19,,0.92,1.0,0.55,
PM10_0,1.0,0.98,0.02,,0.91,0.1,0.02,0.66,0.25,0.5,0.1,0.67,0.21,0.05,0.04,0.99,0.56,0.04
PM10_1,1.0,0.99,,,0.94,0.05,0.01,0.61,0.26,0.43,0.15,0.6,0.16,0.04,,0.82,0.96,0.1
PM10_2,1.0,1.0,,,0.97,,,0.63,,0.45,0.24,0.65,,,,0.74,0.97,0.69
