,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.82,0.81,0.8,0.74,0.75,0.71,0.7,0.71,0.75,0.68,0.76,0.64,0.68,0.75,0.71,0.73,0.57,0.62,0.83,0.72,0.62,0.71,0.67,0.8,0.57,0.9,0.69,0.6,0.75,0.51,0.69,0.52,0.55,0.61,0.86,0.51,0.6,0.59,0.53,0.53,0.56,0.86,,0.55,0.47,,0.51,,,,,,0.48,0.58,,0.36,,0.57,,,0.63,0.56,0.49,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.18,1.8,1.24,1.68,1.65,1.67,1.63,1.67,1.68,1.94,0.37,1.76,1.2
E_0,0.83,0.82,0.83,0.74,0.76,0.72,0.73,0.74,0.77,0.7,0.75,0.65,0.67,0.74,0.68,0.75,0.64,0.66,0.58,0.76,0.63,0.69,0.66,0.67,0.52,0.74,0.61,0.49,,0.48,0.59,0.66,0.61,0.7,0.99,0.62,0.57,,0.67,0.65,0.56,0.64,,0.43,,0.75,0.59,,,,,,0.57,0.45,,0.53,,0.53,,,0.71,0.46,0.52,,0.55,,,,,,,,,,,,,,,,,,,,,,,1.85,1.16,1.84,1.21,1.68,1.68,1.66,1.69,1.67,1.73,1.96,0.38,1.78,1.22
NE_0,0.85,0.84,0.82,0.81,0.82,0.76,0.7,0.78,0.79,0.7,0.75,0.64,0.7,0.79,0.75,0.77,0.56,0.61,0.81,0.59,0.73,0.69,0.64,0.69,0.64,0.96,0.85,0.6,0.68,0.58,0.83,0.52,0.54,0.74,0.76,0.63,0.6,0.68,0.69,0.58,0.49,0.57,,0.65,0.61,,0.58,,,,,,0.47,0.66,,,,,0.44,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.28,1.86,1.34,1.75,1.68,1.78,1.66,1.76,1.72,2.0,0.57,1.82,1.21
ESE_0,0.94,0.89,0.92,0.81,0.79,0.77,0.87,0.76,0.84,0.72,0.83,0.77,0.69,0.77,0.74,0.71,0.71,0.62,,0.71,0.65,0.72,0.71,0.72,0.62,0.85,0.54,0.63,,0.55,0.56,0.67,0.57,0.93,0.89,0.59,0.8,,,0.54,0.5,0.7,,0.37,,,0.72,,,,,,0.61,0.53,,0.52,,0.59,,,,0.6,,,0.45,,,,,,,,,,,,,,,,,,,,,,,1.98,1.23,1.97,1.28,1.79,1.81,1.77,1.83,1.76,1.87,2.1,0.37,1.91,1.32
SW_0,1.08,1.04,1.01,0.96,0.8,0.93,1.02,0.8,1.01,0.81,1.01,0.85,0.84,0.73,0.89,0.68,0.83,0.83,1.04,0.66,0.74,0.79,0.63,0.77,0.8,0.51,0.73,0.56,,0.84,0.5,0.65,0.59,0.8,0.52,0.65,0.71,,0.92,0.56,0.72,0.52,,,,0.42,,,,,,0.6,0.36,,,0.42,,,,0.47,0.35,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.4,2.12,1.34,1.95,1.97,1.88,2.11,1.89,2.05,2.28,0.48,2.08,1.49
SE_0,1.06,0.99,1.02,0.88,0.87,0.8,0.99,0.83,0.91,0.78,0.91,0.91,0.76,0.84,0.8,0.78,1.03,0.83,,0.87,0.76,0.89,0.65,0.85,0.84,0.69,0.58,0.61,,,0.49,,0.74,0.81,,0.65,0.95,,,0.5,0.58,0.68,,0.55,,,,,,,,,0.52,0.5,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,1.35,2.17,1.4,1.98,1.98,1.96,2.07,1.91,2.05,2.3,0.34,2.1,1.53
N_0,1.04,1.02,1.01,0.93,0.89,0.9,0.8,0.87,0.83,0.89,0.77,0.78,0.84,0.78,0.75,0.72,0.68,0.86,0.9,0.84,0.97,0.75,0.76,0.79,0.61,0.66,0.75,0.73,0.97,0.68,,0.65,0.73,,0.55,,0.75,0.57,0.68,,0.61,,,,,,,,0.56,,,,0.51,,,,0.58,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,1.83,2.1,1.81,2.04,1.93,2.13,1.91,2.13,1.92,2.32,,2.11,1.33
SSW_0,1.15,1.09,1.12,1.01,0.82,0.89,1.08,0.79,1.02,0.77,0.94,0.99,0.78,0.77,0.93,0.74,1.11,0.82,,0.97,0.79,1.0,0.61,0.49,1.38,0.48,0.79,0.63,,,0.47,,0.86,0.86,0.47,0.97,0.77,,,0.53,0.6,0.52,,0.66,,,,,,,,0.63,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,1.41,2.16,1.41,1.98,2.07,1.91,2.25,1.92,2.11,2.33,,2.13,1.51
NW_0,1.13,1.15,1.03,1.17,0.9,1.12,0.84,1.08,0.78,1.05,0.75,0.84,1.04,0.84,0.7,0.77,0.61,1.0,0.76,0.77,1.2,0.63,0.79,0.94,0.83,0.61,,0.82,0.6,0.66,,0.6,0.79,,0.53,,,0.52,0.47,,,,,,,,,,0.43,,,,0.45,,,,0.54,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,2.61,2.14,2.15,2.13,1.91,2.25,1.94,2.39,1.9,2.38,,2.19,1.39
S_0,1.16,1.11,1.17,1.01,0.84,0.9,1.09,0.81,1.09,0.79,0.99,1.07,0.76,0.82,0.99,0.72,0.92,0.99,,0.94,0.72,1.09,0.48,0.65,,0.47,0.47,0.57,,,0.5,,0.77,,,0.8,,,,0.67,0.57,0.68,,0.74,,,,,,,,,0.6,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,1.45,2.27,1.45,2.05,2.16,1.98,2.28,1.99,2.22,2.42,,2.2,1.57
