,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.99,0.47,,,,0.03,0.6,0.24,0.48,0.07,,,0.03,0.83,0.24,0.1,0.01,0.01,0.03,0.37,0.33,0.19,0.2,0.25,0.4,0.13,0.06,0.01,0.03,0.74,0.76,0.25
TEMP_0_0,0.55,0.99,0.01,,,,0.28,0.62,0.25,0.12,,,,0.5,0.51,0.01,0.12,0.17,,0.36,0.4,0.25,0.06,0.33,0.44,0.19,0.13,0.02,,0.82,0.7,0.2
TEMP_1_1,,,0.99,,,,0.57,,0.3,,0.37,,,0.24,0.03,0.75,,,,0.31,0.6,0.11,0.08,0.34,0.61,0.12,0.02,,,0.97,0.62,0.02
TEMP_0_2,,,,1.0,,,0.05,,,0.39,,0.61,,0.42,0.32,,,0.43,,0.14,0.23,0.13,0.48,0.26,0.35,0.14,0.1,,,0.73,0.58,0.26
TEMP_0_1,,,,,1.0,,0.14,0.23,0.11,0.55,,0.21,,0.06,,,0.97,,,0.12,0.08,0.7,,0.31,0.34,0.14,0.07,0.12,,0.74,0.78,0.52
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.6,0.34,0.32,0.01,0.01,0.03,0.98,0.09,0.35,0.01,,,0.03,0.67,0.16,0.28,0.02,0.02,0.03,0.33,0.41,0.21,0.17,0.25,0.44,0.09,0.05,0.01,0.03,0.76,0.77,0.22
PRES_1_1,0.55,0.85,,,0.04,,0.13,0.99,0.04,,,,,0.47,0.34,,0.17,0.19,,0.35,0.39,0.28,0.07,0.3,0.44,0.17,0.11,0.02,,0.78,0.71,0.25
PRES_1_0,0.76,0.55,0.18,,,,0.5,0.03,0.98,,,,,0.74,0.37,0.19,0.03,,,0.27,0.38,0.21,0.2,0.33,0.46,0.14,0.09,0.02,,0.89,0.7,0.11
PRES_1_2,0.52,0.51,,0.22,0.26,,0.05,,,1.0,,,,0.52,0.54,,0.24,,,0.33,0.25,0.2,0.15,0.39,0.44,0.22,0.11,0.04,,0.81,0.69,0.22
