,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.29,,,,,0.87,0.63,0.25,0.35,0.46,,0.97,0.41,0.29,0.56,,0.65,0.74,0.51,1.1,0.59,0.69,1.56,0.53,0.39,,1.06,1.09,0.78
TEMP_0_1,,2.52,,,,0.37,0.87,0.85,0.64,0.66,,1.19,,,,,0.56,0.71,0.87,1.3,0.81,0.89,1.7,,0.17,,1.03,1.36,0.9
TEMP_0_0,,,3.35,,,0.64,,0.69,1.44,1.3,,,2.29,,,,0.42,1.07,0.41,1.47,0.49,1.04,1.96,,0.33,,1.02,1.21,0.76
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.01,0.27,0.38,,,1.63,,,0.03,0.1,,0.94,0.49,,,,0.69,0.77,0.48,1.32,0.66,0.91,1.75,0.22,0.22,,1.15,1.05,0.54
PRES_1_3,0.89,0.78,,,,,2.19,,,,,1.02,0.35,0.22,0.58,,0.4,0.62,0.7,1.03,0.61,0.67,1.47,0.91,0.55,,0.93,1.16,1.19
PRES_1_1,0.46,1.04,0.76,1.96,,,,3.62,0.13,0.34,,0.58,1.17,,1.17,,0.75,0.55,0.48,1.41,0.98,0.58,1.61,,0.39,,1.14,1.05,0.63
PRES_1_0,0.55,0.57,1.19,,,0.03,,0.08,3.79,1.91,,0.77,0.82,,,,0.41,1.32,0.72,1.23,0.29,0.87,1.97,,0.38,,1.05,1.35,0.7
PRES_0_0,0.69,0.49,0.93,,,0.16,,0.14,1.85,4.67,,0.8,0.64,1.5,1.03,,0.87,0.97,0.68,0.59,0.35,0.56,1.07,,,,0.71,1.82,1.42
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.92,0.72,,,,0.78,0.68,0.29,0.47,0.54,,1.19,,,0.14,,0.68,0.72,0.66,1.17,0.54,0.8,1.64,0.31,0.25,,1.04,1.21,0.85
DEWP_0_1,0.6,,1.81,0.91,,0.63,0.35,0.88,0.77,0.74,,0.01,2.3,,0.41,,0.32,0.97,0.35,1.31,0.89,0.76,1.66,0.44,0.62,,1.09,0.99,0.66
DEWP_0_0,1.29,,,,,,,,1.72,3.85,,,,21.33,16.57,,1.97,,,,,,,,,,0.65,2.1,
DEWP_1_0,1.29,,,,,,,,,,,,,,24.42,,2.27,,,,,,,,,,,1.43,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.91,0.5,0.31,,,0.83,0.4,0.51,0.49,0.77,,1.01,0.3,0.56,0.7,,2.49,0.13,,0.26,,0.1,0.57,,,,0.79,1.56,1.35
WSPM_0_1,0.81,0.49,0.62,,,0.73,0.5,0.33,0.82,0.79,,0.83,0.72,,,,0.11,2.43,0.12,0.94,0.41,0.69,2.34,,,,1.14,1.12,0.53
WSPM_0_2,0.74,0.81,0.36,1.06,,0.6,0.77,0.33,0.68,0.58,,1.02,0.33,,,,,0.17,3.01,0.45,0.08,0.31,1.09,,,,0.96,1.56,0.77
WSPM_0_0,0.75,0.56,0.66,,,0.83,0.49,0.58,0.52,0.46,,0.86,0.65,,,,0.07,0.45,0.25,3.27,0.74,1.36,3.88,,0.25,,1.31,0.66,0.29
WSPM_1_2,0.79,0.71,0.35,,,0.75,0.6,0.81,0.24,0.59,,0.76,0.85,,,,,0.57,0.15,1.85,3.83,0.69,0.84,,,,1.3,0.69,
WSPM_1_1,0.76,0.59,0.6,,,0.86,0.46,0.39,0.51,0.62,,0.91,0.56,,,,,0.76,0.38,2.33,0.51,4.48,1.82,,,,1.3,0.82,0.35
WSPM_1_0,0.82,0.51,0.53,,,0.81,0.47,0.45,0.66,0.51,,0.91,0.57,,,,0.17,0.81,0.29,2.69,0.47,0.81,3.5,,,,1.24,0.77,0.43
WSPM_0_4,1.29,,,,,0.47,1.55,,,,,0.77,0.81,1.07,1.75,,,,,,,,,5.62,,,0.39,1.6,2.08
WSPM_1_3,1.0,0.24,0.42,,,0.48,0.98,0.48,0.48,,,0.64,1.05,,,,,,,0.5,,,,,7.16,,1.18,0.73,1.22
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.87,0.51,0.43,0.23,2.0100000000000002,0.83,0.52,0.49,0.46,0.41,2.0100000000000002,0.88,0.61,,,2.0100000000000002,0.35,0.9,0.4,1.66,1.01,1.07,1.99,0.1,0.5,2.0100000000000002,1.35,0.74,0.25
PM10_1,0.79,0.62,0.49,,,0.66,0.57,0.37,0.76,0.9,,0.92,0.5,0.36,0.45,,0.89,0.69,0.88,0.58,0.09,0.42,1.25,0.6,0.06,,0.77,1.96,0.85
PM10_2,0.87,0.48,0.45,,,0.45,1.04,0.27,0.56,0.99,,0.91,0.56,,1.01,,1.16,0.36,0.72,0.36,,0.21,0.74,1.0,0.17,,0.24,1.33,3.43
