,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,0.99,0.26,0.15,0.97,0.46,0.25,0.87,0.63,0.77,0.49,0.89,0.56,0.38,0.32,1.0,0.71
PRES_0_1,1.0,1.0,,,0.97,0.47,0.24,0.87,0.62,0.78,0.5,0.89,0.57,0.38,0.31,1.0,0.71
PRES_0_0,1.81,,2.57,,1.82,,,1.5,1.73,0.88,,1.48,,,0.95,1.83,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.26,0.16,1.02,0.11,,0.86,0.66,0.78,0.52,0.9,0.54,0.4,0.32,1.01,0.73
DEWP_1_0,1.39,1.39,,,,1.72,0.43,1.43,0.5,1.11,,1.25,1.09,,,1.36,0.82
DEWP_0_0,2.19,1.86,,,,2.44,3.31,1.58,,1.67,,1.49,2.17,,,2.21,
WSPM_0_1,1.12,1.12,0.27,,1.07,0.6,0.25,1.19,0.36,0.85,,1.07,0.57,,0.21,1.12,0.76
WSPM_0_2,1.26,1.24,0.45,0.39,1.26,0.22,,0.49,1.44,0.65,0.21,0.87,0.16,,,1.25,0.82
WSPM_0_0,1.35,1.34,,,1.3,0.66,0.44,1.16,0.52,1.5,0.37,1.56,1.07,,0.46,1.35,1.05
WSPM_0_3,1.38,1.38,,,1.39,,,,0.49,0.66,1.68,0.75,,,,1.37,1.14
WSPM_1_0,1.4,1.39,,,1.36,0.65,,1.24,0.67,1.38,0.43,1.44,0.93,,,1.4,1.05
WSPM_1_1,1.51,1.51,,,1.36,1.09,0.77,1.41,,1.17,,1.02,1.81,,,1.51,1.27
WSPM_0_4,1.54,1.54,,,1.55,,,,,,,0.79,,2.01,,1.49,0.87
WSPM_1_2,1.83,1.72,,,1.84,,,1.46,,1.51,,1.27,,,2.54,1.85,
PM10_0,1.02,1.01,0.28,0.16,0.99,0.47,0.27,0.88,0.65,0.8,0.49,0.91,0.59,0.38,0.34,1.03,0.65
PM10_1,1.37,1.37,,,1.36,0.46,,1.19,0.86,0.88,0.81,1.07,0.59,0.42,,1.29,1.58
