,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.61,0.46,0.99,0.75,0.54,0.91,0.82,0.78,0.76,0.75,0.7,0.69,0.61,0.98,0.76
PRES_0_1,1.0,1.0,,,0.99,0.75,0.54,0.91,0.82,0.78,0.76,0.75,0.71,0.69,0.61,0.99,0.76
PRES_0_0,1.69,,1.04,,1.67,,,1.47,1.44,1.22,,1.22,,,0.95,1.66,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.6,0.46,1.0,0.76,,0.92,0.83,0.79,0.77,0.76,0.72,0.7,0.6,1.0,0.77
DEWP_1_0,1.32,1.32,,,,0.99,0.47,1.2,1.38,1.02,,1.0,0.9,,,1.3,1.02
DEWP_0_0,2.07,1.83,,,,1.77,1.13,1.54,,1.23,,1.06,1.48,,,2.03,
WSPM_0_1,1.1,1.1,0.68,,1.09,0.82,0.52,1.0,0.93,0.87,,0.85,0.73,,0.55,1.09,0.81
WSPM_0_2,1.22,1.22,0.69,0.59,1.2,0.74,,1.04,1.0,0.94,0.7,0.93,0.43,,,1.19,0.86
WSPM_0_0,1.29,1.28,,,1.27,0.99,0.81,1.2,0.92,1.0,0.91,0.95,1.1,,0.79,1.28,1.04
WSPM_0_3,1.32,1.31,,,1.3,,,,1.43,1.09,1.0,0.95,,,,1.3,1.03
WSPM_1_0,1.33,1.33,,,1.31,0.99,,1.19,1.07,1.05,0.93,1.0,1.2,,,1.31,1.09
WSPM_1_1,1.42,1.42,,,1.39,1.13,0.82,1.31,,0.91,,0.81,1.0,,,1.39,1.27
WSPM_0_4,1.44,1.44,,,1.43,,,,,,,1.33,,1.0,,1.42,1.16
WSPM_1_2,1.7,1.64,,,1.69,,,1.82,,1.26,,1.33,,,1.04,1.68,
PM10_0,1.02,1.01,0.62,0.47,1.0,0.76,0.55,0.92,0.84,0.8,0.77,0.77,0.73,0.71,0.62,1.0,0.77
PM10_1,1.31,1.31,,,1.3,0.95,,1.21,1.11,0.85,0.96,0.88,0.75,0.91,,1.29,1.0
