,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.01,0.44,,,,,1.16,0.55,1.14,0.31,,,,1.31,0.65,0.34,0.05,0.05,,0.83,0.66,0.52,0.78,0.88,1.44,0.74,0.41,0.23,,0.92,1.12,0.77
TEMP_0_0,0.44,2.04,,,,,0.46,1.41,0.62,0.5,,,,0.75,1.2,0.02,0.62,0.89,,0.8,0.77,0.74,0.23,0.87,1.07,0.61,0.73,0.34,,0.98,1.02,0.74
TEMP_1_1,,,3.3,,,,1.25,,0.68,,2.45,,,0.42,0.05,2.59,,,,0.64,1.34,0.34,0.31,1.08,1.94,0.48,0.14,,,1.27,0.88,0.05
TEMP_0_2,,,,6.29,,,0.08,,,1.63,,4.61,,0.64,0.85,,,2.3,,0.26,0.5,0.35,1.98,1.0,1.14,0.5,0.61,,,0.94,0.82,1.07
TEMP_0_1,,,,,7.46,,0.16,0.5,0.15,2.42,,1.55,,0.06,,,4.85,,,0.24,0.14,2.0,,1.14,1.15,0.66,0.42,1.9,,0.84,1.06,1.65
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.15,0.45,1.02,0.04,0.06,,2.35,0.07,0.51,,,,,1.12,0.31,0.92,0.1,0.09,,0.75,0.84,0.59,0.69,0.79,1.47,0.38,0.34,0.17,,0.87,1.19,0.82
PRES_1_1,0.74,1.6,,,0.29,,0.08,2.42,0.02,,,,,0.72,0.92,,0.85,1.05,,0.75,0.79,0.8,0.24,0.87,1.28,0.74,0.67,0.37,,0.98,0.99,0.8
PRES_1_0,1.26,0.88,0.57,,,,0.55,0.02,2.96,,,,,1.13,0.8,0.6,0.15,,,0.6,0.74,0.61,0.78,0.95,1.26,0.61,0.49,0.23,,1.13,0.97,0.35
PRES_1_2,0.6,0.86,,1.36,1.92,,,,,4.39,,,,0.7,1.46,,1.22,,,0.71,0.44,0.58,0.62,1.46,1.46,0.95,0.61,0.63,,1.01,1.03,0.66
PRES_0_1,,,3.28,,,,,,,,6.9,,,,,3.4,,,,1.07,1.34,,,1.19,1.94,0.63,,,,1.24,0.9,
PRES_1_3,,,,4.99,1.56,,,,,,,7.5,,0.22,0.48,,1.04,2.97,,0.31,0.65,0.93,1.08,0.59,0.88,0.68,0.51,0.57,,0.99,0.58,1.68
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.33,0.78,0.33,0.34,0.02,,1.09,0.59,0.99,0.42,,0.09,,1.73,0.27,,,,,0.87,0.55,0.74,0.92,0.54,1.03,0.25,0.09,,,0.8,1.24,0.99
