,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.95,,,,,0.94,0.9,0.92,0.85,0.75,,1.03,0.97,0.47,0.38,,0.86,0.85,0.85,0.7,0.76,0.7,0.6,0.68,0.65,,1.03,0.85
TEMP_0_1,,0.82,,,,1.4,1.07,0.88,0.94,0.87,,1.24,,,,,1.12,1.08,0.96,0.85,0.9,0.83,0.75,,1.11,,1.29,1.04
TEMP_0_0,,,0.76,,,1.4,,1.0,0.88,0.84,,,0.94,,,,1.31,1.1,1.19,0.92,1.1,0.9,0.81,,0.95,,1.43,1.15
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.08,1.11,0.92,,,0.9,,,,1.2,,1.12,1.01,,,,0.92,0.92,0.94,0.73,0.83,0.72,0.63,0.86,0.8,,1.1,0.97
PRES_1_3,1.22,0.98,,,,,0.84,,,,,1.22,1.2,0.62,0.46,,1.13,1.05,0.93,0.86,0.91,0.87,0.74,0.73,0.73,,1.26,0.95
PRES_1_1,1.62,1.11,1.05,0.35,,,,0.75,,1.43,,1.62,1.1,,,,1.22,1.24,1.26,0.93,0.96,1.03,0.85,,0.99,,1.45,1.27
PRES_1_0,1.63,1.27,0.99,,,,,,0.75,0.85,,1.57,1.22,,,,1.33,1.14,1.11,1.02,1.56,1.01,0.84,,1.08,,1.49,1.24
PRES_0_0,1.7,1.43,1.13,,,2.67,,,0.97,0.71,,1.71,1.38,0.58,,,1.29,1.3,1.37,1.24,1.07,0.99,1.12,,,,1.7,1.14
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.81,,,,0.94,0.87,0.86,0.77,0.7,,0.96,,,,,0.83,0.84,0.79,0.67,0.76,0.66,0.58,0.74,0.72,,1.0,0.82
DEWP_0_1,1.34,,0.76,0.35,,1.23,1.22,0.86,0.88,0.84,,,0.83,,,,1.21,0.98,1.12,0.84,0.86,0.84,0.74,0.82,0.73,,1.26,1.04
DEWP_0_0,2.5,,,,,,,,,1.22,,,,0.51,,,1.8,,,,,,,,,,3.03,2.06
DEWP_1_0,2.85,,,,,,,,,,,,,,0.5,,2.46,,,,,,,,,,,2.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.28,1.13,1.09,,,1.2,1.24,0.95,1.0,0.79,,1.29,1.27,0.51,0.35,,0.82,1.79,,2.26,,,1.07,,,,1.36,0.91
WSPM_0_1,1.31,1.13,0.97,,,1.24,1.18,1.08,0.88,0.81,,1.34,1.09,,,,1.86,0.82,1.77,1.17,1.14,0.91,0.78,,,,1.26,1.18
WSPM_0_2,1.41,1.09,1.21,,,1.35,1.19,1.12,1.02,0.85,,1.37,1.35,,,,,1.8,0.78,1.54,,1.02,1.12,,,,1.42,1.01
WSPM_0_0,1.53,1.28,1.09,,,1.38,1.4,1.12,1.1,1.29,,1.53,1.25,,,,1.55,1.39,1.56,0.77,1.38,0.84,0.69,,1.3,,1.46,1.47
WSPM_1_2,1.54,1.24,1.28,,,1.42,1.35,1.09,1.49,1.45,,1.6,1.23,,,,,1.59,,0.94,0.74,1.39,0.9,,,,1.46,3.08
WSPM_1_1,1.68,1.39,1.24,,,1.51,1.48,1.32,1.26,1.21,,1.67,1.45,,,,,1.51,1.81,0.86,1.16,0.72,0.73,,,,1.6,2.21
WSPM_1_0,1.67,1.43,1.28,,,1.54,1.55,1.32,1.2,1.2,,1.69,1.44,,,,1.5,1.34,1.29,0.91,1.59,1.3,0.77,,,,1.6,1.65
WSPM_0_4,1.56,,,,,1.76,1.24,,,,,1.76,1.44,0.62,,,,,,,,,,0.68,,,1.93,1.12
WSPM_1_3,1.8,1.83,1.51,,,1.92,1.49,1.43,1.32,,,2.02,1.43,,,,,,,1.18,,,,,0.65,,1.77,2.53
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.86,0.8,0.33,,0.93,0.91,0.78,0.76,0.73,,1.02,0.87,0.51,,,0.89,0.82,0.81,0.64,0.72,0.64,0.57,0.83,0.68,,0.97,0.98
PM10_1,1.27,1.07,1.0,,,1.28,1.05,1.03,0.9,0.76,,1.28,1.14,0.59,0.33,,0.98,1.07,1.0,1.14,0.72,0.96,0.82,0.73,0.64,,1.5,0.84
