,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.96,,,,,0.93,0.87,0.86,0.77,0.65,,1.04,0.94,0.37,0.28,,0.82,0.79,0.79,0.61,0.68,0.59,0.5,0.61,0.55,,1.03,0.79
TEMP_0_1,,0.84,,,,1.47,1.12,0.87,0.92,0.82,,1.36,,,,,1.14,1.07,0.96,0.79,0.86,0.76,0.66,,1.14,,1.39,1.04
TEMP_0_0,,,0.8,,,1.56,,1.02,0.89,0.82,,,1.01,,,,1.39,1.14,1.23,0.91,1.09,0.86,0.75,,0.91,,1.59,1.18
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.12,1.1,0.89,,,0.92,,,1.85,0.98,,1.17,1.01,,,,0.9,0.87,0.9,0.66,0.75,0.63,0.55,0.79,0.71,,1.14,0.91
PRES_1_3,1.3,0.99,,,,,0.87,,,,,1.31,1.22,0.5,0.35,,1.14,1.03,0.91,0.79,0.85,0.78,0.64,0.7,0.67,,1.34,0.94
PRES_1_1,1.8,1.2,1.09,0.28,,,,0.78,1.86,1.28,,1.83,1.19,,0.53,,1.32,1.26,1.34,0.9,0.95,1.01,0.78,,1.05,,1.63,1.32
PRES_1_0,1.86,1.38,1.05,,,2.64,,1.5,0.78,0.81,,1.8,1.33,,,,1.38,1.21,1.15,1.03,1.85,0.93,0.81,,1.15,,1.67,1.29
PRES_0_0,1.98,1.59,1.23,,,2.9,,1.37,0.98,0.75,,2.02,1.51,0.51,0.41,,1.44,1.36,1.49,1.18,0.99,0.93,0.95,,,,1.94,1.26
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.77,,,,0.92,0.84,0.79,0.69,0.6,,0.97,,,0.35,,0.78,0.77,0.72,0.58,0.66,0.56,0.48,0.66,0.63,,1.0,0.75
DEWP_0_1,1.44,,0.76,0.26,,1.31,1.25,0.85,0.86,0.79,,3.28,0.86,,0.38,,1.24,0.97,1.11,0.79,0.82,0.77,0.65,0.77,0.68,,1.35,1.03
DEWP_0_0,3.46,,,,,,,,2.54,1.55,,,,0.57,0.51,,2.37,,,,,,,,,,3.84,2.59
DEWP_1_0,4.11,,,,,,,,,,,,,,0.56,,3.38,,,,,,,,,,,3.35
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.39,1.17,1.08,,,1.28,1.3,0.93,0.97,0.74,,1.41,1.28,0.42,0.26,,0.84,1.66,,1.72,,1.76,0.91,,,,1.45,0.9
WSPM_0_1,1.42,1.17,0.98,,,1.33,1.23,1.07,0.85,0.77,,1.46,1.14,,,,1.46,0.85,1.25,0.94,0.99,0.79,0.66,,,,1.36,1.15
WSPM_0_2,1.56,1.16,1.28,0.36,,1.45,1.27,1.12,1.02,0.75,,1.53,1.44,,,,,1.79,0.82,1.25,1.14,0.91,0.96,,,,1.58,0.99
WSPM_0_0,1.74,1.38,1.15,,,1.54,1.54,1.19,1.15,1.29,,1.76,1.37,,,,1.26,1.29,1.45,0.81,1.32,0.84,0.68,,1.22,,1.67,1.6
WSPM_1_2,1.77,1.35,1.37,,,1.61,1.48,1.18,1.51,1.61,,1.85,1.35,,,,,1.41,2.23,0.86,0.78,1.03,0.74,,,,1.68,4.03
WSPM_1_1,1.98,1.55,1.33,,,1.72,1.64,1.43,1.37,1.3,,1.97,1.6,,,,,1.5,1.87,0.87,1.22,0.76,0.77,,,,1.88,2.25
WSPM_1_0,1.95,1.59,1.39,,,1.78,1.74,1.45,1.31,1.43,,2.0,1.62,,,,1.66,1.43,1.47,0.99,1.5,1.19,0.8,,,,1.89,1.79
WSPM_0_4,1.86,,,,,2.05,1.42,,,,,2.07,1.67,0.56,0.43,,,,,,,,,0.73,,,2.16,1.23
WSPM_1_3,2.2,2.13,1.72,,,2.3,1.75,1.62,1.58,,,2.48,1.67,,,,,,,1.16,,,,,0.7,,2.15,3.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.82,0.74,0.24,0.44999999999999996,0.91,0.87,0.71,0.7,0.64,0.44999999999999996,1.03,0.83,0.44,,0.44999999999999996,0.82,0.75,0.73,0.57,0.65,0.54,0.47,0.72,0.62,0.44999999999999996,0.97,0.84
PM10_1,1.37,1.1,1.01,,,1.36,1.09,1.02,0.86,0.71,,1.38,1.17,0.44,0.25,,1.01,1.02,1.03,0.89,0.48,0.83,0.69,0.71,0.47,,1.49,0.86
