,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.88,1.61,,,,,0.96,1.09,0.93,1.04,,,,1.02,0.99,1.1,1.46,1.43,,1.0,1.08,1.03,0.87,0.87,0.78,0.8,0.78,0.77,,1.21,0.98
TEMP_0_0,1.6,0.88,,,,,1.23,0.91,1.0,0.94,,,,1.15,0.9,2.04,0.87,0.8,,0.99,1.01,0.95,1.12,0.88,0.96,0.79,0.77,0.66,,1.2,1.01
TEMP_1_1,,,0.8,,,,1.07,,1.16,,0.69,,,1.44,2.15,0.83,,,,1.2,1.04,1.27,1.2,0.94,0.88,0.99,1.15,,,1.31,1.55
TEMP_0_2,,,,0.71,,,2.24,,,1.03,,0.71,,1.63,1.3,,,0.9,,1.79,1.52,1.53,0.99,1.14,1.17,1.2,1.04,,,1.67,1.34
TEMP_0_1,,,,,0.68,,2.27,1.65,,1.0,,0.93,,2.88,,,0.84,,,1.85,2.02,1.14,,1.22,1.27,1.12,1.17,0.69,,1.79,1.36
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.05,1.26,0.93,1.46,1.32,,0.86,2.23,1.42,,,,,1.09,1.25,0.93,1.3,1.3,,1.07,1.04,1.05,0.93,0.92,0.89,0.89,0.83,0.8,,1.27,1.01
PRES_1_1,1.18,0.97,,,0.93,,2.37,0.85,,,,,,1.21,0.97,,0.85,0.8,,1.05,1.06,0.98,1.18,0.94,0.89,0.83,0.8,0.7,,1.25,1.05
PRES_1_0,1.1,1.24,1.13,,,,1.56,,0.82,,,,,1.17,1.1,1.1,1.28,,,1.16,1.17,1.11,0.97,0.96,0.88,0.93,0.91,0.85,,1.31,1.26
PRES_1_2,1.5,1.35,,0.86,0.77,,,,,0.76,,,,1.45,1.06,,0.94,,,1.28,1.43,1.25,1.12,0.96,1.0,0.92,0.95,0.75,,1.48,1.26
PRES_0_1,,,0.99,,,,,,,,0.69,,,,,0.97,,,,1.34,1.28,,,1.12,1.11,1.16,,,,1.63,1.75
PRES_1_3,,,,0.78,0.94,,,,,,,0.68,,2.21,1.53,,1.15,0.9,,1.82,1.51,1.33,1.2,1.33,1.33,1.18,1.12,0.84,,1.78,1.39
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
