,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.91,0.99,,,0.97,0.9,1.05,1.02,,,0.96,0.98,1.23,,0.96,0.72,0.73,0.78,0.6,0.87,0.68,0.78,1.08,0.84
TEMP_0_0,1.12,0.88,,,1.11,0.83,1.57,0.79,,,1.16,0.99,0.85,,1.02,0.79,0.81,0.85,0.64,0.75,0.58,0.5,1.14,0.93
TEMP_1_1,,,0.78,,2.06,2.11,0.82,,,,1.15,1.55,,0.46,1.21,0.95,0.91,0.96,0.79,1.11,,,1.37,1.12
TEMP_0_2,,,,0.64,,,,,0.63,0.48,,,1.06,,1.66,1.25,1.33,1.56,0.98,1.14,,,1.86,1.37
PRES_0_0,0.92,0.92,1.2,,0.91,0.95,,1.26,,,0.94,0.96,1.09,,0.95,0.73,0.73,0.77,0.62,0.82,0.55,0.58,1.07,0.81
PRES_1_0,1.19,1.07,,,1.37,0.81,,,,,1.38,1.1,1.06,,1.15,0.87,0.93,0.97,0.68,0.86,0.74,,1.29,1.14
PRES_0_1,1.72,1.7,0.78,,,,0.79,,,,1.13,1.51,,0.46,1.16,0.95,0.9,0.96,0.78,1.11,0.73,,1.33,1.09
PRES_1_1,1.41,1.11,,,1.87,,,0.76,,,1.61,1.27,0.96,,1.26,0.93,0.92,0.99,0.77,0.95,0.98,,1.4,1.2
PRES_1_3,,,,0.66,,,,,0.62,,,,1.1,,1.77,1.27,1.43,1.57,1.02,1.22,,,1.9,1.48
PRES_1_2,,,,1.0,,,,,,0.49,,,1.6,,2.26,,,,1.28,,,,3.04,1.67
DEWP_1_0,0.99,1.06,0.79,,1.05,0.94,0.8,1.59,,,0.9,1.16,1.75,,0.96,0.75,0.74,0.77,0.63,0.85,,,1.1,0.86
DEWP_0_0,1.0,0.92,1.11,,1.03,0.86,1.18,0.83,,,1.18,0.89,,,0.98,0.75,0.76,0.83,0.61,0.87,0.66,0.49,1.09,0.9
DEWP_0_1,1.46,1.1,,0.65,1.41,1.06,,0.9,0.63,0.53,,,0.78,,1.29,0.92,0.98,0.99,0.75,0.8,0.71,,1.39,1.05
DEWP_1_1,,,1.47,,,,1.53,,,,,,,0.51,2.17,1.56,1.35,,1.64,,,,2.54,
WSPM_0_1,1.0,0.98,0.87,0.73,1.04,0.88,0.89,0.99,0.75,0.51,0.96,1.05,0.98,0.49,0.9,0.84,0.75,0.94,0.64,0.67,,,1.11,0.85
WSPM_0_0,1.22,1.14,1.12,0.91,1.3,1.08,1.12,0.99,0.87,,1.24,1.16,1.13,,1.31,0.81,0.96,0.97,0.68,1.38,1.11,,1.31,1.06
WSPM_1_1,1.32,1.24,1.15,0.97,1.37,1.12,1.17,1.09,0.87,,1.35,1.23,1.17,,1.3,0.84,0.78,1.48,0.68,1.32,,,1.4,1.19
WSPM_1_2,1.35,1.31,1.13,0.91,1.39,1.19,1.19,1.16,1.04,,1.53,1.32,1.16,,1.36,1.04,0.96,0.76,1.16,1.72,,,1.39,1.25
WSPM_1_0,1.39,1.3,1.27,1.01,1.47,1.3,1.26,1.19,0.96,,1.39,1.41,1.26,,1.37,0.99,1.28,1.33,0.79,1.45,,,1.52,1.19
WSPM_0_2,1.59,1.32,1.63,1.03,1.49,1.26,1.69,1.16,0.92,,1.58,1.48,1.1,,4.29,1.19,1.43,1.23,1.08,0.72,,,1.66,1.21
WSPM_1_3,2.67,1.76,,,2.93,1.46,1.74,1.32,,,,1.83,1.63,,,1.46,,,,,0.58,,2.13,2.34
WSPM_0_3,2.21,1.98,,,2.03,,,,,,,2.06,,,,,,,,,,0.52,,1.63
PM10_0,0.92,0.86,0.79,0.66,0.96,0.79,0.8,0.78,0.63,0.46,0.91,0.9,0.82,0.5,0.87,0.67,0.68,0.73,0.55,0.78,0.57,,0.96,0.84
PM10_1,1.09,1.06,1.07,0.83,1.13,0.99,1.12,1.01,0.87,0.62,1.11,1.14,1.01,,1.1,0.83,0.8,0.83,0.7,0.75,,0.57,1.31,0.85
