,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.07,20429082.95,1636913618525.68,1.43,25124.49,7660265352.98,44.99,1235.99,29614.7,17105.71,159624.68,761042.7,384939.63,66514819.14,6.69,330.38,1150719685.7
PRES_0_1,1.0,1.08,,,1.43,25532.48,7306652258.38,45.04,1197.94,29933.12,17383.49,159949.98,773400.99,391190.52,62147718.14,6.68,333.43,1169405793.69
PRES_0_0,1.0,,1376078075.71,,1.56,,,44.92,3478.3,10770.1,,150248.02,,,196938768.25,7.26,153.47,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.07,20960589.96,1789632730748.43,1.56,1500.23,,43.36,1330.06,29405.91,18701.62,159702.28,662169.7,420853.34,70589449.26,6.72,334.22,1175430883.8
DEWP_1_0,0.98,1.07,,,,283853.04,28234829354.5,64.28,240.17,31960.09,,160574.94,1813894.57,,,6.33,286.39,570924858.27
DEWP_0_0,0.82,0.67,,,,177412.03,425694350267.78,28.4,,29884.93,,126169.81,1947395.83,,,5.96,339.49,6651474222.93
WSPM_0_1,1.0,1.07,16870275.43,,1.36,36827.89,7997752509.56,67.84,471.68,33713.37,3767.63,199570.87,878536.05,36623.88,29567726.56,6.8,327.99,1102631320.25
WSPM_0_2,1.0,1.05,49001740.62,8954820688078.46,1.54,3038.44,,14.12,4793.23,15136.03,3758.14,101585.08,126386.61,,23991610.64,6.78,301.27,585855204.56
WSPM_0_0,0.99,1.07,,,1.41,29333.16,15234620155.3,49.88,397.8,51570.79,4828.32,223273.88,1068134.03,,101640374.91,6.72,342.7,1618678391.5
WSPM_0_3,1.0,1.08,,,1.56,,,4.09,362.04,10274.16,149494.03,59992.81,,,,6.16,372.0,2122176020.99
WSPM_1_0,1.0,1.07,,,1.42,27382.12,,49.5,604.96,41033.89,6168.81,185274.46,786440.29,,37922514.96,6.69,334.01,1583899221.34
WSPM_1_1,1.0,1.08,,,1.21,68316.24,30911116497.1,52.82,476.02,34596.15,,143420.99,3372118.2,,81513360.64,6.61,374.17,1361142913.93
WSPM_0_4,1.0,1.08,,,1.56,,,7.94,,,,36299.67,,8078814.01,,6.15,320.21,
WSPM_1_2,1.0,0.98,,,1.56,,,34.61,,31693.76,,114814.53,766146.52,,1970755312.88,7.26,269.7,
PM10_0,1.0,1.06,29200288.32,2433309597350.16,1.42,27634.7,9888849431.94,45.8,1233.97,30816.06,14424.54,164172.73,836359.41,384225.52,95978343.16,7.19,272.94,736669339.0
PM10_1,1.0,1.08,,,1.47,15565.2,3015691867.67,42.55,1276.64,26519.46,22826.92,148427.23,623989.51,305937.32,,5.94,469.27,1855810380.11
PM10_2,1.0,1.08,,,1.52,,,43.49,,27525.6,36915.3,160866.51,,,,5.4,477.8,12827843144.23
