,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.12,1.15,,,1.63,1.39,0.31,0.53,,,1.56,1.38,0.27,,1.56,2.95,2.45,1.75,4.91,0.84,0.7,0.51,1.45,1.8,2.38
TEMP_0_0,0.94,2.61,,,1.04,2.01,0.08,2.29,,,0.58,1.47,1.85,,1.34,2.95,2.23,1.41,5.18,1.88,2.61,2.51,1.52,1.58,2.58
TEMP_1_1,,,7.07,,0.17,0.06,5.84,,,,2.11,0.6,,6.97,1.62,2.84,2.54,2.17,4.99,0.7,,,1.67,1.91,1.76
TEMP_0_2,,,,30.33,,,,,31.67,28.84,,,6.66,,1.39,3.07,1.6,0.81,6.13,2.07,,,1.54,1.67,2.05
PRES_0_0,1.86,1.47,0.15,,1.98,0.81,,0.16,,,1.47,1.41,0.48,,1.55,2.81,2.29,1.66,4.97,1.13,0.56,1.97,1.38,1.82,2.77
PRES_1_0,1.22,2.17,,,0.77,5.14,,,,,0.79,1.57,1.23,,1.42,2.99,2.12,1.49,5.22,1.47,2.6,,1.58,1.58,2.46
PRES_0_1,0.39,0.17,5.83,,,,6.34,,,,2.15,0.52,,6.24,1.72,2.72,2.41,1.79,5.04,0.63,1.76,,1.7,1.88,1.59
PRES_1_1,0.88,2.63,,,0.16,,,7.86,,,0.12,1.42,2.73,,1.06,3.57,3.06,1.94,4.93,1.87,1.89,,1.64,1.44,1.68
PRES_1_3,,,,30.41,,,,,36.17,,,,6.68,,1.21,3.4,1.9,0.96,6.67,2.46,,,1.65,1.58,2.11
PRES_1_2,,,,29.69,,,,,,238.33,,,6.52,,2.34,,,,4.18,,,,,2.09,
DEWP_1_0,1.48,0.86,1.92,,1.27,0.87,1.97,0.12,,,2.27,0.64,0.03,,1.77,2.68,2.12,1.31,5.22,0.77,,,1.42,1.91,2.34
DEWP_0_0,1.5,1.98,0.29,,1.24,1.89,0.25,1.41,,,0.6,2.37,,,1.29,3.24,2.73,2.02,4.8,1.03,2.26,2.8,1.64,1.58,2.22
DEWP_0_1,0.47,2.05,,7.12,0.64,1.53,,3.0,6.95,8.38,,,6.69,,1.14,2.89,1.95,1.72,5.24,3.23,2.22,,1.4,1.62,2.88
DEWP_1_1,,,7.09,,,,6.36,,,,,,,157.54,2.18,2.46,2.75,,7.16,,,,1.98,1.67,
WSPM_0_1,1.37,1.45,1.04,1.17,1.18,1.4,1.13,0.78,1.02,2.27,1.42,1.15,0.8,1.31,2.31,1.98,1.69,0.92,5.0,0.07,,,1.41,1.84,2.28
WSPM_0_0,1.32,1.44,0.96,0.94,1.14,1.35,0.87,1.25,1.09,,1.16,1.29,0.89,,0.79,5.23,2.96,1.17,8.11,0.56,0.81,,1.72,1.56,1.75
WSPM_1_1,1.44,1.48,1.07,0.94,1.11,1.17,1.0,1.41,0.88,,1.16,1.43,0.85,,1.29,3.89,6.76,0.68,4.26,0.39,,,1.59,1.73,1.97
WSPM_1_2,1.38,1.34,1.28,0.54,1.18,1.22,1.06,1.3,0.64,,1.19,1.51,1.02,,0.88,2.77,0.53,8.01,2.43,0.45,,,1.73,1.64,2.72
WSPM_1_0,1.31,1.43,0.94,1.24,1.1,1.6,0.9,1.04,1.29,,1.17,1.26,1.06,,1.25,4.4,2.27,0.57,7.66,0.55,,,1.62,1.63,1.97
WSPM_0_2,0.99,1.92,0.61,1.88,1.15,1.59,0.55,1.61,1.94,,0.81,0.86,2.78,,0.24,0.75,0.66,0.27,2.28,13.5,,,0.94,1.71,4.69
WSPM_1_3,0.75,2.17,,,0.9,1.77,1.32,1.22,,,,1.72,1.75,,,0.95,,,,,65.8,,2.06,1.7,
WSPM_0_3,1.07,2.74,,,1.6,,,,,,,2.43,,,,,,,,,,147.04,,1.88,5.72
PM10_0,1.24,1.57,1.03,1.04,1.02,1.54,1.05,1.29,1.16,,1.1,1.4,0.99,1.37,1.31,3.43,2.67,2.04,5.39,0.85,2.11,,2.02,1.26,1.09
PM10_1,1.4,1.37,1.05,1.21,1.22,1.19,1.04,0.93,0.99,2.68,1.33,1.16,0.91,0.73,1.67,2.64,2.17,1.38,4.94,1.2,0.6,1.64,1.18,2.25,2.15
PM10_2,1.46,1.66,0.6,0.6,1.57,1.47,0.59,0.62,0.72,,1.44,1.01,1.65,,1.57,1.74,1.55,0.77,3.83,3.52,,5.33,0.3,1.73,10.26
