,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.61,,0.99,0.75,0.53,0.91,0.82,0.78,0.76,0.75,0.7,0.69,0.61,0.98,0.76
PRES_0_1,1.0,1.0,,,0.99,0.75,0.54,0.91,0.82,0.78,0.76,0.75,0.71,0.69,0.61,0.99,0.76
PRES_0_0,1.63,,1.0,,1.62,,,1.47,1.36,,,,,,0.99,1.6,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.62,,1.0,,,0.92,0.83,0.78,0.77,0.76,0.71,0.7,0.61,1.0,0.77
DEWP_1_0,1.33,1.33,,,,1.0,,1.21,1.13,1.04,,1.0,0.94,,,1.31,1.02
DEWP_0_0,1.89,1.86,,,,,1.0,,,,,,1.26,,,1.86,
WSPM_0_1,1.1,1.1,0.68,,1.09,0.83,,1.0,,,,0.87,0.63,,,1.09,0.83
WSPM_0_2,1.22,1.21,0.74,,1.2,0.88,,,1.0,,,0.94,,,,1.2,0.89
WSPM_0_0,1.29,1.28,,,1.27,0.96,,,,1.0,,0.94,1.11,,,1.26,1.04
WSPM_0_3,1.32,1.31,,,1.3,,,,,,1.0,0.95,,,,1.3,0.99
WSPM_1_0,1.33,1.33,,,1.32,1.0,,1.15,1.06,1.06,1.06,1.0,,,,1.3,1.12
WSPM_1_1,1.42,1.42,,,1.4,1.06,0.79,1.59,,0.9,,,1.0,,,1.39,1.11
WSPM_0_4,1.44,1.44,,,1.43,,,,,,,,,1.0,,1.42,1.1
WSPM_1_2,1.64,1.64,1.01,,1.64,,,,,,,,,,1.0,1.61,
PM10_0,1.01,1.01,0.62,,1.0,0.76,0.54,0.92,0.83,0.79,0.77,0.77,0.72,0.71,0.62,1.0,0.77
PM10_1,1.31,1.31,,,1.3,0.98,,1.21,1.13,0.96,1.01,0.89,0.9,0.91,,1.29,1.0
