,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.35,0.16,0.98,0.53,0.21,0.74,0.62,0.4,0.54,0.3,0.36,0.44,0.3,0.83,0.59,0.19
PRES_0_1,1.01,1.0,,,0.99,0.53,0.22,0.75,0.64,0.4,0.54,0.3,0.36,0.45,0.31,0.84,0.6,0.19
PRES_0_0,24.21,,1.03,,23.06,,,18.71,9.86,,,7.9,,,2.91,17.98,27.44,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.07,1.07,0.36,0.16,1.0,,,0.81,0.64,0.43,0.55,0.32,0.42,0.45,0.31,0.89,0.63,0.2
DEWP_1_0,6.58,6.5,,,,1.0,0.47,3.93,12.74,2.55,,1.97,1.45,,,5.35,4.46,
DEWP_0_0,64.66,64.65,,,,,1.2,54.51,,14.0,,,9.93,,,47.72,,
WSPM_0_1,1.89,1.88,0.73,,1.89,0.81,0.37,1.02,4.76,1.09,,0.62,0.74,,,1.57,1.1,0.41
WSPM_0_2,3.58,3.62,0.75,0.24,3.36,4.51,,10.81,1.01,3.18,,1.71,,,,2.99,2.02,0.73
WSPM_0_0,5.23,5.18,,,5.11,2.67,,4.62,5.61,1.11,6.09,0.9,1.92,,1.7,4.3,3.2,0.72
WSPM_0_3,5.99,5.91,,,5.6,,,,,6.55,1.01,3.35,,,,5.47,3.19,0.83
WSPM_1_0,6.44,6.39,,,6.28,3.38,,4.95,5.75,1.66,6.15,1.34,3.41,,,5.07,4.22,1.1
WSPM_1_1,9.78,9.66,,,10.33,3.36,0.93,9.64,,2.27,,2.47,1.1,,,7.79,6.83,
WSPM_0_4,10.88,10.75,,,10.18,,,,,,,,,1.0,,9.16,7.33,
WSPM_1_2,25.76,26.15,,,24.63,,,,,10.22,,,,,1.07,19.01,36.51,
PM10_0,1.35,1.35,0.39,0.17,1.32,0.69,0.25,0.98,0.85,0.55,0.79,0.41,0.49,0.61,0.35,1.01,1.06,0.51
PM10_1,2.53,2.5,,,2.44,1.6,,1.91,1.54,0.99,1.13,0.7,0.83,1.27,,2.77,1.05,0.33
PM10_2,34.69,34.27,,,32.87,,,26.66,,14.81,10.89,10.9,,,,36.16,16.26,1.25
