,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.96,,,,,0.93,0.88,0.86,0.78,0.68,,1.04,0.94,0.38,0.3,,0.82,0.81,0.81,0.64,0.7,0.63,0.54,0.61,0.57,,1.04,0.81
TEMP_0_1,,0.84,,,,1.49,1.12,0.88,0.94,0.85,,1.36,,,,,1.15,1.11,0.97,0.84,0.89,0.8,0.72,,1.08,,1.41,1.07
TEMP_0_0,,,0.8,,,1.55,,1.03,0.91,0.85,,,1.01,,,,1.39,1.17,1.25,0.94,1.13,0.9,0.8,,0.93,,1.61,1.23
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.12,1.09,0.89,,,0.92,,,,1.09,,1.17,1.0,,,,0.91,0.9,0.91,0.69,0.78,0.66,0.58,0.8,0.72,,1.14,0.95
PRES_1_3,1.3,0.99,,,,,0.87,,,,,1.31,1.23,0.53,0.38,,1.15,1.06,0.93,0.84,0.88,0.82,0.69,0.7,0.69,,1.35,0.97
PRES_1_1,1.83,1.2,1.11,0.3,,,,0.79,,1.42,,1.84,1.2,,0.55,,1.32,1.31,1.34,0.96,0.99,1.05,0.85,,1.0,,1.65,1.36
PRES_1_0,1.86,1.38,1.05,,,,,,0.78,0.85,,1.8,1.33,,,,1.42,1.23,1.18,1.06,1.69,1.02,0.85,,1.09,,1.7,1.34
PRES_0_0,1.98,1.59,1.23,,,3.04,,1.51,1.03,0.76,,2.01,1.54,0.53,,,1.44,1.43,1.5,1.32,1.11,1.01,1.12,,,,2.0,1.27
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.77,,,,0.92,0.83,0.79,0.7,0.63,,0.97,,,0.39,,0.79,0.79,0.73,0.61,0.69,0.59,0.51,0.66,0.63,,1.0,0.77
DEWP_0_1,1.44,,0.76,0.28,,1.3,1.26,0.85,0.87,0.81,,,0.86,,0.42,,1.24,1.0,1.13,0.82,0.84,0.81,0.7,0.79,0.69,,1.36,1.06
DEWP_0_0,3.46,,,,,,,,,1.55,,,,0.57,0.55,,2.37,,,,,,,,,,4.21,2.7
DEWP_1_0,4.11,,,,,,,,,,,,,,0.57,,3.38,,,,,,,,,,,3.35
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.39,1.17,1.1,,,1.28,1.3,0.95,1.0,0.77,,1.41,1.31,0.45,0.29,,0.84,1.79,,2.07,,,1.01,,,,1.48,0.94
WSPM_0_1,1.42,1.17,0.98,,,1.33,1.23,1.09,0.88,0.79,,1.46,1.13,,,,1.79,0.85,1.62,1.11,1.09,0.86,0.74,,,,1.37,1.21
WSPM_0_2,1.57,1.16,1.26,,,1.47,1.27,1.15,1.04,0.83,,1.53,1.44,,,,,1.88,0.82,1.48,,0.99,1.08,,,,1.59,1.05
WSPM_0_0,1.74,1.38,1.15,,,1.54,1.54,1.18,1.15,1.31,,1.76,1.37,,,,1.49,1.41,1.68,0.81,1.41,0.85,0.7,,1.21,,1.67,1.57
WSPM_1_2,1.77,1.35,1.37,,,1.6,1.48,1.16,1.58,1.54,,1.84,1.35,,,,,1.65,,0.96,0.78,1.33,0.89,,,,1.68,3.53
WSPM_1_1,1.98,1.55,1.36,,,1.74,1.66,1.43,1.36,1.31,,1.97,1.63,,,,,1.66,1.85,0.91,1.21,0.76,0.76,,,,1.89,2.43
WSPM_1_0,1.96,1.6,1.39,,,1.78,1.76,1.44,1.3,1.32,,2.0,1.61,,,,1.77,1.49,1.4,0.98,1.76,1.32,0.82,,,,1.89,1.83
WSPM_0_4,1.86,,,,,2.05,1.42,,,,,2.1,1.64,0.59,0.47,,,,,,,,,0.73,,,2.27,1.26
WSPM_1_3,2.2,2.13,1.72,,,2.3,1.75,1.62,1.51,,,2.48,1.67,,,,,,,1.29,,,,,0.7,,2.18,3.04
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.82,0.75,0.25,0.51,0.91,0.88,0.72,0.7,0.66,0.51,1.03,0.83,0.42,,0.51,0.84,0.77,0.75,0.59,0.66,0.57,0.5,0.74,0.61,0.51,0.97,0.91
PM10_1,1.37,1.1,1.01,,,1.36,1.09,1.03,0.88,0.74,,1.39,1.18,0.5,0.28,,1.0,1.08,1.02,1.09,0.64,0.92,0.77,0.71,0.57,,1.59,0.86
