,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,0.33,0.99,0.7,0.39,0.82,0.74,0.55,0.69,0.47,0.5,0.63,0.47,0.96,0.56
PRES_0_1,1.0,1.0,,,0.99,0.7,0.39,0.82,0.75,0.55,0.69,0.47,0.5,0.63,0.47,0.96,0.56
PRES_0_0,2.58,,0.62,,2.5,,,1.92,1.64,1.55,,1.13,,,0.86,2.47,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.55,0.33,0.99,1.37,,0.84,0.74,0.56,0.69,0.48,0.53,0.63,0.47,0.98,0.57
DEWP_1_0,1.66,1.65,,,,0.71,0.3,1.26,2.66,0.87,,0.77,0.66,,,1.61,1.02
DEWP_0_0,3.2,2.84,,,,1.55,0.53,1.86,,1.41,,1.28,1.34,,,3.07,1.28
WSPM_0_1,1.19,1.18,0.75,,1.18,0.78,0.39,0.9,1.19,0.64,1.67,0.54,0.59,0.74,0.55,1.14,0.65
WSPM_0_2,1.41,1.43,0.56,0.43,1.38,1.0,,1.32,0.8,0.9,1.04,0.74,0.59,,0.91,1.34,0.72
WSPM_0_0,1.57,1.56,,,1.55,1.15,0.64,1.32,1.04,0.77,1.28,0.67,0.77,,0.79,1.5,0.91
WSPM_0_3,1.63,1.62,,,1.58,,,1.36,1.97,1.16,0.73,0.89,,,,1.58,0.88
WSPM_1_0,1.66,1.65,,,1.64,1.18,,1.34,1.27,0.88,1.27,0.76,0.96,,0.75,1.6,1.01
WSPM_1_1,1.86,1.85,,,1.88,1.1,0.59,1.46,2.25,0.89,,0.79,0.69,,0.79,1.78,1.24
WSPM_0_4,1.91,1.9,,,1.86,,,3.82,,,,1.55,,0.66,,1.85,1.26
WSPM_1_2,2.56,2.44,,,2.48,,,2.61,,1.24,,1.39,0.95,,0.61,2.45,
PM10_0,1.03,1.03,0.56,0.33,1.01,0.72,0.39,0.84,0.77,0.57,0.72,0.49,0.52,0.65,0.47,0.98,0.59
PM10_1,1.62,1.61,,,1.58,1.29,,1.33,1.25,0.77,0.98,0.72,0.67,1.19,,1.57,0.75
