,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,182.01,10.05,,,,,234.36,127.45,946.02,2742.77,,,,39.38,722.16,668.64,885.24,1419.68,,326.2,247.09,701.57,5603.04,49453.41,168122.53,365973.31,483261.32,19028713.36,,9.32,83.13,17666.2
TEMP_0_0,8.93,207.31,,,,,81.42,325.34,565.8,4558.63,,,,21.74,1266.45,30.25,12040.99,27522.2,,336.85,352.46,1047.43,1686.08,44320.46,88601.56,259408.36,652761.13,29616342.8,,10.0,76.55,17017.54
TEMP_1_1,,,5245.95,,,,271.75,,560.81,,370378.4,,,13.26,38.09,5195.43,,,,254.9,583.75,467.03,2259.7,66527.9,202413.92,207173.54,148097.51,,,12.69,60.71,
TEMP_0_2,,,,513605.26,,,14.6,,,14453.75,,1120171.87,,18.67,952.49,,,71292.56,,97.78,222.35,485.38,14531.28,59690.95,126548.93,200895.35,637844.83,,,10.4,61.08,26722.55
TEMP_0_1,,,,,1749762.69,,20.99,112.64,,21882.4,,375691.05,,1.36,,,93776.09,,,96.16,60.3,2743.93,,68193.89,122735.08,324424.08,447185.6,163786418.88,,8.16,72.29,40545.8
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,98.21,36.08,1603.56,3359.5,12907.87,,542.86,3.77,142.23,,,,,34.83,291.81,1844.37,1851.66,2857.76,,298.83,351.73,802.2,4948.34,44017.86,157966.19,173732.4,343361.23,16063040.15,,8.33,91.13,20129.47
PRES_1_1,53.14,148.75,,,67490.41,,3.99,573.29,,,,,,20.84,1046.27,,16527.58,32359.53,,306.44,335.42,1117.05,1660.11,42439.54,120022.02,347890.79,661119.6,31399622.14,,10.34,71.69,17436.74
PRES_1_0,98.55,68.91,859.47,,,,35.53,,2939.55,,,,,33.6,794.7,1174.48,2933.31,,,248.22,314.29,856.15,5732.26,52675.98,140073.07,274569.92,519464.11,17192856.43,,11.43,68.73,8261.05
PRES_1_2,38.41,71.18,,110829.0,450531.3,,,,,39760.56,,,,19.4,1633.43,,23555.58,,,288.64,185.84,795.82,4628.9,90621.81,159611.97,437462.21,604539.36,51808025.91,,10.5,75.76,13029.97
PRES_0_1,,,5230.27,,,,,,,,1067009.95,,,,,6881.67,,,,426.92,598.38,,,80914.09,187030.75,269457.2,,,,12.41,67.52,
PRES_1_3,,,,406900.24,367221.86,,,,,,,1822598.57,,5.84,540.19,,20174.82,91891.44,,118.76,286.59,1270.79,7739.08,32739.45,84368.93,286197.88,556933.65,53762907.61,,10.87,33.29,45041.65
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,104.9,64.76,506.66,27414.81,5401.71,,224.48,134.3,845.37,3739.2,,22975.88,,54.69,85.96,,,,,358.19,242.87,1041.34,6675.85,31110.45,102675.17,97127.73,72950.47,,,7.71,94.39,23473.09
DEWP_0_0,64.57,122.48,44.3,46428.08,,,62.14,223.35,655.45,10196.57,,72675.41,,2.69,3792.23,,,,,155.14,441.15,482.2,1183.92,93246.38,229559.3,656265.79,1245928.02,41720090.24,,14.23,43.99,1222.5
DEWP_1_1,37.45,1.75,4174.97,,,,250.86,,615.64,,391272.81,,,,,6905.96,,,,269.28,662.23,214.65,2387.18,55795.59,197242.36,183128.57,156452.24,,,11.21,81.83,
DEWP_0_2,6.08,92.38,,,955404.31,,31.33,275.19,192.86,11658.44,,210284.41,,,,,96303.05,,,275.84,86.79,2062.28,,63616.6,109292.48,401008.83,574221.86,91675674.73,,9.8,56.95,36563.48
DEWP_0_1,6.3,135.93,,176261.72,,,30.58,348.73,,,,627064.37,,,,,,166279.58,,264.17,186.45,823.31,4108.05,54743.03,80114.8,514837.95,1494579.99,97506187.04,,12.24,47.64,19220.95
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,75.93,87.08,841.0,12132.62,33149.14,,164.55,174.55,553.83,4777.43,99196.13,40572.95,,30.78,446.51,1106.53,9242.5,13682.2,,1154.3,,,,,58262.32,,,,,9.51,91.03,10542.33
WSPM_0_1,49.84,78.53,1673.42,24891.44,18032.74,,174.43,162.81,576.93,2650.51,122186.95,88553.18,,18.37,1003.4,2364.13,2547.52,8473.65,,,1330.52,,,,123422.21,55259.92,,,,12.83,57.41,1444.45
WSPM_0_3,53.34,88.77,511.51,20525.61,308882.23,,145.95,207.67,614.56,4350.41,,148324.73,,29.6,425.8,289.05,22866.97,14238.32,,,,4701.96,,,30802.02,,,,,5.32,99.92,44680.14
WSPM_0_4,93.74,31.33,536.47,135399.16,,,200.14,66.25,903.5,5628.93,,196677.3,,41.61,240.08,705.86,,15637.87,,,,,31505.48,,,,,,,4.82,115.97,37177.24
WSPM_0_0,62.33,63.12,1196.13,41975.5,122007.26,,135.48,129.29,621.33,8237.98,102450.66,63545.1,,14.37,1379.9,1249.43,11395.04,15628.38,,,,,,503437.33,743384.04,404122.0,381971.03,,,15.27,30.49,
