,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.15,0.23,,,0.15,0.45,0.98,1.07,,,0.18,0.2,1.34,,0.18,0.33,0.47,0.61,0.47,1.5,6.96,21.62,0.16,0.17,0.68
TEMP_0_0,0.1,0.08,,,0.09,0.18,1.07,0.25,,,0.14,0.09,0.24,,0.1,0.17,0.25,0.34,0.24,0.48,2.08,4.46,0.08,0.09,0.36
TEMP_1_1,,0.07,0.01,,0.01,0.06,0.01,,,,,0.01,,0.15,0.01,0.01,0.01,0.02,0.01,0.05,,,,,0.02
TEMP_0_2,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.2,0.27,2.04,,0.18,0.68,,2.24,,,0.23,0.25,1.29,,0.24,0.43,0.61,0.78,0.63,1.7,7.5,15.58,0.21,0.21,0.79
PRES_1_0,0.01,0.01,,,0.01,0.02,,,,,0.02,0.01,0.04,,0.01,0.02,0.03,0.05,0.03,0.07,0.31,,0.01,0.01,0.06
PRES_0_1,0.01,0.02,0.01,,,,0.01,,,,0.01,0.01,,0.21,0.01,0.01,0.02,0.02,0.02,0.07,0.19,,0.01,0.01,0.03
PRES_1_1,,,,,0.01,,,0.01,,,0.01,,0.01,,,0.01,0.01,0.01,0.01,0.02,0.14,,,,0.02
PRES_1_3,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.14,0.23,0.41,,0.15,0.44,0.36,2.16,,,0.12,0.23,2.69,,0.15,0.29,0.39,0.52,0.4,1.24,,,0.14,0.14,0.55
DEWP_0_0,0.12,0.13,0.84,,0.12,0.27,0.83,0.46,,,0.19,0.11,,,0.14,0.23,0.33,0.44,0.34,0.98,3.68,6.13,0.11,0.13,0.58
DEWP_0_1,0.01,0.01,,0.04,0.01,0.01,,0.02,0.05,0.34,,,0.01,,0.01,0.01,0.02,0.02,0.02,0.02,0.15,,0.01,0.01,0.02
DEWP_1_1,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_1,0.13,0.16,0.48,2.03,0.13,0.32,0.42,0.68,2.66,12.56,0.13,0.16,0.55,7.99,0.11,0.29,0.36,0.62,0.36,1.36,6.37,,0.13,0.12,0.47
WSPM_0_0,0.01,0.01,0.03,0.13,0.01,0.02,0.03,0.03,0.15,,0.01,0.01,0.03,,0.01,0.01,0.02,0.03,0.02,0.09,0.39,,0.01,0.01,0.04
WSPM_1_1,,,0.01,0.06,,0.01,0.01,0.01,0.07,,,,0.01,,,0.01,0.01,0.02,0.01,0.04,,,,,0.02
WSPM_1_2,,,0.01,0.05,,0.01,0.01,0.01,0.07,,,,0.01,,,0.01,0.01,,0.01,0.05,,,,,0.02
WSPM_1_0,,,,0.02,,,,,0.02,,,,,,,,,0.01,,0.01,,,,,0.01
WSPM_0_2,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,
WSPM_1_3,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.21,0.24,0.74,3.2,0.22,0.48,0.65,0.76,3.67,,0.24,0.22,0.73,14.64,0.21,0.35,0.55,0.65,0.5,1.81,5.93,,0.16,0.22,1.75
PM10_1,0.14,0.17,0.53,2.13,0.13,0.35,0.48,0.62,2.69,13.33,0.14,0.17,0.52,11.1,0.14,0.27,0.35,0.55,0.39,0.86,4.12,9.66,0.15,0.12,0.47
PM10_2,,,0.01,0.02,,,0.01,0.01,0.03,,,,,,,,,,,,,0.05,,,
