,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.24,0.37,,,,,0.89,0.7,0.82,0.47,,,,1.07,0.67,0.53,0.21,0.21,,0.78,0.65,0.62,0.69,0.48,0.48,0.48,0.4,0.27,,1.04,0.76
TEMP_0_0,0.37,1.24,,,,,0.6,1.03,0.66,0.58,,,,0.85,0.84,0.15,0.61,0.69,,0.79,0.75,0.73,0.43,0.46,0.39,0.4,0.47,0.31,,1.04,0.77
TEMP_1_1,,,1.46,,,,1.04,,0.72,,1.04,,,0.76,0.23,1.31,,,,0.77,1.0,0.57,0.52,0.59,0.57,0.41,0.28,,,1.25,0.45
TEMP_0_2,,,,1.78,,,0.36,,,1.14,,1.5,,0.99,0.92,,,1.24,,0.6,0.77,0.66,1.24,0.63,0.54,0.46,0.57,,,1.26,1.01
TEMP_0_1,,,,,1.88,,0.44,0.86,,1.39,,1.0,,0.36,,,1.77,,,0.61,0.47,1.37,,0.7,0.56,0.57,0.51,0.79,,1.26,1.12
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.0,0.63,0.85,0.2,0.21,,1.29,0.17,0.4,,,,,1.05,0.48,0.81,0.29,0.29,,0.78,0.77,0.67,0.67,0.47,0.5,0.35,0.35,0.25,,1.04,0.83
PRES_1_1,0.78,1.12,,,0.41,,0.18,1.32,,,,,,0.86,0.8,,0.71,0.76,,0.78,0.76,0.77,0.44,0.46,0.43,0.48,0.48,0.33,,1.08,0.78
PRES_1_0,1.04,0.87,0.7,,,,0.45,,1.39,,,,,1.08,0.75,0.71,0.37,,,0.75,0.78,0.72,0.75,0.53,0.47,0.46,0.46,0.27,,1.19,0.65
PRES_1_2,0.77,0.94,,0.9,0.99,,,,,1.59,,,,0.93,1.07,,0.92,,,0.86,0.67,0.75,0.73,0.7,0.55,0.58,0.52,0.46,,1.23,0.83
PRES_0_1,,,1.68,,,,,,,,1.84,,,,,1.68,,,,1.09,1.16,,,0.73,0.64,0.53,,,,1.43,0.62
PRES_1_3,,,,1.68,1.01,,,,,,,1.88,,0.65,0.76,,0.96,1.43,,0.67,0.88,1.0,1.0,0.51,0.47,0.55,0.55,0.5,,1.27,1.09
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.96,0.75,0.51,0.43,0.14,,0.85,0.69,0.76,0.52,,0.24,,1.18,0.28,,,,,0.78,0.62,0.7,0.71,0.39,0.38,0.25,0.16,,,0.95,0.82
DEWP_0_0,0.89,1.09,0.21,0.6,,,0.57,0.95,0.77,0.87,,0.44,,0.39,1.41,,,,,0.61,0.89,0.57,0.39,0.66,0.6,0.66,0.66,0.39,,1.24,0.49
DEWP_1_1,0.72,0.2,1.34,,,,1.01,,0.76,,1.08,,,,,1.47,,,,0.79,1.06,0.42,0.54,0.55,0.57,0.39,0.29,,,1.24,0.59
DEWP_0_2,0.38,1.06,,,1.36,,0.48,1.13,0.52,1.0,,0.73,,,,,1.66,,,0.86,0.5,1.13,,0.63,0.48,0.58,0.52,0.58,,1.2,0.97
DEWP_0_1,0.39,1.26,,1.13,,,0.47,1.26,,,,1.15,,,,,,1.7,,0.86,0.69,0.79,0.73,0.59,0.43,0.66,0.77,0.61,,1.28,0.86
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,0.92,0.92,0.67,0.33,0.32,,0.81,0.84,0.7,0.62,0.59,0.33,,1.02,0.59,0.68,0.57,0.54,,1.35,,,,,0.36,,,,,1.11,0.77
WSPM_0_1,0.78,0.89,0.89,0.45,0.25,,0.85,0.82,0.7,0.49,0.65,0.46,,0.83,0.8,0.92,0.35,0.45,,,1.34,,,,0.44,0.25,,,,1.19,0.5
WSPM_0_3,0.82,0.96,0.57,0.43,0.8,,0.81,0.93,0.75,0.62,,0.59,,1.04,0.59,0.41,0.86,0.58,,,,1.44,,,0.28,,,,,0.99,1.05
WSPM_0_4,1.09,0.67,0.61,0.97,,,0.97,0.62,0.92,0.73,,0.69,,1.26,0.5,0.62,,0.63,,,,,1.57,,,,,,,1.05,1.11
WSPM_0_0,1.01,0.97,0.92,0.66,0.62,,0.9,0.88,0.86,0.92,0.71,0.48,,0.89,1.09,0.85,0.74,0.69,,,,,,1.51,1.08,0.63,0.5,,,1.42,0.64
WSPM_1_0,1.18,0.83,1.01,0.62,0.55,,0.98,0.95,0.96,0.8,0.7,0.49,,1.03,1.06,0.98,0.65,0.56,,0.56,0.94,0.42,,1.27,1.17,,,,,1.44,0.7
WSPM_1_1,1.16,1.1,0.78,0.58,0.67,,0.88,1.09,0.89,0.94,0.62,0.62,,0.87,1.2,0.76,0.86,0.88,,,0.44,,,0.7,,1.86,,,,1.54,
WSPM_1_2,1.14,1.22,0.56,0.76,0.61,,0.98,1.15,0.92,0.87,,0.66,,0.75,1.28,0.56,0.8,1.14,,,,,,0.5,,,1.99,,,1.56,
WSPM_1_3,1.07,1.37,,,1.52,,0.98,1.28,0.91,1.2,,1.0,,,1.27,,1.45,1.41,,,,,,,,,,2.52,,1.78,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.73,0.73,0.66,0.44,0.39,,0.67,0.69,0.65,0.53,0.47,0.4,,0.75,0.67,0.64,0.48,0.49,,0.66,0.7,0.52,0.46,0.48,0.44,0.43,0.41,0.29,,1.05,0.3
PM10_1,0.93,0.89,0.4,0.58,0.58,,0.9,0.83,0.6,0.62,0.34,0.56,,1.1,0.44,0.5,0.66,0.55,,0.79,0.52,0.94,0.84,0.28,0.31,,,,,0.5,1.31
