,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,0.93,1.12,,,0.99,0.93,1.06,1.01,,,1.0,1.01,1.18,,1.02,0.75,0.72,0.77,0.62,0.82,0.63,,1.13,0.88
TEMP_0_0,1.28,0.9,,,1.2,0.84,1.55,0.77,,,1.24,1.04,0.83,,1.06,0.84,0.92,0.89,0.69,0.74,0.52,0.42,1.22,0.97
TEMP_1_1,,,0.81,,2.23,,0.86,,,,1.27,1.74,,0.44,1.38,1.06,1.02,1.04,0.89,1.14,,,1.54,1.27
TEMP_0_2,,,,0.69,,,,,0.67,0.47,,,1.22,,2.03,1.56,1.63,1.86,1.23,1.39,,,2.33,1.7
PRES_0_0,0.95,0.97,1.19,,0.93,1.03,,1.43,,,0.97,0.99,1.03,,0.98,0.76,0.75,0.78,0.64,0.75,0.53,0.47,1.12,0.84
PRES_1_0,1.33,1.17,,,1.65,0.84,,,,,1.53,1.21,1.09,,1.3,0.95,1.02,1.02,0.74,0.92,0.68,,1.44,1.23
PRES_0_1,1.86,2.0,0.81,,,,0.82,,,,1.23,1.72,,0.43,1.31,1.06,1.02,1.04,0.87,1.13,0.71,,1.49,1.24
PRES_1_1,1.65,1.23,,,2.39,,,0.8,,,2.06,1.4,1.01,,1.48,1.04,1.04,1.08,0.87,1.0,0.87,,1.59,1.35
PRES_1_3,,,,0.72,,,,,0.67,,,,1.28,,2.2,1.6,1.7,1.88,1.28,1.41,,,2.4,1.85
PRES_1_2,,,,1.23,,,,,,0.55,,,2.12,,3.13,,,,,,,,4.54,2.55
DEWP_1_0,1.03,1.13,0.77,,1.08,0.96,0.78,1.51,,,0.92,1.31,,,0.99,0.79,0.79,0.8,0.65,0.81,,,1.16,0.88
DEWP_0_0,1.05,0.97,1.12,,1.08,0.87,1.18,0.82,,,1.33,0.91,,,1.06,0.78,0.78,0.81,0.64,0.84,0.57,0.43,1.15,0.96
DEWP_0_1,1.72,1.21,,0.63,1.64,1.15,,0.94,0.6,0.45,,,0.81,,1.45,1.04,1.08,1.07,0.85,0.83,0.68,,1.57,1.17
DEWP_1_1,,,1.89,,,,1.97,,,,,,,0.57,3.05,2.34,1.96,,2.3,,,,3.5,
WSPM_0_1,1.06,1.02,0.86,0.67,1.1,0.89,0.88,0.94,0.67,0.42,1.0,1.1,0.94,0.45,0.92,1.03,0.81,1.06,0.72,,,,1.18,0.88
WSPM_0_0,1.36,1.28,1.16,0.88,1.43,1.18,1.19,1.06,0.84,,1.36,1.29,1.18,,1.52,0.85,1.07,1.07,0.71,1.4,,,1.48,1.13
WSPM_1_1,1.47,1.39,1.22,0.99,1.53,1.24,1.24,1.14,0.94,,1.55,1.39,1.26,,1.78,0.92,0.82,2.64,0.8,1.48,,,1.58,1.42
WSPM_1_2,1.49,1.55,1.2,1.03,1.54,1.35,1.27,1.21,1.03,,1.71,1.45,1.26,,1.75,1.28,1.09,0.8,1.56,,,,1.59,1.49
WSPM_1_0,1.6,1.57,1.38,1.02,1.66,1.48,1.39,1.33,0.96,,1.63,1.65,1.37,,1.58,1.07,1.53,1.46,0.85,1.52,,,1.76,1.44
WSPM_0_2,1.89,1.52,1.67,1.0,1.78,1.41,1.74,1.28,0.93,,1.86,1.76,1.2,,,1.68,1.71,,1.36,0.76,,,1.99,1.37
WSPM_1_3,3.32,2.23,,,3.48,1.9,2.12,1.77,,,,2.33,1.98,,,,,,,,0.63,,2.77,2.95
WSPM_0_3,3.19,2.66,,,2.89,,,,,,,2.76,,,,,,,,,,0.58,,2.23
PM10_0,0.92,0.87,0.74,0.58,0.96,0.77,0.75,0.73,0.56,0.39,0.92,0.9,0.78,0.41,0.89,0.66,0.69,0.71,0.55,0.72,0.49,,0.97,0.9
PM10_1,1.19,1.16,1.09,0.78,1.21,1.06,1.13,1.03,0.79,0.51,1.19,1.23,1.0,,1.17,0.95,0.84,0.88,0.75,0.77,,0.49,1.51,0.88
