,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.37,,0.98,0.55,0.27,0.82,0.67,0.59,0.57,0.55,0.49,0.47,0.36,0.97,0.57
PRES_0_1,1.0,1.0,,,0.98,0.55,0.25,0.82,0.66,0.59,0.57,0.56,0.49,0.47,0.35,0.97,0.57
PRES_0_0,1.54,,3.03,,1.53,,,1.16,1.49,,,,,,1.18,1.56,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.37,,1.02,,,0.81,0.69,0.6,0.59,0.56,0.46,0.49,0.36,0.98,0.59
DEWP_1_0,1.29,1.29,,,,1.94,,1.25,0.4,0.78,,0.71,0.89,,,1.24,0.56
DEWP_0_0,1.75,1.59,,,,,3.87,,,,,,1.73,,,1.79,
WSPM_0_1,1.09,1.09,0.37,,1.05,0.71,,1.22,,,,0.5,0.21,,,1.06,0.61
WSPM_0_2,1.19,1.17,0.61,,1.2,0.28,,,1.55,,,0.4,,,,1.16,0.64
WSPM_0_0,1.25,1.25,,,1.22,0.69,,,,1.49,,1.14,0.71,,,1.21,0.76
WSPM_0_3,1.28,1.28,,,1.29,,,,,,1.87,0.33,,,,1.22,0.87
WSPM_1_0,1.29,1.29,,,1.26,0.72,,0.81,0.49,1.33,0.37,1.15,,,,1.24,0.81
WSPM_1_1,1.36,1.37,,,1.25,1.07,0.84,0.68,,0.64,,,2.06,,,1.35,0.6
WSPM_0_4,1.38,1.39,,,1.4,,,,,,,,,2.31,,1.3,0.66
WSPM_1_2,1.55,1.49,1.22,,1.55,,,,,,,,,,3.0,1.58,
PM10_0,1.01,1.01,0.39,,0.99,0.56,0.29,0.83,0.68,0.6,0.56,0.57,0.5,0.47,0.38,1.02,0.35
PM10_1,1.27,1.28,,,1.27,0.53,,1.05,0.87,0.72,0.89,0.64,0.45,0.5,,0.75,1.66
