,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.98,0.01,,0.91,0.09,0.01,0.69,0.28,0.57,0.12,0.75,0.23,0.05,0.04,0.94,0.73,0.08
PRES_0_1,1.0,1.0,,,0.91,0.09,0.01,0.69,0.27,0.58,0.12,0.75,0.24,0.05,0.03,0.94,0.74,0.08
PRES_0_0,1.0,,0.99,,1.0,,,0.69,0.8,0.22,,0.7,,,0.14,1.0,0.33,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,0.99,0.02,,1.0,0.01,,0.67,0.3,0.57,0.13,0.75,0.2,0.05,0.04,0.95,0.74,0.08
DEWP_1_0,0.98,0.98,,,,0.98,0.06,0.94,0.06,0.61,,0.76,0.54,,,0.89,0.66,0.04
DEWP_0_0,0.82,0.62,,,,0.62,0.72,0.56,,0.62,,0.74,0.54,,,0.82,0.77,0.54
WSPM_0_1,1.0,0.98,0.01,,0.87,0.13,0.01,0.98,0.13,0.64,0.03,0.91,0.27,0.01,0.02,0.96,0.73,0.07
WSPM_0_2,1.0,0.97,0.04,0.02,0.99,0.01,,0.3,0.98,0.36,0.04,0.55,0.06,,0.02,0.96,0.67,0.04
WSPM_0_0,0.99,0.99,,,0.91,0.11,0.04,0.79,0.09,0.89,0.03,0.93,0.31,,0.06,0.95,0.74,0.1
WSPM_0_3,1.0,1.0,,,1.0,,,0.1,0.1,0.23,0.99,0.33,,,,0.88,0.81,0.14
WSPM_1_0,1.0,0.99,,,0.91,0.1,0.02,0.76,0.15,0.76,0.05,0.85,0.25,,0.03,0.95,0.75,0.11
WSPM_1_1,1.0,1.0,,,0.77,0.24,0.06,0.82,0.14,0.75,,0.82,0.87,,0.04,0.93,0.82,0.11
WSPM_0_4,1.0,1.0,,,1.0,,,0.16,,,,0.2,,0.99,,0.86,0.72,
WSPM_1_2,1.0,0.9,,,1.0,,,0.55,0.16,0.57,,0.57,0.43,,0.92,1.0,0.63,
PM10_0,1.0,0.98,0.02,0.01,0.91,0.1,0.02,0.7,0.28,0.6,0.1,0.77,0.26,0.05,0.05,0.99,0.63,0.05
PM10_1,0.99,0.99,,,0.94,0.06,0.01,0.65,0.28,0.51,0.15,0.7,0.19,0.04,,0.88,0.97,0.13
PM10_2,0.99,0.99,,,0.96,,,0.67,0.17,0.44,0.24,0.69,,,,0.83,0.99,0.69
