,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.3,0.99,0.92,0.3,0.62,0.66,0.19,0.76,0.11,0.21,0.84,0.37,0.71,0.4,0.11
PRES_0_1,1.01,0.99,,,1.0,0.91,0.31,0.62,0.68,0.19,0.75,0.11,0.2,0.83,0.38,0.72,0.39,0.11
PRES_0_0,10.05,,0.15,,9.19,,,5.01,2.46,3.95,,0.98,,,1.12,6.76,7.08,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.05,1.05,0.96,0.29,0.96,14.23,,0.67,0.64,0.2,0.73,0.12,0.25,0.8,0.35,0.74,0.41,0.12
DEWP_1_0,3.52,3.46,,,,0.29,0.11,1.55,26.99,0.59,,0.37,0.28,,,2.55,1.57,0.58
DEWP_0_0,18.92,18.62,,,,2.26,0.1,8.38,,2.31,,1.63,1.22,,,12.73,7.39,0.23
WSPM_0_1,1.53,1.52,2.45,,1.58,0.98,0.36,0.67,2.56,0.26,6.64,0.14,0.29,5.1,0.94,1.08,0.58,0.17
WSPM_0_2,2.34,2.4,0.74,0.25,2.16,7.63,,2.84,0.44,0.75,4.13,0.36,0.94,,1.9,1.63,0.89,0.3
WSPM_0_0,3.01,2.98,,,3.02,2.73,0.65,1.75,3.15,0.37,7.29,0.26,0.45,,1.02,2.07,1.34,0.32
WSPM_0_3,3.3,3.24,,,3.02,,,7.91,8.44,1.69,0.31,0.78,,,,2.55,1.15,0.23
WSPM_1_0,3.46,3.44,,,3.44,3.13,0.59,2.0,3.64,0.51,6.02,0.34,0.7,,2.04,2.4,1.48,0.4
WSPM_1_1,4.57,4.5,,,5.3,1.64,0.45,2.39,8.4,0.64,,0.43,0.25,,0.69,3.25,1.99,0.68
WSPM_0_4,4.91,4.83,,,4.49,,,33.48,,,,3.13,,0.21,,3.78,2.02,
WSPM_1_2,9.53,9.38,,,8.71,,,8.02,12.54,1.42,,1.16,1.09,,0.14,6.41,11.92,
PM10_0,1.22,1.23,0.85,0.25,1.22,1.02,0.33,0.75,0.82,0.24,1.15,0.14,0.25,0.99,0.35,0.83,0.55,0.25
PM10_1,1.86,1.83,,,1.8,2.61,0.66,1.16,1.22,0.34,0.98,0.2,0.36,2.24,1.4,1.41,0.55,0.11
PM10_2,10.64,10.47,,,9.98,,,6.71,12.64,1.69,2.94,1.15,,,,8.46,3.2,0.14
