,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1123.5,,0.02,0.65,,1.41,1.07,0.54,0.61,0.74,,1.5,0.67,1.54,1.54,,1.12,0.92,0.87,0.89,0.93,0.85,0.9,1.59,1.16,,0.92,0.93
TEMP_0_1,,5028.69,,,,0.36,1.77,2.26,1.21,1.1,,454.26,,,,,0.92,0.91,1.76,1.19,1.44,1.19,1.12,,0.52,,1.87,1.32
TEMP_0_0,,0.07,289.14,3.33,23.88,0.8,,1.63,3.48,2.51,23.88,0.01,132.14,,,23.88,0.6,1.7,0.64,1.31,0.73,1.54,1.44,,1.0,23.88,0.74,0.9
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.89,0.46,0.84,,3.3899999999999997,570.54,,0.08,0.11,0.21,3.3899999999999997,1.27,0.81,,,3.3899999999999997,1.21,0.98,0.8,1.16,1.08,1.21,1.14,0.63,0.65,3.3899999999999997,2.19,0.67
PRES_1_3,1.19,1.61,,,,,1537.15,,,0.06,,1.97,0.55,1.32,1.57,,0.6,0.71,1.29,0.82,0.98,0.84,0.86,2.99,1.7,,0.48,1.37
PRES_1_1,0.3,2.53,1.91,9.29,,,0.05,219.85,0.43,0.76,,0.31,3.09,1.65,3.45,,1.41,0.66,0.83,1.19,1.72,0.62,0.83,,1.19,,2.02,0.96
PRES_1_0,0.39,1.06,3.6,,14.669999999999998,0.05,,0.27,229.94,6.14,14.669999999999998,0.6,1.65,,,14.669999999999998,0.65,3.11,1.35,1.16,0.46,1.21,1.5,,1.18,14.669999999999998,1.05,1.09
PRES_0_0,0.6,0.87,2.51,,,0.22,0.08,0.5,7.82,106.71,,0.73,1.16,6.54,2.92,,1.51,1.25,1.06,0.44,0.5,0.75,0.57,,,,0.57,4.32
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.32,1.45,,,,1.11,1.21,0.65,0.83,0.87,,528.77,0.01,0.32,0.43,,1.18,0.91,1.19,0.97,0.86,1.01,1.0,0.89,0.73,,1.03,1.08
DEWP_0_1,0.46,0.04,7.55,4.15,12.419999999999998,0.76,0.49,2.28,1.43,1.26,12.419999999999998,0.01,216.95,,1.31,12.419999999999998,0.48,1.4,0.55,1.17,1.52,1.01,1.05,1.28,1.92,12.419999999999998,0.99,0.75
DEWP_0_0,,,,,,,,,10.39,19.15,,0.26,,1561.09,148.25,,10.01,,,,,,,,,,0.31,5.16
DEWP_1_0,,,,,,,,,,,,,,,159.65,,24.32,,,,,,,,,,0.25,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,0.88,0.61,,,1.26,0.59,1.13,0.89,1.09,,1.87,0.44,2.32,1.57,,106.57,0.22,,0.22,0.06,0.17,0.31,,,,0.44,2.61
WSPM_0_1,0.89,0.91,1.49,,7.529999999999999,0.99,0.77,0.8,1.66,1.56,7.529999999999999,0.77,1.36,,,7.529999999999999,0.23,47.01,0.29,1.11,0.9,1.3,2.63,0.26,0.36,7.529999999999999,3.04,0.68
WSPM_0_2,0.72,1.73,0.86,4.94,,0.69,1.47,0.69,1.27,0.79,,1.95,0.51,,,,0.1,0.32,151.67,0.43,0.21,0.48,0.73,,,,0.95,1.44
WSPM_0_0,0.74,1.03,1.6,,,1.28,0.77,1.37,0.84,0.81,,0.86,1.17,,,,0.18,0.67,0.76,11.83,1.39,1.83,4.93,,0.96,,3.74,0.34
WSPM_1_2,0.85,1.42,0.76,,,1.09,0.99,2.11,0.4,0.94,,0.62,1.8,,1.99,,0.28,0.9,0.29,2.62,70.07,1.09,0.54,,1.01,,6.83,0.53
WSPM_1_1,0.76,1.12,1.42,,,1.34,0.7,0.92,0.99,1.06,,1.04,0.96,,,,0.17,1.07,0.54,2.73,1.23,27.92,1.54,0.48,0.6,,12.49,0.48
WSPM_1_0,0.94,0.92,1.24,,,1.25,0.76,1.0,1.13,0.86,,1.03,0.99,,,,0.31,1.0,0.71,4.35,0.93,1.04,4.05,,0.61,,2.1,0.44
WSPM_0_4,189.23,,,,,0.49,6.35,,,,,0.6,1.78,4.85,3.19,,,0.08,0.15,,0.21,0.19,0.06,1261.83,,,0.22,7.03
WSPM_1_3,1.83,0.38,0.95,,,0.5,2.13,1.05,0.92,1.07,,0.38,2.5,4.57,5.09,,0.53,,0.45,0.42,0.2,,0.15,1.05,562.91,,0.67,1.27
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.04,0.96,0.98,1.17,3.54,1.19,0.82,1.05,0.93,0.85,3.54,0.98,1.02,0.78,0.88,3.54,0.71,1.24,0.9,1.4,1.42,1.29,1.28,0.49,1.24,3.54,10.51,0.54
PM10_1,0.9,1.07,1.09,,,0.58,1.67,0.77,1.26,1.57,,1.07,0.94,1.77,1.45,,2.37,0.43,1.28,0.26,0.04,0.28,0.4,2.92,0.27,,0.2,24.46
