,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.28,0.18,0.97,0.48,0.3,0.93,0.66,1.06,0.52,1.56,0.69,0.4,0.36,1.05,1.05,0.63
PRES_0_1,1.0,1.01,,,0.97,0.49,0.27,0.93,0.64,1.07,0.53,1.57,0.7,0.4,0.34,1.05,1.07,0.64
PRES_0_0,1.0,,18.9,,1.04,,,0.8,1.68,,,1.22,,,1.86,1.32,0.27,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.29,0.2,1.06,,,0.88,0.71,1.05,0.57,1.56,0.59,0.43,0.37,1.05,1.08,0.66
DEWP_1_0,0.99,1.0,,,,5.75,0.75,1.4,0.1,1.13,,1.54,1.65,,,1.07,0.8,
DEWP_0_0,1.0,0.8,,,,,37.64,0.65,,1.56,,,3.66,,,1.29,,
WSPM_0_1,1.0,1.0,0.23,,0.93,0.73,0.15,1.73,0.04,0.59,,1.41,0.34,,,1.08,1.03,0.66
WSPM_0_2,1.0,0.97,0.67,1.0,1.05,0.06,,0.05,3.21,0.24,,0.65,,,,1.05,1.03,0.41
WSPM_0_0,1.0,1.0,,,0.96,0.5,,0.54,0.16,3.76,0.11,4.22,1.31,,0.33,1.06,1.07,0.73
WSPM_0_3,1.0,1.01,,,1.06,,,,,0.18,5.23,0.39,,,,0.88,1.33,1.48
WSPM_1_0,1.0,1.0,,,0.97,0.5,,0.8,0.29,2.77,0.15,3.16,0.76,,,1.03,1.08,0.67
WSPM_1_1,1.0,1.01,,,0.82,1.29,2.32,0.86,,1.76,,1.13,6.91,,,1.08,1.05,
WSPM_0_4,1.0,1.01,,,1.06,,,,,,,,,9.2,,1.01,0.9,
WSPM_1_2,1.0,0.91,,,1.05,,,,,0.98,,,,,18.57,1.29,0.34,
PM10_0,1.0,0.99,0.4,0.27,0.97,0.52,0.41,0.94,0.64,1.11,0.43,1.65,0.78,0.4,0.51,1.28,0.59,0.27
PM10_1,1.0,1.01,,,1.0,0.32,,0.9,0.71,0.94,0.71,1.33,0.51,0.3,,0.61,2.15,1.02
PM10_2,1.0,1.01,,,1.04,,,0.79,,1.2,1.29,1.6,,,,0.32,2.04,17.55
