,ENE_0,E_0,NE_0,ESE_0,SW_0,SE_0,N_0,SSW_0,NW_0,S_0,NNW_0,NNE_0,SSE_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,NW_2,NE_1,E_1,NW_1,SW_1,SW_2,NNE_2,WSW_1,ESE_1,SSW_1,NW_3,NNW_1,SE_1,N_1,ENE_2,SW_3,WSW_2,E_2,NE_2,NNW_2,WNW_1,S_1,SSE_1,SSW_2,NW_4,ESE_2,NE_3,WSW_3,ENE_3,NE_4,WNW_2,SW_4,NE_6,WSW_4,nan_0,E_3,NE_5,S_2,NNW_3,E_4,N_2,SSW_3,W_1,ESE_3,ENE_4,W_2,SE_2,ESE_5,SE_4,N_3,NNW_4,WNW_3,ESE_4,WNW_4,SSW_6,SE_3,N_5,ENE_5,ENE_7,WSW_5,SSW_4,SSE_3,S_3,SSE_2,ENE_6,WNW_5,N_4,WNW_6,SSW_5,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,0.81,0.81,0.79,0.75,0.83,0.77,0.74,0.8,0.82,0.74,0.82,0.69,0.78,0.85,0.8,0.9,0.64,0.68,1.3,0.8,0.68,0.72,0.91,1.04,0.8,1.43,0.88,0.77,,,1.18,0.58,0.62,,,0.7,0.8,,,,0.63,,,0.64,,,0.92,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.13,1.58,1.18,1.48,1.47,1.49,1.45,1.47,1.48,1.65,0.46,1.52,1.18
E_0,0.82,0.82,0.84,0.75,0.81,0.77,0.84,0.76,0.85,0.77,0.84,0.71,0.72,0.84,0.81,0.87,0.78,0.77,0.8,0.87,0.67,0.88,0.76,0.95,0.65,0.93,0.78,0.62,,,0.74,0.75,0.61,,,0.77,0.72,,,1.02,0.86,,,0.55,,,0.69,,,,,,0.64,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.1,1.6,1.15,1.48,1.49,1.48,1.49,1.47,1.53,1.66,0.46,1.53,1.2
NE_0,0.83,0.84,0.8,0.86,0.96,0.81,0.75,0.89,0.85,0.82,0.79,0.66,0.79,0.93,0.84,0.93,0.66,0.67,0.87,0.68,0.84,0.72,0.85,,0.84,,1.11,,,0.59,,0.64,0.62,,,0.76,0.7,,,,,,,0.73,0.67,,0.7,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.2,1.6,1.25,1.53,1.48,1.57,1.46,1.54,1.5,1.69,0.64,1.56,1.16
ESE_0,0.95,0.89,0.92,0.81,0.81,0.79,0.94,0.77,0.85,0.74,0.98,0.87,0.7,0.83,0.87,0.83,0.81,0.68,,0.86,0.7,,0.77,0.95,0.75,1.02,0.6,0.63,,,0.59,,0.91,,,0.64,,,,0.73,0.51,0.76,,0.52,,,,,,,,,,0.64,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,1.71,1.15,1.69,1.18,1.55,1.58,1.55,1.59,1.53,1.63,1.75,0.49,1.61,1.32
SW_0,1.22,1.11,1.07,1.07,0.77,0.99,1.06,0.78,1.11,0.84,1.12,0.97,0.88,0.7,0.92,0.71,1.0,1.14,,,1.14,1.07,0.65,0.77,,0.56,,0.62,,,,,,0.94,0.54,,,,,0.66,0.8,0.53,,,,0.46,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.33,1.76,1.28,1.67,1.69,1.61,1.81,1.6,1.77,1.86,,1.75,1.37
SE_0,1.09,0.97,1.1,0.86,0.87,0.79,1.14,0.81,1.04,0.76,0.95,1.05,0.75,0.86,0.86,0.85,1.42,1.07,,1.02,0.85,,0.82,1.31,,0.84,0.69,0.64,,,0.55,,0.86,,,0.85,,,,0.6,0.65,,,0.68,,,,,,,,,0.6,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.26,1.82,1.27,1.68,1.69,1.65,1.76,1.63,1.75,1.88,0.5,1.73,1.49
N_0,1.0,0.99,0.94,0.94,1.01,0.91,0.79,0.93,0.85,0.93,0.76,0.8,0.89,0.88,0.78,0.78,0.72,1.01,0.99,0.88,1.21,0.96,,,0.66,,,,,0.8,,0.78,,,,,0.87,0.63,0.89,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.67,1.74,1.67,1.73,1.66,1.77,1.62,1.79,1.62,1.89,,1.76,1.2
SSW_0,1.33,1.25,1.31,1.09,0.81,0.94,1.25,0.77,1.06,0.77,1.14,1.22,0.82,0.76,0.99,0.77,,1.15,,,1.04,,0.6,0.48,,0.5,0.84,0.67,,,,,,0.84,,,,,,0.56,0.63,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.34,1.79,1.3,1.68,1.78,1.61,1.92,1.63,1.8,1.9,,1.79,1.37
NW_0,1.17,1.22,1.07,1.3,0.93,1.15,0.84,1.23,0.75,1.11,0.73,0.89,1.08,0.95,0.71,0.82,0.6,1.14,0.74,0.9,,0.71,,,0.93,,,,0.65,0.72,,0.75,,,,,,0.6,0.53,,,,,,,,,,0.52,,,,0.6,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,2.28,1.76,1.93,1.78,1.66,1.85,1.63,1.99,1.59,1.92,,1.87,1.23
S_0,1.32,1.16,1.36,1.04,0.82,0.89,1.21,0.75,1.32,0.77,1.23,1.27,0.77,0.82,1.02,0.76,1.29,1.32,,1.25,0.91,,0.45,0.7,,,,0.57,,,0.61,,,,,,,,,0.67,0.61,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.36,1.86,1.33,1.7,1.82,1.65,1.92,1.67,1.88,1.95,,1.8,1.44
