,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.28,0.35,0.97,0.51,0.57,1.18,0.83,2.26,0.6,3.69,1.6,0.44,0.63,1.22,1.6,1.7
PRES_0_1,1.0,1.01,,,0.97,0.51,0.55,1.18,0.8,2.28,0.61,3.7,1.63,0.45,0.59,1.21,1.62,1.73
PRES_0_0,1.0,,18.9,,1.06,,,1.17,2.33,0.82,,3.47,,,1.86,1.32,0.75,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.29,0.39,1.06,0.03,,1.13,0.89,2.24,0.66,3.69,1.39,0.48,0.67,1.22,1.62,1.74
DEWP_1_0,0.98,1.0,,,,5.72,2.12,1.68,0.16,2.44,,3.71,3.81,,,1.15,1.39,0.84
DEWP_0_0,0.82,0.62,,,,3.58,31.94,0.74,,2.28,,2.92,4.09,,,1.08,1.65,9.83
WSPM_0_1,1.0,1.0,0.23,,0.93,0.74,0.6,1.77,0.32,2.57,0.13,4.61,1.85,0.04,0.28,1.24,1.59,1.63
WSPM_0_2,1.0,0.98,0.67,1.93,1.05,0.06,,0.37,3.21,1.15,0.13,2.35,0.27,,0.23,1.23,1.46,0.87
WSPM_0_0,0.99,1.0,,,0.96,0.59,1.14,1.3,0.27,3.93,0.17,5.16,2.24,,0.96,1.22,1.66,2.39
WSPM_0_3,1.0,1.01,,,1.06,,,0.11,0.24,0.78,5.24,1.39,,,,1.12,1.81,3.14
WSPM_1_0,1.0,1.0,,,0.97,0.55,,1.29,0.41,3.13,0.22,4.28,1.65,,0.36,1.22,1.62,2.34
WSPM_1_1,1.0,1.01,,,0.82,1.38,2.32,1.38,0.32,2.64,,3.31,7.09,,0.77,1.2,1.82,2.01
WSPM_0_4,1.0,1.01,,,1.06,,,0.21,,,,0.84,,9.2,,1.12,1.55,
WSPM_1_2,1.0,0.91,,,1.06,,,0.9,,2.42,,2.65,1.61,,18.57,1.32,1.31,
PM10_0,1.0,0.99,0.4,0.52,0.97,0.56,0.74,1.2,0.83,2.35,0.51,3.79,1.76,0.44,0.9,1.31,1.33,1.09
PM10_1,1.0,1.01,,,1.0,0.31,0.23,1.11,0.86,2.02,0.8,3.43,1.31,0.35,,1.08,2.28,2.74
PM10_2,1.0,1.01,,,1.04,,,1.14,,2.1,1.29,3.72,,,,0.98,2.32,18.96
