,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.17,0.67,,,1.06,0.69,0.38,0.44,,,0.98,0.92,0.37,,0.92,0.85,0.73,0.66,0.82,0.42,0.23,,1.05,0.88
TEMP_0_0,0.73,1.22,,,0.89,0.85,0.24,0.82,,,0.67,0.97,0.8,,0.93,0.86,0.69,0.57,0.83,0.62,0.43,0.32,1.1,0.86
TEMP_1_1,,,1.54,,0.52,,1.47,,,,1.34,0.72,,0.56,1.11,0.97,0.84,0.81,0.94,0.48,,,1.29,0.9
TEMP_0_2,,,,2.12,,,,,2.03,1.07,,,1.86,,1.33,1.21,0.87,0.68,1.24,0.88,,,1.53,1.27
PRES_0_0,1.07,0.82,0.27,,1.16,0.47,,0.23,,,0.94,0.91,0.45,,0.92,0.83,0.69,0.63,0.82,0.48,0.21,0.3,1.03,0.89
PRES_1_0,0.98,1.22,,,0.75,1.42,,,,,0.86,1.1,0.75,,1.04,0.93,0.75,0.63,0.88,0.6,0.47,,1.22,0.91
PRES_0_1,0.68,0.39,1.4,,,,1.5,,,,1.33,0.67,,0.53,1.12,0.94,0.82,0.74,0.94,0.45,0.4,,1.27,0.86
PRES_1_1,0.86,1.39,,,0.38,,,1.57,,,0.38,1.15,1.08,,0.95,1.08,0.93,0.79,0.95,0.71,0.46,,1.3,0.91
PRES_1_3,,,,2.17,,,,,2.2,,,,1.9,,1.27,1.3,0.97,0.75,1.32,0.97,,,1.59,1.29
PRES_1_2,,,,2.8,,,,,,3.32,,,2.42,,2.22,,,,,,,,1.85,1.55
DEWP_1_0,1.0,0.7,0.78,,0.98,0.56,0.82,0.24,,,1.19,0.57,,,1.01,0.8,0.65,0.54,0.83,0.43,,,1.06,0.88
DEWP_0_0,0.98,0.99,0.37,,0.95,0.82,0.36,0.67,,,0.58,1.2,,,0.86,0.9,0.78,0.72,0.81,0.47,0.41,0.34,1.1,0.82
DEWP_0_1,0.66,1.22,,0.96,0.8,0.86,,1.03,0.9,0.53,,,1.52,,0.96,0.97,0.76,0.74,0.95,0.86,0.45,,1.2,1.03
DEWP_1_1,,,2.36,,,,2.34,,,,,,,3.03,1.9,1.4,1.25,,1.84,,,,2.04,
WSPM_0_1,0.92,0.93,0.61,0.41,0.94,0.71,0.66,0.53,0.36,0.28,0.97,0.84,0.56,0.24,1.19,0.59,0.46,0.42,0.77,,,,1.07,0.87
WSPM_0_0,1.08,0.98,0.68,0.42,1.05,0.82,0.67,0.71,0.43,,0.99,1.01,0.67,,0.64,1.37,0.94,0.55,1.24,0.3,,,1.27,0.8
WSPM_1_1,1.21,0.9,0.74,0.41,1.1,0.76,0.73,0.78,0.41,,1.04,1.15,0.67,,0.99,1.13,1.47,0.51,0.76,0.36,,,1.29,1.07
WSPM_1_2,1.18,0.93,0.8,0.34,1.12,0.8,0.76,0.77,0.36,,1.05,1.18,0.74,,0.69,0.88,0.22,1.56,0.68,,,,1.31,1.03
WSPM_1_0,1.18,1.06,0.73,0.52,1.11,0.99,0.74,0.74,0.5,,1.09,1.14,0.79,,0.97,1.44,0.96,0.43,1.38,0.41,,,1.35,1.0
WSPM_0_2,1.04,1.31,0.65,0.59,1.18,0.96,0.65,0.86,0.6,,0.99,0.96,1.18,,,0.46,0.44,,0.7,1.77,,,1.21,1.29
WSPM_1_3,1.17,1.75,,,1.37,1.26,1.1,0.92,,,,1.64,1.21,,,,,,,,2.5,,1.8,1.37
WSPM_0_3,1.11,2.15,,,1.84,,,,,,,2.12,,,,,,,,,,2.99,,1.98
PM10_0,0.86,0.82,0.58,0.35,0.83,0.67,0.61,0.57,0.34,0.16,0.82,0.86,0.55,0.23,0.85,0.82,0.7,0.63,0.78,0.42,0.33,,1.06,0.6
PM10_1,1.04,0.97,0.56,0.45,1.09,0.71,0.56,0.57,0.39,0.3,1.03,0.87,0.73,,1.05,0.8,0.63,0.5,0.8,0.68,,0.43,0.89,1.3
