,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.97,,,1.01,0.91,0.87,0.87,,,0.99,0.99,0.89,,0.99,0.89,0.84,0.85,0.83,0.81,0.66,,1.05,0.95
TEMP_0_0,1.03,1.0,,,1.04,0.92,0.91,0.88,,,1.01,1.02,0.9,,1.01,0.91,0.94,0.88,0.84,0.83,0.69,0.63,1.09,0.95
TEMP_1_1,,,1.0,,1.17,,1.01,,,,1.14,1.14,,0.69,1.14,1.02,0.98,0.98,0.95,0.92,,,1.21,1.07
TEMP_0_2,,,,1.0,,,,,0.98,0.78,,,1.19,,1.33,1.2,1.17,1.16,1.12,1.09,,,1.43,1.24
PRES_0_0,0.99,0.96,0.86,,1.0,0.88,,,,,0.98,0.98,0.88,,0.98,0.88,0.85,0.85,0.83,0.8,0.63,0.62,1.05,0.92
PRES_1_0,1.1,1.09,,,1.14,1.0,,,,,1.12,1.09,0.98,,1.11,0.99,0.96,0.93,0.88,0.9,0.76,,1.17,1.05
PRES_0_1,1.15,1.09,0.99,,,,1.0,,,,1.13,1.12,,0.68,1.12,1.01,0.97,0.97,0.94,0.91,0.76,,1.2,1.05
PRES_1_1,1.15,1.13,,,,,,1.0,,,1.1,1.15,1.02,,1.15,1.02,1.0,0.99,0.96,0.95,0.82,,1.22,1.08
PRES_1_3,,,,1.02,,,,,1.0,,,,1.21,,1.36,1.23,1.19,1.18,1.14,1.12,,,1.46,1.28
PRES_1_2,,,,1.29,,,,,,1.0,,,1.49,,1.68,,,,,,,,1.87,1.52
DEWP_1_0,1.01,0.99,0.88,,1.02,0.89,0.89,0.91,,,1.0,0.99,,,1.0,0.9,0.86,0.85,0.84,0.81,,,1.07,0.94
DEWP_0_0,1.02,0.98,0.88,,1.02,0.92,0.89,0.87,,,1.01,1.0,,,1.0,0.9,0.88,0.87,0.83,0.83,0.69,0.62,1.07,0.96
DEWP_0_1,1.12,1.11,,0.84,1.14,1.02,,0.98,0.83,0.67,,,1.0,,1.12,1.01,0.98,0.97,0.94,0.92,0.77,,1.2,1.06
DEWP_1_1,,,1.44,,,,1.46,,,,,,,1.0,1.59,,,,,,,,1.71,
WSPM_0_1,1.01,0.99,0.88,0.75,1.02,0.9,0.89,0.87,0.73,0.6,1.0,1.0,0.89,0.62,1.0,,0.74,0.9,0.88,,,,1.07,0.94
WSPM_0_0,1.13,1.1,0.98,0.83,1.14,1.01,0.99,0.98,0.82,,1.12,1.12,0.99,,,1.0,1.04,0.92,0.91,,,,1.2,1.01
WSPM_1_1,1.18,1.07,1.02,0.84,1.17,1.05,1.03,1.0,0.84,,1.16,1.14,1.01,,1.33,0.96,1.0,,,,,,1.21,1.14
WSPM_1_2,1.17,1.14,1.02,0.86,1.17,1.08,1.04,1.01,0.85,,1.18,1.15,1.03,,1.11,1.09,,1.0,,,,,1.22,1.15
WSPM_1_0,1.2,1.2,1.06,0.89,1.2,1.14,1.07,1.04,0.88,,1.2,1.21,1.06,,1.14,1.1,,,1.0,0.94,,,1.29,1.11
WSPM_0_2,1.24,1.2,1.09,0.91,1.25,1.12,1.1,1.06,0.9,,1.24,1.21,1.09,,,,,,1.07,1.0,,,1.31,1.16
WSPM_1_3,1.51,1.44,,,1.58,1.31,1.31,1.22,,,,1.44,1.31,,,,,,,,1.0,,1.56,
WSPM_0_3,,1.6,,,1.61,,,,,,,1.61,,,,,,,,,,1.0,,1.49
PM10_0,0.95,0.92,0.83,0.69,0.96,0.86,0.84,0.82,0.68,0.52,0.94,0.94,0.83,0.58,0.93,0.84,0.83,0.82,0.78,0.76,0.64,,1.0,0.88
PM10_1,1.06,1.06,0.93,0.8,1.08,0.95,0.95,0.92,0.78,0.66,1.07,1.05,0.94,,1.07,0.99,0.87,0.87,0.9,0.86,,0.67,1.13,1.0
