,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.95,,,,,0.94,0.9,0.92,0.88,0.79,,1.03,0.97,0.49,0.45,,0.87,0.89,0.87,0.82,0.8,0.77,0.75,0.68,0.67,,1.05,0.9
TEMP_0_1,,0.82,,,,1.41,1.07,0.89,1.0,0.97,,1.24,,,,,1.13,1.14,0.98,1.0,0.94,0.93,0.95,,1.04,,1.33,1.11
TEMP_0_0,,,0.77,,,1.4,,1.01,0.91,0.91,,,0.94,,,,1.31,1.15,1.23,1.03,1.16,0.98,1.0,,0.97,,1.46,1.22
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.08,1.1,0.92,,,0.9,,,,,,1.12,1.01,,,,0.93,0.96,0.96,0.85,0.86,0.79,0.79,0.87,0.82,,1.11,1.05
PRES_1_3,1.22,0.98,,,,,0.84,,,,,1.22,1.2,,,,1.14,1.09,0.96,1.01,0.95,0.96,0.95,0.73,0.75,,1.29,1.0
PRES_1_1,1.65,1.11,1.07,,,,,0.75,,,,1.63,1.11,,,,1.22,1.35,1.27,1.09,1.02,1.09,1.05,,0.97,,1.48,1.38
PRES_1_0,1.63,1.27,0.99,,,,,,0.76,1.06,,1.57,1.22,,,,1.37,1.17,1.16,1.21,1.43,1.1,1.01,,1.04,,1.52,1.32
PRES_0_0,1.7,1.43,1.13,,,,,,1.22,0.73,,1.7,1.39,0.54,,,1.29,1.34,1.34,1.26,1.28,1.2,1.52,,,,1.79,1.22
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.81,,,,0.94,0.87,0.86,0.8,0.76,,0.96,,,,,0.84,0.87,0.8,0.79,0.8,0.73,0.73,0.74,0.72,,1.02,0.87
DEWP_0_1,1.34,,0.76,,,1.23,1.23,0.86,0.91,0.9,,,0.83,,,,1.22,1.03,1.15,0.96,0.89,0.92,0.92,0.84,0.75,,1.27,1.11
DEWP_0_0,2.5,,,,,,,,,1.24,,,,0.51,,,1.8,,,,,,,,,,2.92,2.11
DEWP_1_0,2.85,,,,,,,,,,,,,,0.5,,2.28,,,,,,,,,,,2.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.28,1.13,1.11,,,1.2,1.24,0.97,1.12,0.86,,1.29,1.29,0.52,0.45,,0.82,,,,,,1.47,,,,1.42,0.99
WSPM_0_1,1.31,1.14,0.97,,,1.24,1.19,1.09,0.91,0.92,,1.34,1.08,,,,,0.83,,,,1.15,1.08,,,,1.29,1.26
WSPM_0_2,1.42,1.09,1.19,,,1.36,1.18,1.15,1.03,0.97,,1.37,1.35,,,,,,0.78,,,,1.55,,,,1.46,1.11
WSPM_0_0,1.53,1.28,1.11,,,1.38,1.39,1.11,1.12,1.43,,1.53,1.27,,,,,,,0.82,1.41,1.15,0.79,,,,1.47,1.67
WSPM_1_2,1.54,1.24,1.28,,,1.43,1.35,1.09,1.47,1.26,,1.6,1.23,,,,,,,1.29,0.75,,,,,,1.47,2.54
WSPM_1_1,1.68,1.39,1.24,,,1.51,1.52,1.32,1.37,1.23,,1.67,1.45,,,,,2.37,,1.18,,0.72,,,,,1.6,2.04
WSPM_1_0,1.66,1.43,1.28,,,1.53,1.54,1.33,1.24,1.17,,1.68,1.45,,,,1.91,1.46,1.48,1.0,,,0.87,,,,1.62,1.78
WSPM_0_4,1.56,,,,,1.76,1.24,,,,,1.78,1.42,,,,,,,,,,,0.68,,,2.13,1.18
WSPM_1_3,1.8,1.83,1.51,,,1.92,1.49,1.43,1.39,,,2.02,1.43,,,,,,,,,,,,0.65,,1.81,2.14
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.87,0.81,,,0.93,0.91,0.78,0.78,0.79,,1.02,0.87,0.53,,,0.91,0.84,0.83,0.74,0.74,0.7,0.71,0.84,0.67,,0.97,1.29
PM10_1,1.28,1.07,1.0,,,1.29,1.05,1.06,1.0,0.82,,1.28,1.14,0.64,0.42,,0.97,1.17,0.99,1.34,1.19,1.16,1.11,0.74,0.87,,1.92,0.85
