,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.58,1.25,,,1.33,0.95,0.15,0.27,,,1.26,1.18,0.14,,1.33,2.2,1.82,1.15,3.07,0.36,0.15,0.08,1.31,1.5,1.43
TEMP_0_0,0.96,1.8,,,0.96,1.31,0.04,1.09,,,0.54,1.11,0.89,,1.2,2.2,1.57,0.88,3.16,0.86,0.64,0.41,1.3,1.41,1.47
TEMP_1_1,,0.14,3.23,,0.15,0.07,2.79,,,,1.56,0.66,,0.91,1.4,2.14,1.99,1.35,3.15,0.3,,,1.48,1.62,1.25
TEMP_0_2,,,,7.72,,,,,7.56,3.19,,,3.11,,1.14,2.17,1.12,0.52,3.63,0.96,,,1.41,1.39,1.22
PRES_0_0,1.46,1.39,0.07,,1.51,0.81,,0.13,,,1.19,1.21,0.25,,1.33,2.12,1.71,1.06,3.07,0.48,0.13,0.33,1.27,1.5,1.51
PRES_1_0,1.05,1.62,,,1.01,2.62,,0.12,,,0.72,1.2,0.59,,1.26,2.3,1.5,1.0,3.24,0.67,0.61,,1.35,1.43,1.64
PRES_0_1,0.34,0.18,2.66,,,,3.03,,,,1.59,0.58,,0.82,1.46,2.09,1.88,1.12,3.16,0.27,0.45,,1.49,1.61,1.08
PRES_1_1,0.91,1.83,,,0.29,0.05,,3.44,,,0.15,1.01,1.27,,0.96,2.45,2.13,1.2,3.05,0.95,0.51,,1.35,1.33,1.19
PRES_1_3,,,,7.75,,,,,8.6,,,,3.12,,1.04,2.23,1.33,0.61,3.76,1.14,,,1.39,1.36,1.33
PRES_1_2,,,,7.56,,,,,,26.39,,,3.05,,1.65,1.57,,,2.54,,,,,1.49,
DEWP_1_0,1.14,0.88,0.88,,1.01,0.72,0.94,0.09,,,1.64,0.81,0.04,,1.48,2.09,1.71,0.85,3.23,0.34,0.07,,1.33,1.56,1.27
DEWP_0_0,1.28,1.6,0.13,,1.1,1.15,0.12,0.64,,,0.69,1.67,,,1.16,2.34,1.88,1.27,2.98,0.47,0.5,0.46,1.37,1.41,1.51
DEWP_0_1,0.47,1.41,,1.98,0.65,0.97,,1.46,1.74,1.22,,,3.13,,1.04,2.09,1.36,1.12,3.22,1.43,0.54,,1.25,1.43,1.62
DEWP_1_1,,,3.24,,,,3.03,,,,,,,20.67,1.69,1.57,2.08,,4.19,,,,1.56,1.67,
WSPM_0_1,1.11,1.22,0.47,0.3,0.96,1.05,0.54,0.38,0.25,0.25,1.09,1.02,0.39,0.17,1.66,2.05,1.53,0.71,3.33,0.15,0.1,,1.34,1.52,1.25
WSPM_0_0,1.1,1.25,0.44,0.27,1.03,0.79,0.41,0.61,0.27,,1.0,1.04,0.42,,1.05,2.75,1.94,0.94,3.54,0.3,0.26,,1.44,1.42,1.28
WSPM_1_1,1.13,1.2,0.49,0.27,0.96,0.71,0.48,0.68,0.26,,0.96,1.13,0.4,,1.22,2.34,3.11,0.96,2.94,0.25,,,1.38,1.46,1.41
WSPM_1_2,1.08,1.29,0.59,0.14,1.07,0.77,0.5,0.62,0.15,,1.04,1.19,0.47,,0.98,2.28,1.17,3.43,2.57,0.44,0.25,,1.35,1.46,1.87
WSPM_1_0,1.09,1.25,0.43,0.36,0.99,0.91,0.43,0.5,0.32,,0.95,1.0,0.51,,1.22,2.6,1.91,0.74,3.67,0.28,,,1.39,1.45,1.29
WSPM_0_2,0.92,1.35,0.28,0.65,0.92,1.15,0.26,0.77,0.46,,0.63,0.7,1.36,,0.6,1.15,1.02,0.32,2.3,4.73,,,0.92,1.49,2.11
WSPM_1_3,1.06,1.45,,,0.89,1.1,0.63,0.61,,,0.93,1.21,0.82,,0.72,1.1,0.51,0.56,0.7,,12.18,,1.56,1.57,0.94
WSPM_0_3,1.59,1.83,,,1.21,,,,,,,1.7,,,,1.11,,,1.77,,,19.84,,1.64,2.44
PM10_0,1.03,1.26,0.47,0.29,0.93,0.95,0.5,0.59,0.29,,0.96,1.09,0.46,0.18,1.18,2.39,1.85,1.29,3.17,0.44,0.52,,1.53,1.32,1.06
PM10_1,1.13,1.21,0.48,0.32,0.99,0.88,0.5,0.48,0.25,0.33,1.03,1.02,0.44,0.1,1.41,2.09,1.72,0.89,3.17,0.53,0.14,0.24,1.28,1.65,1.28
PM10_2,1.25,1.4,0.27,0.24,1.27,1.11,0.28,0.31,0.17,,1.06,0.95,0.9,,1.28,1.57,1.22,0.54,2.8,1.29,,0.99,0.54,1.57,3.99
