,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.24,0.63,,,1.09,0.69,0.34,0.41,,,0.99,0.93,0.32,,0.93,0.92,0.79,0.69,0.93,0.41,0.23,,0.97,1.03,0.69
TEMP_0_0,0.67,1.31,,,0.86,0.9,0.18,0.89,,,0.62,0.98,0.85,,0.93,0.91,0.7,0.57,0.92,0.66,0.48,0.37,1.02,0.98,0.73
TEMP_1_1,,,1.8,,0.4,,1.69,,,,1.36,0.63,,0.68,1.08,1.0,0.86,0.83,1.02,0.44,,,1.17,1.18,0.62
TEMP_0_2,,,,2.78,,,,,2.68,1.44,,,2.05,,1.22,1.19,0.81,0.6,1.31,0.86,,,1.31,1.31,0.77
PRES_0_0,1.11,0.82,0.23,,1.22,0.43,,0.18,,,0.95,0.92,0.41,,0.93,0.89,0.73,0.66,0.92,0.49,0.21,0.33,0.93,1.03,0.74
PRES_1_0,0.94,1.25,,,0.66,1.62,,,,,0.79,1.09,0.74,,1.02,0.97,0.75,0.62,0.97,0.61,0.51,,1.13,1.04,0.75
PRES_0_1,0.58,0.31,1.61,,,,1.74,,,,1.35,0.58,,0.64,1.1,0.96,0.83,0.74,1.02,0.41,0.42,,1.17,1.16,0.59
PRES_1_1,0.78,1.43,,,0.28,,,1.85,,,0.29,1.12,1.15,,0.88,1.14,0.96,0.79,1.03,0.72,0.47,,1.2,1.03,0.62
PRES_1_3,,,,2.83,,,,,2.93,,,,2.09,,1.15,1.28,0.91,0.66,1.39,0.96,,,1.39,1.28,0.77
PRES_1_2,,,,3.41,,,,,,5.14,,,2.48,,2.02,,,,,,,,,1.88,
DEWP_1_0,1.01,0.67,0.84,,0.98,0.54,0.87,0.19,,,1.27,0.51,,,1.04,0.86,0.67,0.54,0.94,0.42,,,0.94,1.09,0.69
DEWP_0_0,0.99,1.02,0.32,,0.95,0.86,0.31,0.69,,,0.52,1.29,,,0.85,0.98,0.84,0.75,0.91,0.47,0.45,0.39,1.07,0.95,0.65
DEWP_0_1,0.57,1.24,,1.15,0.72,0.85,,1.1,1.08,0.66,,,1.77,,0.91,1.0,0.76,0.73,1.03,0.93,0.48,,1.08,1.08,0.86
DEWP_1_1,,,2.47,,,,2.42,,,,,,,4.55,1.7,1.29,1.18,,1.82,,,,1.78,1.29,
WSPM_0_1,0.92,0.94,0.61,0.43,0.93,0.72,0.66,0.51,0.37,0.32,0.98,0.83,0.55,0.26,1.26,0.57,0.45,0.38,0.84,,,,0.96,1.06,0.67
WSPM_0_0,1.04,0.95,0.65,0.41,1.0,0.8,0.64,0.71,0.43,,0.95,0.98,0.64,,0.56,1.55,0.98,0.52,1.46,0.25,,,1.18,1.03,0.52
WSPM_1_1,1.18,0.84,0.71,0.39,1.04,0.72,0.7,0.77,0.39,,0.98,1.12,0.63,,0.9,1.22,1.71,0.41,0.8,0.31,,,1.15,1.19,0.77
WSPM_1_2,1.13,0.87,0.78,0.32,1.06,0.76,0.73,0.75,0.34,,0.97,1.15,0.7,,0.59,0.87,0.17,1.84,0.64,,,,1.25,1.09,0.87
WSPM_1_0,1.12,1.0,0.69,0.51,1.03,0.95,0.69,0.7,0.49,,1.02,1.07,0.74,,0.89,1.57,0.93,0.37,1.59,0.35,,,1.23,1.14,0.75
WSPM_0_2,0.94,1.29,0.58,0.6,1.09,0.92,0.57,0.85,0.62,,0.89,0.87,1.22,,,0.39,0.37,,0.67,2.17,,,0.92,1.22,1.24
WSPM_1_3,0.96,1.66,,,1.14,1.19,1.01,0.85,,,,1.52,1.14,,,,,,,,3.49,,1.69,1.42,
WSPM_0_3,0.9,2.03,,,1.64,,,,,,,1.97,,,,,,,,,,4.45,,1.69,1.63
PM10_0,0.9,0.91,0.6,0.39,0.84,0.78,0.63,0.65,0.4,,0.82,0.94,0.61,0.27,0.86,1.0,0.81,0.73,0.98,0.41,0.42,,1.22,0.75,0.38
PM10_1,0.96,0.86,0.62,0.42,0.96,0.63,0.64,0.55,0.36,0.33,0.95,0.84,0.58,0.2,0.99,0.84,0.69,0.57,0.88,0.51,0.21,0.29,0.78,1.25,0.61
PM10_2,1.15,1.12,0.55,0.36,1.27,0.84,0.56,0.48,0.34,,1.17,0.89,0.91,,1.14,0.75,0.72,0.52,0.88,1.08,,0.69,0.37,1.12,1.94
