,ENE_0,NE_0,E_0,ESE_0,N_0,NW_0,NNW_0,WNW_0,NNE_0,SE_0,SW_0,WSW_0,SSW_0,W_0,NW_2,S_0,SSE_0,NW_1,ENE_1,NE_1,NNE_1,NW_3,E_1,NNW_1,NNW_2,N_1,WSW_1,WNW_1,ENE_2,SW_1,NNE_2,E_4,WSW_2,W_1,NE_2,NNW_3,WNW_2,S_1,NW_4,ENE_4,SSW_1,SE_1,N_2,ENE_6,ESE_2,ESE_1,WNW_5,SW_2,NNW_4,E_2,W_2,SSE_1,NE_3,E_3,WSW_3,ENE_3,ESE_3,N_3,WNW_3,SSW_2,NE_4,ESE_5,S_2,N_5,WNW_4,WSW_4,S_3,SE_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE_0,1.0,0.95,1.0,0.84,0.9,0.73,0.82,0.72,0.8,0.71,0.65,0.79,0.7,0.85,,0.56,0.64,,0.69,0.82,0.64,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.28,1.57,1.24,1.68,,1.65,0.92,1.68,,1.68,1.57,1.2
NE_0,1.04,1.0,1.01,0.91,0.87,0.93,0.81,0.82,0.79,0.72,0.91,0.89,0.67,0.97,,0.59,0.49,,0.72,0.55,0.63,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.28,1.56,1.28,1.72,,1.7,0.97,1.72,,1.72,1.61,1.14
E_0,0.99,1.0,1.0,0.93,0.94,0.91,0.85,0.75,0.83,0.77,0.8,0.88,0.69,0.85,,0.66,0.6,,0.65,0.62,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.22,1.64,1.2,1.73,,1.7,0.9,1.73,,1.73,1.62,1.2
ESE_0,1.16,1.06,1.03,1.0,1.02,0.83,1.11,0.8,0.99,0.99,0.81,0.83,0.76,0.79,,0.72,0.75,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,1.35,1.82,1.31,1.89,,1.86,0.88,1.9,,1.9,1.77,1.54
N_0,1.02,1.13,1.08,0.95,1.0,1.04,1.02,0.87,0.89,0.79,0.77,0.67,,0.77,0.94,0.74,0.79,,,0.81,0.74,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.66,1.76,1.65,1.91,,1.85,1.15,1.9,,1.91,1.77,1.4
NW_0,1.27,1.11,1.22,1.25,1.01,1.0,0.96,0.96,0.93,,0.73,0.89,0.78,0.86,0.72,,,0.79,,,,,,0.59,0.59,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.9,1.77,1.71,1.91,,1.87,1.16,1.91,,1.91,1.79,1.39
NNW_0,1.17,1.27,1.19,0.89,1.04,1.03,1.0,0.92,0.95,0.92,,0.82,,0.73,0.83,,,0.85,,,0.63,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.92,1.82,1.85,1.95,,1.9,1.31,1.95,,1.95,1.77,1.46
WNW_0,1.38,1.17,1.38,1.22,1.1,1.03,1.06,1.0,0.95,,0.79,1.04,0.7,1.01,0.81,1.03,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.87,1.89,1.87,2.06,,2.04,1.1,2.06,,2.06,1.95,1.51
NNE_0,1.25,1.26,1.17,1.05,1.1,1.13,1.08,1.04,1.0,0.95,0.8,1.02,1.02,0.87,,0.7,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.64,1.92,1.56,2.07,,2.02,1.11,2.07,,2.07,1.89,1.48
SE_0,1.33,1.31,1.24,1.04,1.49,,1.0,,1.03,1.0,0.87,1.02,0.83,1.19,,1.0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.46,2.04,1.49,2.13,,2.14,1.07,2.13,,2.14,2.0,1.72
