,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.49,0.32,0.98,0.65,0.4,0.86,0.75,0.69,0.67,0.65,0.6,0.58,0.48,0.98,0.67
PRES_0_1,1.0,1.0,,,0.99,0.65,0.4,0.87,0.75,0.69,0.67,0.66,0.6,0.58,0.48,0.98,0.67
PRES_0_0,2.13,,1.04,,2.1,,,1.77,1.66,1.36,,1.34,,,0.95,2.08,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.48,0.32,1.0,0.66,,0.88,0.76,0.7,0.68,0.67,0.61,0.59,0.48,0.99,0.68
DEWP_1_0,1.52,1.52,,,,0.99,0.4,1.32,1.45,1.03,,1.0,0.87,,,1.49,1.03
DEWP_0_0,2.78,2.47,,,,2.07,1.13,1.98,,1.47,,1.25,1.69,,,2.72,
WSPM_0_1,1.15,1.15,0.56,,1.13,0.75,0.4,1.0,0.89,0.81,,0.78,0.64,,0.45,1.13,0.75
WSPM_0_2,1.33,1.34,0.6,0.45,1.31,0.7,,1.09,1.0,0.92,0.67,0.89,0.39,,,1.3,0.83
WSPM_0_0,1.45,1.45,,,1.43,0.98,0.68,1.29,0.95,1.0,0.9,0.93,1.05,,0.7,1.43,1.04
WSPM_0_3,1.5,1.5,,,1.48,,,,1.49,1.1,1.0,0.94,,,,1.48,1.03
WSPM_1_0,1.53,1.52,,,1.5,0.99,,1.3,1.12,1.07,0.93,1.0,1.16,,,1.49,1.1
WSPM_1_1,1.68,1.67,,,1.63,1.16,0.72,1.47,,0.95,,0.84,1.0,,,1.63,1.32
WSPM_0_4,1.72,1.71,,,1.69,,,,,,,1.38,,1.0,,1.68,1.21
WSPM_1_2,2.16,2.07,,,2.13,,,2.2,,1.41,,1.48,,,1.04,2.11,
PM10_0,1.02,1.02,0.5,0.32,1.01,0.67,0.41,0.88,0.77,0.71,0.68,0.67,0.62,0.6,0.49,1.0,0.68
PM10_1,1.49,1.49,,,1.47,0.95,,1.31,1.15,0.86,0.96,0.88,0.72,0.87,,1.46,1.0
