,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.94,,,,,0.95,0.93,0.99,0.89,0.78,,1.01,1.0,0.56,0.44,,0.88,0.86,0.89,0.71,0.79,0.71,0.6,0.74,0.7,,1.0,0.85
TEMP_0_1,,0.79,,,,1.29,1.03,0.86,0.92,0.85,,1.14,,,,,1.06,1.0,0.92,0.79,0.86,0.78,0.69,,1.24,,1.16,0.96
TEMP_0_0,,,0.73,,,1.28,,0.94,0.83,0.79,,,0.87,,,,1.21,1.0,1.11,0.84,1.02,0.83,0.73,,0.93,,1.25,1.03
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.04,1.13,0.95,,,0.88,,,2.03,1.11,,1.08,1.02,,,,0.92,0.9,0.95,0.72,0.83,0.72,0.62,0.92,0.85,,1.05,0.93
PRES_1_3,1.14,0.95,,,,,0.82,,,,,1.13,1.16,0.66,0.49,,1.1,0.99,0.9,0.81,0.88,0.83,0.69,0.76,0.76,,1.15,0.9
PRES_1_1,1.4,1.03,0.98,0.37,,,,0.71,1.7,1.21,,1.41,1.01,,0.67,,1.13,1.08,1.18,0.82,0.88,0.96,0.74,,1.05,,1.25,1.12
PRES_1_0,1.43,1.17,0.93,,,2.11,,1.35,0.71,0.76,,1.37,1.12,,,,1.17,1.03,1.01,0.93,1.69,0.88,0.77,,1.14,,1.27,1.08
PRES_0_0,1.45,1.28,1.03,,,2.19,,1.17,0.84,0.67,,1.46,1.2,0.57,0.49,,1.16,1.1,1.24,1.01,0.86,0.83,0.85,,,,1.4,1.0
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.98,0.85,,,,0.95,0.9,0.92,0.81,0.73,,0.96,,,0.57,,0.86,0.85,0.82,0.68,0.78,0.68,0.58,0.82,0.81,,0.98,0.82
DEWP_0_1,1.24,,0.76,0.39,,1.17,1.17,0.86,0.87,0.83,,2.8,0.81,,0.53,,1.18,0.92,1.09,0.8,0.84,0.81,0.69,0.83,0.76,,1.15,0.97
DEWP_0_0,1.81,,,,,,,,1.56,0.99,,,,0.45,0.43,,1.37,,,,,,,,,,1.98,1.48
DEWP_1_0,1.98,,,,,,,,,,,,,,0.43,,1.79,,,,,,,,,,,1.76
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.17,1.09,1.06,,,1.12,1.19,0.92,0.97,0.76,,1.18,1.18,0.54,0.35,,0.79,1.55,,1.71,,1.82,0.95,,,,1.21,0.83
WSPM_0_1,1.2,1.09,0.96,,,1.16,1.12,1.05,0.85,0.79,,1.22,1.05,,,,1.37,0.8,1.2,0.94,0.99,0.82,0.69,,,,1.14,1.06
WSPM_0_2,1.26,1.03,1.19,0.51,,1.21,1.11,1.06,0.97,0.74,,1.23,1.27,,,,,1.6,0.75,1.19,1.1,0.9,0.95,,,,1.26,0.88
WSPM_0_0,1.34,1.18,1.02,,,1.23,1.28,1.07,1.04,1.21,,1.34,1.15,,,,1.07,1.1,1.27,0.73,1.21,0.8,0.64,,1.22,,1.27,1.35
WSPM_1_2,1.35,1.13,1.2,,,1.27,1.22,1.05,1.35,1.5,,1.39,1.12,,,,,1.19,1.93,0.77,0.71,0.97,0.69,,,,1.26,3.36
WSPM_1_1,1.43,1.24,1.11,,,1.29,1.28,1.21,1.17,1.15,,1.41,1.26,,,,,1.2,1.54,0.74,1.04,0.68,0.69,,,,1.34,1.78
WSPM_1_0,1.41,1.27,1.16,,,1.33,1.36,1.22,1.11,1.26,,1.43,1.28,,,,1.33,1.14,1.21,0.84,1.29,1.05,0.71,,,,1.35,1.41
WSPM_0_4,1.32,,,,,1.51,1.09,,,,,1.45,1.29,0.6,0.49,,,,,,,,,0.64,,,1.51,0.95
WSPM_1_3,1.47,1.57,1.32,,,1.59,1.26,1.26,1.24,,,1.64,1.22,,,,,,,0.91,,,,,0.6,,1.42,2.51
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.91,0.86,0.41,0.8699999999999999,0.94,0.95,0.83,0.82,0.78,0.8699999999999999,1.02,0.9,0.68,,0.8699999999999999,0.91,0.83,0.83,0.66,0.77,0.67,0.58,0.9,0.8,0.8699999999999999,0.96,0.92
PM10_1,1.18,1.04,1.0,,,1.21,1.01,1.02,0.86,0.74,,1.17,1.09,0.58,0.34,,0.96,0.96,1.0,0.9,0.48,0.87,0.72,0.75,0.53,,1.27,0.81
