,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.24,0.4,,,1.1,0.75,0.49,0.55,,,0.99,0.94,0.46,,0.88,0.8,0.82,0.81,0.76,0.57,0.4,,0.98,0.89
TEMP_0_0,0.43,1.33,,,0.88,1.0,0.29,1.05,,,0.7,1.02,1.0,,0.96,0.8,0.67,0.63,0.66,0.84,0.73,0.67,1.03,0.84
TEMP_1_1,,,1.83,,0.49,,1.72,,,,1.3,0.61,,1.09,1.02,0.84,0.84,0.89,0.75,0.61,,,1.14,0.79
TEMP_0_2,,,,2.86,,,,,2.79,1.99,,,1.99,,1.14,0.92,0.81,0.7,0.92,1.01,,,1.19,1.05
PRES_0_0,1.09,0.81,0.36,,1.23,0.32,,,,,0.96,0.94,0.56,,0.91,0.78,0.76,0.76,0.72,0.67,0.41,0.58,0.96,0.92
PRES_1_0,0.9,1.19,,,0.42,1.64,,,,,0.8,1.1,0.89,,1.0,0.85,0.73,0.7,0.74,0.78,0.74,,1.09,0.84
PRES_0_1,0.64,0.35,1.68,,,,1.77,,,,1.31,0.57,,1.04,1.04,0.81,0.81,0.82,0.74,0.58,0.64,,1.14,0.76
PRES_1_1,0.72,1.34,,,,,,1.89,,,0.35,1.13,1.27,,0.88,0.92,0.91,0.86,0.78,0.87,0.68,,1.13,0.83
PRES_1_3,,,,2.89,,,,,3.02,,,,2.01,,1.07,0.99,0.87,0.76,0.96,1.09,,,1.24,0.98
PRES_1_2,,,,3.3,,,,,,5.38,,,2.26,,1.68,,,,,,,,1.24,1.41
DEWP_1_0,1.0,0.68,1.0,,1.0,0.64,1.03,0.29,,,1.27,0.36,,,1.02,0.78,0.68,0.64,0.71,0.6,,,0.99,0.9
DEWP_0_0,0.97,0.99,0.47,,0.97,0.93,0.46,0.86,,,0.37,1.29,,,0.83,0.82,0.85,0.85,0.72,0.62,0.69,0.68,1.04,0.78
DEWP_0_1,0.58,1.23,,1.41,0.73,0.93,,1.22,1.37,1.02,,,1.8,,0.89,0.81,0.76,0.81,0.78,1.1,0.72,,1.05,0.98
DEWP_1_1,,,2.28,,,,2.22,,,,,,,4.74,1.36,,,,,,,,1.49,
WSPM_0_1,0.89,0.95,0.78,0.65,0.95,0.82,0.83,0.67,0.58,0.6,1.02,0.84,0.71,0.52,1.27,,0.28,0.28,0.56,,,,0.99,0.9
WSPM_0_0,1.01,0.96,0.81,0.64,1.0,0.88,0.79,0.88,0.66,,0.97,1.02,0.79,,,1.46,0.77,0.45,1.13,,,,1.14,0.73
WSPM_1_1,1.16,0.76,0.87,0.58,1.04,0.8,0.86,0.91,0.62,,0.92,1.1,0.79,,0.51,0.71,1.75,,,,,,1.12,0.89
WSPM_1_2,1.12,0.82,0.93,0.52,1.05,0.82,0.88,0.88,0.54,,0.89,1.12,0.86,,0.34,0.53,,1.88,,,,,1.13,0.85
WSPM_1_0,1.09,0.94,0.84,0.74,1.04,0.96,0.84,0.85,0.73,,1.01,1.05,0.88,,0.72,1.36,,,1.37,0.4,,,1.16,0.86
WSPM_0_2,0.88,1.22,0.72,0.84,1.05,0.97,0.71,0.98,0.88,,0.92,0.9,1.31,,,,,,0.45,2.22,,,0.99,1.24
WSPM_1_3,0.92,1.52,,,1.02,1.27,1.11,1.01,,,,1.43,1.23,,,,,,,,3.62,,1.4,
WSPM_0_3,,1.72,,,1.5,,,,,,,1.75,,,,,,,,,,4.64,,1.8
PM10_0,0.89,0.87,0.78,0.58,0.88,0.8,0.79,0.75,0.58,0.35,0.87,0.92,0.73,0.51,0.86,0.79,0.76,0.76,0.7,0.58,0.57,,1.07,0.42
PM10_1,0.99,0.94,0.69,0.68,1.07,0.76,0.69,0.7,0.6,0.62,1.02,0.85,0.88,,1.02,0.71,0.68,0.64,0.69,0.92,,0.81,0.54,1.43
