,ENE_0,NE_0,E_0,ESE_0,SE_0,N_0,SW_0,NNE_0,NW_0,SSW_0,SSE_0,NNW_0,S_0,WSW_0,WNW_0,W_0,NNE_1,ENE_1,E_1,NE_1,NW_2,NW_1,NE_3,ESE_1,SW_1,SW_2,NNE_2,NE_6,NNW_1,WSW_1,SE_1,WNW_1,S_1,WSW_2,ENE_2,N_1,ENE_3,ESE_2,NW_3,nan_0,NE_2,NE_4,E_2,WNW_2,SSE_1,SSW_1,WSW_4,SW_3,NW_4,WNW_3,S_2,WSW_3,ENE_7,SE_4,ENE_4,N_2,W_1,ENE_5,WNW_4,SSW_2,NNW_2,WNW_6,ESE_3,E_3,NNW_3,SSW_3,W_2,ESE_5,S_3,NNW_4,SE_3,N_3,SE_2,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE_0,1.0,0.98,0.98,0.87,0.92,0.84,0.89,0.89,0.77,0.77,0.87,0.88,0.9,0.83,0.74,0.96,0.66,0.62,0.7,0.93,,,,,,,0.67,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.12,1.42,1.14,1.3,1.35,1.38,1.23,1.37,1.25,1.49,,1.46,0.96
NE_0,1.02,1.0,0.96,0.93,0.86,0.87,0.97,0.88,0.85,0.93,0.85,0.8,0.91,0.89,0.8,0.91,0.81,0.67,0.66,0.7,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.15,1.43,1.19,1.34,1.35,1.38,1.28,1.4,1.3,1.51,,1.47,0.97
E_0,1.02,1.04,1.0,0.89,0.95,0.99,0.83,0.87,0.75,0.75,0.82,0.92,0.86,0.81,0.79,0.95,0.73,0.85,0.75,0.94,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.14,1.47,1.15,1.32,1.37,1.43,1.24,1.4,1.32,1.52,,1.48,0.96
ESE_0,1.11,1.05,1.1,1.0,0.97,0.95,0.8,0.96,0.73,0.8,0.77,0.97,0.86,0.86,0.93,0.96,0.68,0.53,0.82,0.64,,,,0.63,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.16,1.53,1.22,1.41,1.4,1.47,1.31,1.47,1.34,1.59,,1.55,1.08
SE_0,1.11,1.22,1.06,1.07,1.0,1.09,0.87,1.14,0.86,0.91,0.91,0.79,0.93,1.0,0.79,0.85,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.23,1.64,1.29,1.55,1.45,1.58,1.41,1.54,1.41,1.68,,1.64,1.39
N_0,1.15,1.12,1.07,0.98,0.95,1.0,1.01,1.03,1.0,0.86,0.82,0.92,1.08,0.98,0.89,0.9,0.94,0.86,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.35,1.58,1.39,1.52,1.53,1.55,1.48,1.61,1.42,1.69,,1.62,1.02
SW_0,1.06,1.03,1.19,1.18,1.22,0.95,1.0,0.97,1.08,1.07,1.23,0.95,1.05,0.84,0.96,0.91,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.19,1.64,1.13,1.62,1.46,1.64,1.37,1.49,1.56,1.71,,1.67,1.43
NNE_0,1.13,1.12,1.1,1.08,0.83,0.99,0.92,1.0,0.96,0.74,0.92,1.01,0.85,0.71,0.87,0.93,0.92,1.04,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.36,1.59,1.35,1.49,1.6,1.57,1.49,1.58,1.42,1.71,,1.66,1.11
NW_0,1.35,1.17,1.41,1.32,1.22,1.01,0.94,1.07,1.0,1.14,0.98,0.99,0.97,0.83,0.93,0.85,,,,,0.72,0.77,,,,,,,0.84,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.72,1.64,1.7,1.58,1.56,1.59,1.58,1.69,1.42,1.74,,1.74,1.25
SSW_0,1.42,1.14,1.33,1.33,1.11,1.22,0.96,1.4,0.93,1.0,1.03,0.96,0.98,0.96,0.87,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.32,1.66,1.3,1.64,1.52,1.69,1.4,1.56,1.52,1.74,,1.71,1.33
