,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.8,0.99,,,0.92,0.91,1.64,1.41,,,0.92,0.97,2.12,,0.91,0.58,0.62,0.73,0.41,1.06,0.86,1.13,0.93,0.84,0.58
TEMP_0_0,1.23,0.75,,,1.21,0.78,3.91,0.73,,,1.51,0.99,0.84,,1.03,0.63,0.7,0.88,0.44,0.74,0.56,0.5,1.02,0.98,0.67
TEMP_1_1,,14.16,0.56,,4.43,5.99,0.62,,,,1.15,2.22,,0.35,1.27,0.85,0.83,0.96,0.61,1.61,,,1.28,1.16,1.01
TEMP_0_2,,,,0.36,,,,,0.36,0.29,,,0.89,,2.12,1.26,1.63,2.42,0.8,1.31,,,2.15,1.91,1.28
PRES_0_0,0.83,0.87,2.35,,0.82,1.07,,2.28,,,0.91,0.94,1.58,,0.91,0.58,0.62,0.73,0.42,0.93,0.72,0.63,0.93,0.81,0.53
PRES_1_0,1.31,1.01,,,1.68,0.61,,,,,1.78,1.14,1.26,,1.2,0.75,0.89,1.08,0.5,0.93,0.77,,1.22,1.22,0.96
PRES_0_1,2.86,3.4,0.58,,,,0.58,,,,1.11,2.19,,0.36,1.18,0.85,0.83,1.0,0.59,1.64,0.84,,1.23,1.13,0.99
PRES_1_1,1.78,1.04,,,3.63,,,0.54,,,3.37,1.44,0.93,,1.47,0.79,0.82,1.04,0.59,1.03,1.25,,1.37,1.38,1.11
PRES_1_3,,,,0.38,,,,,0.34,,,,0.94,,2.4,1.27,1.75,2.34,0.84,1.41,,,2.16,2.09,1.31
PRES_1_2,,,,0.69,,,,,,0.19,,,1.65,,3.06,3.03,,,1.3,,,,,3.03,
DEWP_1_0,0.98,1.21,0.75,,1.08,1.08,0.75,3.5,,,0.79,1.39,5.23,,0.9,0.61,0.64,0.77,0.43,1.08,,,0.96,0.84,0.59
DEWP_0_0,0.97,0.82,1.82,,1.06,0.81,2.04,0.87,,,1.45,0.77,,,0.97,0.59,0.63,0.78,0.42,1.01,0.67,0.47,0.95,0.92,0.73
DEWP_0_1,2.12,1.09,,0.5,1.91,1.16,,0.84,0.48,0.43,,,0.57,,1.5,0.81,0.99,1.06,0.56,0.72,0.76,,1.4,1.25,0.74
DEWP_1_1,,,1.44,,,,1.53,,,,,,,0.22,2.8,1.84,1.52,,1.55,,,,2.97,2.81,
WSPM_0_1,0.99,0.97,1.0,0.85,1.08,0.91,0.99,1.26,0.92,0.53,0.95,1.11,1.22,0.54,0.78,0.71,0.67,1.04,0.43,1.36,1.11,,1.0,0.84,0.57
WSPM_0_0,1.36,1.22,1.44,1.26,1.53,1.22,1.45,1.15,1.15,,1.43,1.29,1.47,,1.59,0.63,0.88,1.11,0.46,2.03,1.52,,1.19,1.24,1.01
WSPM_1_1,1.48,1.32,1.46,1.37,1.66,1.33,1.52,1.3,1.22,,1.6,1.37,1.59,,1.46,0.71,0.58,2.09,0.53,2.12,,,1.31,1.29,1.01
WSPM_1_2,1.55,1.44,1.37,1.37,1.66,1.38,1.54,1.44,1.67,,1.87,1.49,1.5,,1.65,0.95,1.2,0.54,1.07,3.21,,,1.36,1.39,1.53
WSPM_1_0,1.65,1.49,1.74,1.36,1.81,1.49,1.73,1.54,1.28,,1.68,1.7,1.68,,1.58,0.85,1.35,1.95,0.57,2.45,,,1.53,1.43,1.12
WSPM_0_2,2.06,1.43,2.78,1.28,1.85,1.48,2.97,1.39,1.1,,2.15,1.97,1.13,,8.33,1.52,2.07,1.94,1.08,0.47,,,1.88,1.53,0.73
WSPM_1_3,4.62,2.13,,,5.08,1.85,2.56,1.79,,,,2.39,2.21,,8.2,2.04,,,,,0.29,,2.27,3.09,2.67
WSPM_0_3,3.26,2.45,,,2.79,,,,,,,2.64,,,,,,,2.29,,,0.22,,3.2,1.09
PM10_0,1.03,0.89,0.98,0.85,1.15,0.86,0.98,0.9,0.81,,1.1,0.95,1.02,0.63,0.93,0.55,0.65,0.69,0.39,1.14,0.66,,0.81,0.96,1.35
PM10_1,0.99,0.95,1.03,0.84,1.05,0.93,1.05,1.08,0.87,0.53,0.97,1.09,1.08,0.7,0.92,0.63,0.6,0.88,0.45,0.81,0.67,0.66,1.11,0.79,0.53
PM10_2,1.57,1.4,2.1,1.91,1.68,1.45,2.24,1.94,2.17,,1.73,1.87,1.52,,1.62,1.01,1.16,1.19,0.7,0.83,,0.7,1.87,1.42,0.51
