,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.77,1.02,,,,,1.89,0.84,2.13,0.58,,,,1.77,1.13,0.6,0.09,0.09,,1.4,1.26,0.96,1.52,2.77,5.45,2.27,1.13,0.94,,1.21,1.87,2.17
TEMP_0_0,1.08,2.86,,,,,0.82,2.11,1.08,0.97,,,,1.02,2.31,0.03,1.24,1.83,,1.3,1.37,1.26,0.42,3.23,5.01,2.75,2.75,1.35,,1.32,1.73,1.85
TEMP_1_1,,,5.5,,,,1.94,,1.28,,5.73,,,0.53,0.11,4.4,,,,1.1,2.3,0.57,0.61,3.54,7.95,1.83,0.45,,,1.66,1.55,0.17
TEMP_0_2,,,,13.85,,,0.14,,,3.13,,10.95,,0.86,1.52,,,4.74,,0.46,0.87,0.63,3.75,3.01,4.5,2.02,2.06,,,1.2,1.41,2.62
TEMP_0_1,,,,,17.67,,0.32,0.76,0.38,4.57,,3.67,,0.1,,,9.65,,,0.41,0.26,3.55,,3.42,4.57,2.4,1.4,7.56,,1.16,1.84,4.55
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.66,0.82,1.72,0.09,0.13,34.61,3.48,0.18,1.29,0.05,,,34.61,1.46,0.66,1.6,0.19,0.19,34.61,1.24,1.53,1.04,1.31,2.55,5.8,1.38,1.19,0.61,34.61,1.21,1.95,2.1
PRES_1_1,1.25,2.37,,,0.68,,0.25,3.54,0.08,,,,,0.98,1.62,,1.7,2.15,,1.25,1.43,1.41,0.47,3.11,5.4,2.76,2.28,1.46,,1.28,1.71,2.16
PRES_1_0,1.98,1.39,0.98,,,,1.28,0.05,4.88,,,,,1.53,1.58,1.04,0.3,,,0.99,1.34,1.06,1.5,3.3,5.44,2.26,1.61,1.03,,1.48,1.72,0.99
PRES_1_2,1.11,1.4,,2.99,4.55,,0.1,,,8.3,,,,1.0,2.6,,2.42,,,1.19,0.83,1.04,1.16,4.46,5.86,3.53,2.14,2.59,,1.31,1.71,1.96
PRES_0_1,,,5.43,,,,,,,,15.72,,,,,5.73,,,,1.83,2.24,,,3.6,7.93,2.47,,,,1.61,1.44,
PRES_1_3,,,,10.98,3.71,,,,,,,17.81,,0.33,0.9,,2.08,6.11,,0.57,1.12,1.65,2.08,1.96,3.62,2.7,1.63,2.05,,1.28,1.14,4.01
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,2.06,1.3,0.56,0.74,0.05,21.72,1.77,0.9,1.82,0.82,,0.22,21.72,2.21,0.76,,,,21.72,1.42,0.98,1.3,1.76,1.88,4.5,1.09,0.37,,21.72,1.1,2.01,2.56
DEWP_0_0,1.46,2.32,0.05,1.25,,,0.71,1.4,1.21,2.13,,0.71,,0.67,5.09,,,,,0.72,2.1,0.69,0.34,5.24,7.43,4.86,4.04,1.94,,1.62,1.21,0.56
DEWP_1_1,0.56,0.04,4.44,,,,1.82,,1.46,,6.06,,,,,5.81,,,,1.16,2.57,0.28,0.65,3.43,7.98,1.62,0.48,,,1.55,1.83,0.33
DEWP_0_2,0.24,1.35,,,9.65,,0.52,1.81,0.72,2.43,,2.06,,,,,9.91,,,1.14,0.39,2.57,,3.48,4.7,3.06,1.84,4.23,,1.28,1.67,3.65
DEWP_0_1,0.32,1.93,,4.75,,,0.31,2.25,,,,6.13,,,,,,11.05,,1.15,0.9,1.06,1.03,3.77,4.04,3.82,4.87,4.54,,1.46,1.32,2.11
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.6,1.52,0.91,0.33,0.33,,1.3,1.18,1.34,1.0,1.49,0.4,,1.3,0.97,0.94,0.95,0.91,,4.04,0.48,0.03,,0.81,4.12,0.63,,,,1.31,1.95,1.34
WSPM_0_1,1.15,1.19,1.79,0.67,0.18,,1.31,1.01,1.14,0.55,1.89,0.87,,0.85,1.76,1.99,0.26,0.56,,0.22,4.1,0.11,0.1,3.78,8.91,2.69,1.16,,,1.61,1.4,0.51
WSPM_0_3,1.13,1.51,0.57,0.55,3.12,,1.21,1.38,1.35,0.95,,1.45,,1.25,0.88,0.24,2.35,0.95,,0.08,0.15,5.37,,0.89,2.19,0.92,,,,0.9,2.1,4.17
WSPM_0_4,1.73,0.85,0.57,3.65,,,1.66,0.44,1.94,1.24,,1.92,,1.71,0.58,0.6,,1.04,,,0.09,,7.89,0.5,1.41,0.32,,,,0.89,2.35,3.53
WSPM_0_0,1.22,1.26,1.26,1.13,1.23,,1.24,0.84,1.34,1.72,1.65,0.62,,0.82,1.99,1.13,1.17,1.04,,0.54,1.25,0.39,0.17,12.23,14.78,5.27,2.94,,,1.64,1.11,0.8
WSPM_1_0,1.42,1.21,1.48,0.89,0.83,,1.33,0.89,1.61,1.13,1.54,0.6,,0.92,1.81,1.51,0.77,0.57,,0.53,2.03,0.47,0.34,7.78,10.99,2.42,1.41,,,1.54,1.33,1.0
WSPM_1_1,1.27,1.7,0.72,0.7,1.18,,1.12,1.27,1.06,1.54,0.94,1.0,,0.93,2.23,0.75,1.42,1.73,,1.02,1.3,0.61,,7.56,6.12,19.71,,,,1.73,1.34,
WSPM_1_2,1.18,1.79,0.3,1.3,0.91,,1.38,1.34,1.29,1.24,,1.14,,0.67,2.48,0.32,1.17,3.05,,,0.96,,,5.97,3.7,,24.69,,,1.68,1.1,
WSPM_1_3,0.75,1.4,,,6.4,,1.08,1.2,1.03,1.98,,2.2,,,1.59,,3.58,3.72,,,,,,3.73,,,,69.2,,1.77,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.21,1.32,1.27,1.02,0.79,,1.13,1.03,1.46,1.02,1.28,1.07,,0.95,1.68,1.13,0.96,1.2,,1.17,1.77,0.65,0.54,4.51,7.28,3.5,2.83,2.02,,1.75,1.09,0.46
PM10_1,1.55,1.35,0.83,0.82,0.97,,1.52,1.07,1.3,1.05,0.92,0.45,,1.32,1.0,1.09,0.76,0.63,,1.36,1.07,1.46,1.58,1.56,4.0,1.04,0.13,,,0.95,2.78,1.98
PM10_2,1.5,1.46,,1.62,2.48,,1.74,1.2,1.04,0.88,,2.71,,1.46,0.37,,2.23,1.19,,0.72,0.13,2.8,2.36,,1.16,,,,,0.1,1.87,10.5
