,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.49,,0.98,0.65,0.39,0.87,0.75,0.69,0.67,0.66,0.6,0.58,0.48,0.98,0.67
PRES_0_1,1.0,1.0,,,0.99,0.65,0.4,0.87,0.75,0.69,0.67,0.66,0.6,0.58,0.48,0.98,0.67
PRES_0_0,2.05,,1.0,,2.03,,,1.77,1.56,,,,,,0.99,2.01,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.49,,1.0,,,0.88,0.76,0.7,0.68,0.67,0.61,0.59,0.48,0.99,0.68
DEWP_1_0,1.53,1.53,,,,1.0,,1.32,1.18,1.06,,1.0,0.91,,,1.5,1.03
DEWP_0_0,2.55,2.51,,,,,1.0,,,,,,1.44,,,2.49,
WSPM_0_1,1.15,1.15,0.56,,1.14,0.75,,1.0,,,,0.79,0.56,,,1.13,0.76
WSPM_0_2,1.33,1.33,0.64,,1.31,0.85,,,1.0,,,0.9,,,,1.31,0.85
WSPM_0_0,1.45,1.45,,,1.43,0.94,,,,1.0,,0.92,1.06,,,1.41,1.03
WSPM_0_3,1.5,1.5,,,1.48,,,,,,1.0,0.94,,,,1.47,0.99
WSPM_1_0,1.53,1.52,,,1.5,1.0,,1.26,1.11,1.08,1.06,1.0,,,,1.48,1.13
WSPM_1_1,1.68,1.67,,,1.65,1.09,0.69,1.79,,0.95,,,1.0,,,1.64,1.15
WSPM_0_4,1.72,1.71,,,1.69,,,,,,,,,1.0,,1.67,1.15
WSPM_1_2,2.08,2.07,1.02,,2.06,,,,,,,,,,1.0,2.03,
PM10_0,1.02,1.02,0.5,,1.01,0.67,0.4,0.88,0.76,0.71,0.68,0.68,0.61,0.6,0.49,1.0,0.68
PM10_1,1.5,1.49,,,1.47,0.98,,1.31,1.17,0.97,1.01,0.89,0.87,0.87,,1.46,1.0
