,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.28,0.24,0.97,0.49,0.36,0.98,0.74,1.18,0.56,1.42,0.89,0.42,0.45,1.05,1.1,0.72
PRES_0_1,1.0,1.0,,,0.97,0.5,0.36,0.98,0.72,1.18,0.56,1.42,0.89,0.42,0.43,1.05,1.1,0.73
PRES_0_0,1.6,,3.7,,1.63,,,1.5,2.05,1.1,,2.1,,,1.45,1.73,1.11,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.28,0.25,1.03,0.14,,0.98,0.77,1.19,0.59,1.43,0.84,0.44,0.47,1.06,1.11,0.73
DEWP_1_0,1.27,1.28,,,,2.1,0.72,1.47,0.54,1.53,,1.82,1.68,,,1.3,1.35,0.59
DEWP_0_0,1.57,1.27,,,,2.31,4.35,1.42,,2.02,,2.42,2.27,,,1.7,2.07,3.18
WSPM_0_1,1.09,1.08,0.3,,1.03,0.64,0.34,1.28,0.57,1.35,0.35,1.71,1.05,0.12,0.34,1.16,1.18,0.75
WSPM_0_2,1.18,1.18,0.48,0.78,1.2,0.16,,0.74,1.65,1.11,0.33,1.45,0.47,,0.38,1.25,1.2,0.53
WSPM_0_0,1.24,1.24,,,1.21,0.72,0.8,1.34,0.46,1.82,0.35,1.96,1.28,,0.75,1.3,1.42,1.09
WSPM_0_3,1.27,1.27,,,1.29,,,0.42,0.63,0.95,2.03,1.16,,,,1.3,1.46,1.24
WSPM_1_0,1.28,1.27,,,1.24,0.68,0.48,1.33,0.66,1.74,0.43,1.93,1.2,,0.56,1.34,1.46,1.19
WSPM_1_1,1.36,1.36,,,1.21,1.13,1.11,1.46,0.77,1.81,,1.98,2.32,,0.5,1.41,1.66,1.36
WSPM_0_4,1.37,1.38,,,1.4,,,0.84,,,,1.11,,2.59,,1.38,1.5,
WSPM_1_2,1.58,1.46,,,1.61,,,1.41,0.91,1.73,,1.88,1.9,,3.57,1.71,2.07,
PM10_0,1.04,1.03,0.35,0.3,1.01,0.54,0.45,1.03,0.77,1.27,0.54,1.51,1.0,0.44,0.58,1.12,1.06,0.63
PM10_1,1.13,1.13,,,1.12,0.44,0.22,1.07,0.84,1.21,0.7,1.52,0.84,0.43,0.13,1.14,1.42,0.99
PM10_2,1.59,1.59,,,1.6,,,1.54,0.94,1.47,1.18,2.14,,,,1.58,2.06,3.44
