,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.39,0.22,0.98,0.57,0.3,0.83,0.68,0.61,0.58,0.57,0.5,0.49,0.38,0.97,0.59
PRES_0_1,1.0,1.0,,,0.98,0.57,0.3,0.83,0.68,0.61,0.59,0.57,0.51,0.49,0.38,0.97,0.59
PRES_0_0,2.68,,1.04,,2.63,,,2.13,1.9,1.52,,1.48,,,0.94,2.61,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.38,0.22,1.0,0.58,,0.84,0.69,0.62,0.6,0.58,0.52,0.5,0.38,0.99,0.6
DEWP_1_0,1.75,1.74,,,,0.99,0.34,1.44,1.51,1.05,,1.0,0.85,,,1.7,1.04
DEWP_0_0,3.75,3.32,,,,2.43,1.13,2.54,,1.75,,1.47,1.92,,,3.64,
WSPM_0_1,1.21,1.2,0.47,,1.18,0.68,0.31,1.0,0.85,0.75,,0.71,0.57,,0.38,1.17,0.69
WSPM_0_2,1.47,1.47,0.52,0.34,1.44,0.67,,1.14,1.0,0.89,0.65,0.85,0.37,,,1.41,0.8
WSPM_0_0,1.64,1.63,,,1.61,0.96,0.57,1.39,0.97,1.0,0.89,0.92,1.0,,0.62,1.6,1.03
WSPM_0_3,1.71,1.7,,,1.68,,,,1.54,1.11,1.0,0.94,,,,1.67,1.03
WSPM_1_0,1.75,1.74,,,1.71,0.99,,1.42,1.17,1.08,0.94,1.0,1.13,,,1.7,1.1
WSPM_1_1,1.98,1.97,,,1.92,1.19,0.63,1.66,,1.0,,0.86,1.0,,,1.91,1.37
WSPM_0_4,2.05,2.04,,,2.01,,,,,,,1.43,,1.0,,1.98,1.27
WSPM_1_2,2.73,2.62,,,2.68,,,2.66,,1.59,,1.63,,,1.04,2.66,
PM10_0,1.03,1.03,0.4,0.22,1.01,0.59,0.31,0.85,0.7,0.64,0.6,0.59,0.53,0.5,0.39,1.0,0.6
PM10_1,1.7,1.69,,,1.67,0.94,,1.43,1.19,0.87,0.96,0.87,0.7,0.83,,1.65,1.0
