,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.71,1.38,,,1.43,1.13,0.18,0.34,,,1.37,1.29,0.17,,1.45,2.64,2.24,1.43,3.92,0.47,0.23,0.13,1.41,1.63,1.83
TEMP_0_0,1.03,1.99,,,1.03,1.55,0.05,1.34,,,0.58,1.21,1.08,,1.31,2.63,1.94,1.1,4.04,1.12,0.97,0.68,1.4,1.54,1.88
TEMP_1_1,,0.16,3.93,,0.16,0.08,3.35,,,,1.7,0.72,,1.52,1.53,2.57,2.45,1.67,4.02,0.39,,,1.59,1.77,1.6
TEMP_0_2,,,,10.87,,,,,10.82,5.54,,,3.76,,1.25,2.61,1.37,0.64,4.63,1.24,,,1.52,1.51,1.56
PRES_0_0,1.58,1.53,0.09,,1.61,0.96,,0.17,,,1.3,1.32,0.3,,1.45,2.54,2.11,1.32,3.93,0.62,0.2,0.54,1.37,1.64,1.93
PRES_1_0,1.13,1.79,,,1.08,3.1,,0.14,,,0.78,1.31,0.71,,1.37,2.76,1.84,1.24,4.14,0.87,0.93,,1.45,1.56,2.09
PRES_0_1,0.37,0.2,3.24,,,,3.64,,,,1.73,0.63,,1.36,1.6,2.5,2.31,1.39,4.03,0.35,0.69,,1.6,1.76,1.38
PRES_1_1,0.99,2.02,,,0.32,0.06,,4.23,,,0.16,1.1,1.54,,1.05,2.93,2.63,1.48,3.9,1.24,0.78,,1.45,1.45,1.52
PRES_1_3,,,,10.9,,,,,12.31,,,,3.77,,1.14,2.67,1.63,0.76,4.8,1.48,,,1.5,1.48,1.7
PRES_1_2,,,,10.64,,,,,,45.75,,,3.68,,1.8,1.88,,,3.24,,,,,1.62,
DEWP_1_0,1.23,0.98,1.07,,1.08,0.85,1.13,0.11,,,1.78,0.88,0.05,,1.62,2.51,2.11,1.06,4.13,0.45,0.1,,1.43,1.7,1.63
DEWP_0_0,1.39,1.77,0.16,,1.18,1.36,0.15,0.79,,,0.75,1.83,,,1.27,2.8,2.32,1.58,3.81,0.61,0.77,0.75,1.47,1.54,1.93
DEWP_0_1,0.51,1.56,,2.79,0.69,1.15,,1.8,2.5,2.11,,,3.78,,1.13,2.5,1.67,1.39,4.11,1.86,0.83,,1.35,1.56,2.07
DEWP_1_1,,,3.94,,,,3.65,,,,,,,34.34,1.85,1.88,2.56,,5.35,,,,1.68,1.82,
WSPM_0_1,1.19,1.35,0.58,0.42,1.03,1.24,0.65,0.47,0.36,0.44,1.19,1.12,0.48,0.29,1.81,2.46,1.89,0.88,4.25,0.19,0.15,,1.44,1.65,1.59
WSPM_0_0,1.19,1.38,0.53,0.37,1.1,0.94,0.5,0.75,0.39,,1.08,1.14,0.51,,1.14,3.3,2.39,1.17,4.52,0.39,0.4,,1.55,1.55,1.63
WSPM_1_1,1.22,1.33,0.6,0.38,1.03,0.84,0.57,0.84,0.38,,1.05,1.24,0.48,,1.33,2.8,3.83,1.19,3.75,0.33,,,1.49,1.59,1.81
WSPM_1_2,1.17,1.43,0.71,0.19,1.15,0.91,0.61,0.76,0.22,,1.13,1.3,0.57,,1.06,2.73,1.43,4.26,3.29,0.57,0.37,,1.45,1.59,2.4
WSPM_1_0,1.18,1.39,0.52,0.5,1.06,1.07,0.52,0.62,0.45,,1.03,1.1,0.62,,1.33,3.12,2.35,0.92,4.69,0.36,,,1.49,1.58,1.65
WSPM_0_2,0.99,1.5,0.34,0.91,0.98,1.36,0.32,0.95,0.66,,0.68,0.77,1.64,,0.66,1.38,1.25,0.4,2.94,6.15,,,0.99,1.63,2.7
WSPM_1_3,1.15,1.6,,,0.95,1.3,0.76,0.75,,,1.01,1.32,0.99,,0.78,1.32,0.62,0.69,0.9,,18.56,,1.68,1.71,1.2
WSPM_0_3,1.72,2.02,,,1.3,,,,,,,1.86,,,,1.33,,,2.26,,,32.73,,1.79,3.12
PM10_0,1.12,1.39,0.57,0.41,0.99,1.12,0.6,0.73,0.42,,1.04,1.19,0.56,0.3,1.28,2.87,2.27,1.6,4.04,0.58,0.8,,1.65,1.43,1.35
PM10_1,1.22,1.34,0.58,0.45,1.06,1.04,0.6,0.6,0.36,0.58,1.12,1.11,0.53,0.16,1.54,2.51,2.11,1.11,4.05,0.69,0.22,0.39,1.37,1.8,1.64
PM10_2,1.35,1.55,0.33,0.33,1.36,1.31,0.34,0.38,0.24,,1.15,1.03,1.09,,1.4,1.88,1.5,0.67,3.58,1.68,,1.63,0.58,1.71,5.1
