,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.87,0.98,,,,1.13,0.91,1.02,0.84,0.98,,,1.13,0.98,0.82,1.14,1.22,1.34,1.13,0.93,0.87,1.05,0.85,0.61,0.51,0.59,0.6,0.76,1.13,1.14,0.85
TEMP_0_0,0.98,0.87,1.64,,,,0.98,0.89,0.96,0.89,,,,1.08,0.86,1.55,0.84,0.78,,0.93,0.97,0.85,1.09,0.63,0.54,0.61,0.67,0.58,,1.15,0.84
TEMP_1_1,,,0.79,,,,1.0,,0.93,,0.72,,,1.37,1.75,0.83,,,,1.06,0.96,1.08,1.16,0.66,0.55,0.71,0.84,,,1.28,1.09
TEMP_0_2,,,,0.71,,,1.46,,,1.07,,0.69,,1.56,1.15,,,0.86,,1.84,1.33,1.44,0.94,0.82,0.73,0.78,0.89,,,1.59,1.23
TEMP_0_1,,,,,0.7,,2.36,1.79,2.01,1.05,,0.82,,4.52,,,0.85,,,1.69,1.38,1.15,,0.97,0.89,0.89,0.99,0.53,,1.72,1.22
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,0.98,1.1,0.95,1.46,0.87,0.9299999999999999,0.85,1.38,0.91,1.05,,,0.9299999999999999,1.07,0.99,0.95,1.14,1.3,0.9299999999999999,1.04,0.9,1.05,0.9,0.58,0.51,0.59,0.6,0.53,0.9299999999999999,1.19,0.87
PRES_1_1,1.06,0.93,,,0.93,,1.26,0.85,1.44,,,,,1.16,0.9,,0.85,0.78,,0.95,0.96,0.9,1.23,0.64,0.55,0.62,0.72,0.63,,1.2,0.9
PRES_1_0,1.0,1.04,1.2,,,,0.98,1.43,0.81,,,,,1.1,1.0,1.16,1.12,,,1.01,1.08,1.02,0.93,0.81,0.63,0.82,0.76,1.21,,1.27,1.03
PRES_1_2,1.28,1.27,,0.81,0.79,,2.19,,,0.77,,,,1.32,1.02,,0.95,,,1.23,1.28,1.19,1.03,0.77,0.69,0.7,0.8,0.67,,1.45,1.07
PRES_0_1,,,0.97,,,,,,,,0.68,,,,,0.95,,,,1.23,1.14,,,0.74,0.65,0.8,,,,1.57,1.21
PRES_1_3,,,,0.78,0.94,,2.83,,,,,0.68,,1.99,1.25,,1.15,0.86,,1.87,1.23,1.24,1.15,0.88,0.75,0.81,0.97,0.48,,1.61,1.29
