,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1.0,,,,,0.96,0.9,0.83,0.81,0.77,,1.01,0.9,0.58,0.54,,0.88,0.88,0.85,0.81,0.8,0.77,0.77,0.76,0.71,,1.02,0.89
TEMP_0_1,,1.0,,,,1.08,1.03,0.92,0.92,0.88,,1.15,,,,,1.0,0.99,0.96,0.92,0.91,0.87,0.87,,0.9,,1.15,1.02
TEMP_0_0,,,1.0,,,1.16,,0.97,0.97,0.93,,,1.07,,,,1.06,1.06,0.99,0.98,0.97,0.93,0.92,,0.86,,1.22,1.06
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.05,0.93,0.87,,,1.0,,,,0.81,,1.06,0.94,,,,0.92,0.91,0.89,0.85,0.85,0.8,0.8,0.79,0.75,,1.06,0.94
PRES_1_3,1.11,0.97,,,,,1.0,,,,,1.12,0.99,0.64,0.59,,0.97,0.97,0.92,0.9,0.89,0.87,0.85,0.84,0.79,,1.12,0.98
PRES_1_1,1.2,1.08,1.01,0.59,,,,1.0,,1.06,,1.23,1.08,,,,1.09,1.03,1.05,0.98,0.96,0.95,0.93,,0.92,,1.24,1.1
PRES_1_0,1.23,1.09,1.03,,,,,,1.0,0.95,,1.26,1.1,,,,1.05,1.1,1.01,1.02,1.14,0.95,0.95,,0.97,,1.25,1.1
PRES_0_0,1.29,1.14,1.08,,,1.38,,,1.04,1.0,,1.32,1.15,0.82,,,1.16,1.15,1.17,1.03,0.87,0.9,1.07,,,,1.32,1.12
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.87,,,,0.94,0.89,0.81,0.79,0.76,,1.0,,,,,0.86,0.86,0.83,0.8,0.79,0.76,0.75,0.75,0.72,,1.0,0.88
DEWP_0_1,1.11,,0.93,0.54,,1.07,1.0,0.91,0.91,0.87,,,1.0,,,,0.98,0.98,0.95,0.92,0.9,0.86,0.86,0.82,0.8,,1.14,0.98
DEWP_0_0,1.73,,,,,,,,,1.31,,,,1.0,,,1.52,,,,,,,,,,1.9,1.54
DEWP_1_0,1.86,,,,,,,,,,,,,,1.0,,1.95,,,,,,,,,,,1.93
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.14,1.0,0.93,,,1.09,1.03,0.9,0.92,0.85,,1.16,1.01,0.66,0.5,,1.0,0.98,,1.43,,,0.94,,,,1.17,0.98
WSPM_0_1,1.14,1.0,0.95,,,1.1,1.02,0.93,0.92,0.85,,1.16,1.02,,,,1.02,1.0,1.01,1.03,0.88,0.83,0.91,,,,1.14,1.04
WSPM_0_2,1.18,1.04,1.01,,,1.12,1.08,0.95,0.97,0.84,,1.2,1.06,,,,,0.99,1.0,1.13,,0.78,1.07,,,,1.22,1.0
WSPM_0_0,1.23,1.09,1.01,,,1.17,1.12,1.02,0.98,1.08,,1.25,1.08,,,,0.84,1.02,1.0,1.0,1.21,0.9,0.95,,1.0,,1.26,1.05
WSPM_1_2,1.25,1.1,1.04,,,1.18,1.13,1.04,1.09,1.26,,1.27,1.11,,,,,1.13,,0.95,1.0,1.12,0.78,,,,1.26,1.94
WSPM_1_1,1.3,1.15,1.08,,,1.25,1.14,1.07,1.04,1.05,,1.32,1.16,,,,,1.2,1.25,0.98,0.9,1.0,0.76,,,,1.32,1.53
WSPM_1_0,1.31,1.15,1.08,,,1.26,1.19,1.09,1.07,0.99,,1.33,1.16,,,,0.94,1.13,0.91,1.08,1.15,1.18,1.0,,,,1.32,1.21
WSPM_0_4,1.33,,,,,1.27,1.2,,,,,1.33,1.21,0.77,,,,,,,,,,1.0,,,1.35,1.15
WSPM_1_3,1.4,1.2,1.16,,,1.34,1.26,1.14,1.05,,,1.41,1.24,,,,,,,0.88,,,,,1.0,,1.38,1.82
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.98,0.87,0.81,0.45,,0.94,0.89,0.81,0.8,0.77,,1.0,0.88,0.55,,,0.85,0.87,0.82,0.8,0.81,0.76,0.76,0.73,0.75,,1.0,0.87
PM10_1,1.12,0.99,0.93,,,1.07,1.02,0.89,0.89,0.86,,1.14,1.01,0.68,0.49,,1.01,0.91,0.98,0.94,0.47,0.77,0.82,0.85,0.55,,1.14,1.0
