,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.12,0.03,0.95,0.28,0.07,0.65,0.43,0.33,0.3,0.29,0.22,0.2,0.12,0.82,0.54,0.09
PRES_0_1,1.01,1.0,,,0.96,0.29,0.07,0.66,0.43,0.33,0.31,0.29,0.22,0.21,0.12,0.83,0.54,0.09
PRES_0_0,8.61,,1.05,,8.24,,,5.37,3.83,2.65,,2.37,,,0.92,7.06,4.42,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.05,1.04,0.12,0.04,1.0,0.31,,0.68,0.45,0.35,0.32,0.3,0.23,0.21,0.12,0.86,0.56,0.1
DEWP_1_0,3.49,3.46,,,,0.99,0.16,2.28,1.96,1.14,,1.0,0.73,,,2.83,1.88,0.37
DEWP_0_0,16.21,14.18,,,,5.08,1.09,8.58,,4.24,,3.52,3.7,,,13.29,9.15,
WSPM_0_1,1.53,1.51,0.19,,1.46,0.43,0.09,1.0,0.68,0.51,0.83,0.45,0.32,0.21,0.15,1.26,0.8,0.15
WSPM_0_2,2.34,2.33,0.26,0.09,2.24,0.52,,1.44,1.0,0.78,0.55,0.69,0.26,,,1.91,1.18,0.19
WSPM_0_0,3.01,2.98,,,2.87,0.89,0.23,2.03,1.07,1.0,0.83,0.85,0.79,,0.35,2.45,1.78,0.29
WSPM_0_3,3.3,3.27,,,3.15,,,1.17,1.8,1.16,1.0,0.91,,,,2.72,1.78,0.33
WSPM_1_0,3.46,3.43,,,3.3,1.0,,2.26,1.43,1.17,0.97,1.0,0.96,,,2.78,1.96,0.34
WSPM_1_1,4.57,4.54,,,4.33,1.36,0.33,2.99,,1.25,,1.04,1.0,,,3.71,2.77,0.34
WSPM_0_4,4.91,4.87,,,4.7,,,4.75,,,,1.74,,1.0,,4.0,2.71,
WSPM_1_2,9.0,8.51,,,8.6,,,6.78,,2.8,,2.73,,,1.05,7.35,9.12,
PM10_0,1.22,1.21,0.15,0.04,1.16,0.35,0.09,0.79,0.52,0.42,0.38,0.36,0.29,0.25,0.15,1.0,0.65,0.13
PM10_1,1.85,1.84,,,1.78,0.51,,1.22,0.8,0.56,0.54,0.5,0.33,0.38,,1.53,1.0,0.16
PM10_2,10.64,10.55,,,10.17,,,7.66,,3.31,2.93,2.82,,,,8.03,6.1,1.0
