,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.35,0.18,0.98,0.53,0.26,0.81,0.65,0.58,0.55,0.54,0.47,0.45,0.34,0.9,0.73,0.31
PRES_0_1,1.0,1.0,,,0.98,0.54,0.26,0.81,0.65,0.58,0.55,0.54,0.47,0.45,0.34,0.91,0.74,0.31
PRES_0_0,3.01,,1.05,,2.94,,,2.32,2.04,1.6,,1.54,,,0.94,2.72,2.1,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.34,0.19,1.0,0.57,,0.83,0.67,0.59,0.56,0.55,0.48,0.46,0.34,0.93,0.75,0.32
DEWP_1_0,1.86,1.85,,,,0.99,0.32,1.5,1.6,1.05,,0.99,0.83,,,1.67,1.37,0.64
DEWP_0_0,4.18,3.67,,,,2.46,1.09,2.74,,1.9,,1.69,2.04,,,3.79,3.22,
WSPM_0_1,1.23,1.23,0.43,,1.2,0.66,0.28,1.0,0.84,0.72,1.22,0.68,0.55,0.38,0.35,1.13,0.88,0.39
WSPM_0_2,1.53,1.53,0.48,0.31,1.5,0.64,,1.16,1.0,0.88,0.66,0.83,0.36,,,1.38,1.05,0.4
WSPM_0_0,1.73,1.73,,,1.69,0.96,0.51,1.45,0.95,1.0,0.86,0.91,0.97,,0.59,1.56,1.4,0.54
WSPM_0_3,1.82,1.81,,,1.78,,,0.8,1.52,1.1,1.0,0.93,,,,1.65,1.33,0.6
WSPM_1_0,1.86,1.85,,,1.82,1.01,,1.5,1.18,1.1,0.94,1.0,1.11,,,1.65,1.43,0.6
WSPM_1_1,2.14,2.13,,,2.07,1.2,0.59,1.73,,1.02,,0.91,1.0,,,1.92,1.77,0.52
WSPM_0_4,2.22,2.21,,,2.17,,,2.65,,,,1.46,,1.0,,1.99,1.67,
WSPM_1_2,3.07,2.92,,,3.0,,,2.86,,1.66,,1.73,,,1.05,2.77,4.25,
PM10_0,1.1,1.1,0.38,0.2,1.08,0.59,0.31,0.89,0.72,0.66,0.62,0.6,0.56,0.5,0.4,1.0,0.81,0.39
PM10_1,1.36,1.35,,,1.33,0.71,,1.11,0.9,0.71,0.72,0.69,0.52,0.63,,1.24,1.0,0.39
PM10_2,3.26,3.25,,,3.19,,,2.9,,1.76,1.63,1.61,,,,2.72,2.55,1.0
