,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,0.59,0.31,0.99,0.72,0.34,0.77,0.74,0.44,0.7,0.32,0.42,0.65,0.45,0.84,0.62,0.26
PRES_0_1,1.01,1.0,,,0.99,0.71,0.36,0.77,0.75,0.44,0.7,0.32,0.42,0.65,0.46,0.84,0.62,0.26
PRES_0_0,5.15,,0.37,,4.87,,,3.82,2.45,3.44,,1.66,,,1.03,4.02,4.92,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.03,1.03,0.57,0.31,0.98,4.32,,0.81,0.73,0.46,0.69,0.33,0.48,0.64,0.44,0.87,0.63,0.27
DEWP_1_0,2.56,2.53,,,,0.53,0.26,1.59,6.46,1.06,,0.81,0.66,,,2.12,1.74,1.14
DEWP_0_0,9.01,8.41,,,,2.88,0.34,5.58,,2.22,,1.73,1.95,,,7.04,5.95,
WSPM_0_1,1.37,1.37,0.9,,1.39,0.8,0.41,0.82,2.53,0.64,,0.43,0.56,,0.78,1.15,0.83,0.39
WSPM_0_2,1.89,1.92,0.63,0.27,1.8,2.78,,3.51,0.66,1.36,2.81,0.86,1.02,,,1.57,1.1,0.53
WSPM_0_0,2.29,2.27,,,2.26,1.62,0.78,1.89,2.28,0.64,2.83,0.5,0.96,,0.94,1.89,1.56,0.5
WSPM_0_3,2.45,2.42,,,2.31,,,,6.93,2.29,0.55,1.32,,,,2.21,1.39,0.5
WSPM_1_0,2.54,2.53,,,2.5,1.75,,1.85,2.5,0.86,2.63,0.67,1.53,,,2.06,1.66,0.62
WSPM_1_1,3.13,3.1,,,3.31,1.46,0.52,2.28,,0.89,,0.76,0.51,,,2.57,2.15,
WSPM_0_4,3.3,3.27,,,3.12,,,,,,,3.31,,0.45,,2.82,2.24,
WSPM_1_2,5.31,5.23,,,5.02,,,6.53,,1.93,,2.52,,,0.38,4.12,10.19,
PM10_0,1.16,1.16,0.57,0.3,1.15,0.8,0.38,0.88,0.86,0.52,0.9,0.37,0.52,0.75,0.48,0.91,0.84,0.52
PM10_1,1.59,1.57,,,1.55,1.37,,1.26,1.16,0.64,0.91,0.48,0.57,1.19,,1.52,0.76,0.29
PM10_2,5.89,5.83,,,5.64,,,5.18,,2.73,2.41,1.9,,,,6.19,3.05,0.38
