,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.0,,,,,0.67,0.43,0.17,0.2,0.2,,0.93,0.34,0.04,0.04,,0.4,0.44,0.31,0.4,0.27,0.24,0.37,0.17,0.12,,0.89,0.65,0.33
TEMP_0_1,,1.0,,,,0.57,0.68,0.41,0.36,0.31,,1.37,,,,,0.49,0.58,0.53,0.57,0.42,0.37,0.51,,0.13,,1.17,0.96,0.51
TEMP_0_0,,,0.98,0.04,0.15000000000000002,0.87,,0.41,0.6,0.48,0.15000000000000002,,1.15,,,0.15000000000000002,0.47,0.79,0.39,0.66,0.36,0.46,0.62,,0.17,0.15000000000000002,1.3,1.0,0.47
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,0.98,0.28,0.25,,,1.0,,,0.11,0.12,,1.02,0.4,,,,0.45,0.5,0.33,0.47,0.32,0.31,0.43,0.12,0.1,,1.02,0.7,0.31
PRES_1_3,1.04,0.52,,,,,1.0,,,0.06,,1.19,0.38,0.05,0.05,,0.39,0.5,0.44,0.48,0.34,0.31,0.45,0.28,0.18,,1.03,0.85,0.5
PRES_1_1,0.9,0.75,0.48,0.08,,,0.17,0.98,0.3,0.33,,1.1,0.85,,0.11,,0.69,0.59,0.48,0.65,0.52,0.33,0.54,,0.21,,1.41,1.02,0.52
PRES_1_0,1.03,0.57,0.63,,0.12,0.27,,0.18,0.99,0.66,0.12,1.31,0.73,,,0.12,0.49,0.99,0.56,0.69,0.38,0.44,0.68,,0.21,0.12,1.43,1.14,0.52
PRES_0_0,1.28,0.58,0.61,,,0.71,0.22,0.27,0.84,0.98,,1.52,0.7,0.14,0.1,,0.79,0.82,0.6,0.52,0.31,0.38,0.54,,,,1.34,1.4,0.76
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.82,0.39,,,,0.61,0.44,0.18,0.23,0.2,,1.0,0.05,0.02,0.02,,0.39,0.43,0.34,0.39,0.25,0.25,0.37,0.13,0.1,,0.86,0.66,0.34
DEWP_0_1,0.86,0.1,0.62,0.04,0.09,0.73,0.4,0.41,0.38,0.32,0.09,0.18,0.99,,0.05,0.09,0.37,0.64,0.32,0.55,0.42,0.34,0.49,0.19,0.19,0.09,1.15,0.79,0.37
DEWP_0_0,3.3,,,,,,,,1.8,1.66,,,,0.97,0.72,,2.19,,,,,,,,,,2.06,2.69,
DEWP_1_0,3.87,,,,,,,,,,,,,,0.86,,3.01,,,,,,,,,,,3.08,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.11,0.44,0.25,,,0.86,0.46,0.3,0.32,0.3,,1.26,0.35,0.06,0.05,,0.98,0.36,,0.36,0.07,0.17,0.35,,,,1.08,0.99,0.51
WSPM_0_1,1.05,0.45,0.38,,0.09,0.82,0.5,0.27,0.4,0.36,0.09,1.15,0.58,,,0.09,0.25,0.98,0.23,0.57,0.35,0.39,0.63,0.1,0.1,0.09,1.21,0.84,0.41
WSPM_0_2,1.08,0.62,0.34,0.06,,0.77,0.7,0.26,0.4,0.25,,1.37,0.43,,,,,0.46,0.99,0.45,0.18,0.26,0.52,,,,1.32,1.06,0.42
WSPM_0_0,1.2,0.56,0.46,,,1.03,0.6,0.42,0.37,0.36,,1.39,0.64,,,,0.26,0.59,0.47,0.95,0.53,0.51,0.79,,0.21,,1.5,0.84,0.33
WSPM_1_2,1.27,0.65,0.35,,,1.02,0.68,0.52,0.29,0.44,,1.36,0.78,,,,0.48,0.71,0.31,0.81,0.97,0.43,0.46,,0.24,,1.52,1.12,
WSPM_1_1,1.36,0.65,0.49,,,1.16,0.64,0.4,0.47,0.43,,1.6,0.67,,,,0.29,0.83,0.48,0.88,0.55,0.94,0.74,,,,1.68,1.17,0.48
WSPM_1_0,1.43,0.61,0.47,,,1.16,0.68,0.41,0.49,0.4,,1.61,0.69,,,,0.39,0.78,0.5,1.0,0.5,0.48,0.88,,,,1.66,0.99,0.44
WSPM_0_4,1.85,,,,,0.91,1.25,,,,,1.51,0.92,0.12,0.1,,,0.26,,,,0.21,0.17,0.99,,,1.09,1.39,0.94
WSPM_1_3,1.82,0.48,0.49,,,1.02,1.11,0.48,0.53,,,1.56,1.08,,,,,,,0.55,0.21,,0.33,,0.98,,1.79,1.54,1.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.84,0.35,0.24,0.02,0.03,0.67,0.41,0.25,0.24,0.22,0.03,0.92,0.41,,,0.03,0.31,0.5,0.28,0.49,0.38,0.32,0.42,0.09,0.15,0.03,0.99,0.6,0.26
PM10_1,0.95,0.46,0.31,0.02,,0.72,0.5,0.24,0.36,0.29,,1.11,0.45,0.04,0.03,,0.56,0.54,0.48,0.4,0.09,0.23,0.44,0.21,0.04,,1.05,0.98,0.41
PM10_2,1.28,0.51,0.38,,,0.75,0.88,0.31,0.38,0.42,,1.39,0.62,0.06,0.06,,0.83,0.42,0.55,0.33,,0.19,0.38,0.35,0.08,,0.76,1.14,0.97
