,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.49,0.32,0.98,0.65,0.4,0.86,0.75,0.69,0.67,0.65,0.6,0.58,0.48,0.98,0.67
PRES_0_1,1.0,1.0,,,0.99,0.65,0.4,0.87,0.75,0.69,0.67,0.66,0.6,0.58,0.48,0.98,0.67
PRES_0_0,2.15,,1.05,,2.11,,,1.77,1.67,1.37,,1.34,,,0.95,2.1,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.01,0.48,0.32,1.0,0.69,,0.88,0.76,0.7,0.68,0.67,0.61,0.59,0.48,0.99,0.68
DEWP_1_0,1.52,1.52,,,,0.99,0.4,1.32,1.5,1.03,,0.99,0.87,,,1.49,1.03
DEWP_0_0,2.71,2.38,,,,1.95,1.09,1.9,,1.47,,1.33,1.69,,,2.65,
WSPM_0_1,1.15,1.15,0.56,,1.13,0.75,0.4,1.0,0.9,0.8,1.38,0.78,0.66,0.46,0.46,1.13,0.75
WSPM_0_2,1.33,1.34,0.59,0.47,1.31,0.68,,1.08,1.0,0.92,0.7,0.89,0.41,,,1.29,0.82
WSPM_0_0,1.45,1.45,,,1.43,0.98,0.66,1.3,0.91,1.0,0.88,0.93,1.04,,0.7,1.43,1.04
WSPM_0_3,1.5,1.5,,,1.48,,,0.71,1.44,1.09,1.0,0.94,,,,1.48,1.03
WSPM_1_0,1.53,1.52,,,1.5,1.01,,1.32,1.11,1.07,0.94,1.0,1.16,,,1.5,1.13
WSPM_1_1,1.68,1.67,,,1.63,1.15,0.72,1.45,,0.95,,0.87,1.0,,,1.63,1.3
WSPM_0_4,1.72,1.71,,,1.69,,,2.2,,,,1.38,,1.0,,1.68,1.23
WSPM_1_2,2.18,2.07,,,2.15,,,2.17,,1.4,,1.5,,,1.05,2.13,
PM10_0,1.02,1.02,0.5,0.32,1.01,0.67,0.41,0.88,0.77,0.71,0.68,0.67,0.62,0.6,0.49,1.0,0.68
PM10_1,1.49,1.49,,,1.47,0.95,,1.33,1.14,0.87,0.96,0.89,0.71,0.87,,1.46,1.0
