,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,0.9,1.22,,,,,0.95,1.08,0.9,1.0,,,,1.03,0.95,1.1,1.42,1.38,,0.98,1.02,1.02,0.85,0.69,0.6,0.71,0.68,0.72,,1.25,0.93
TEMP_0_0,1.22,0.9,,,,,1.17,0.92,0.96,0.91,,,,1.17,0.88,1.72,0.84,0.76,,0.99,1.0,0.93,1.09,0.74,0.66,0.65,0.68,0.56,,1.24,0.97
TEMP_1_1,,,0.83,,,,1.11,,1.13,,0.69,,,1.53,2.28,0.86,,,,1.23,1.06,1.28,1.22,0.81,0.68,0.86,1.07,,,1.43,1.38
TEMP_0_2,,,,0.75,,,2.19,,,1.13,,0.74,,1.87,1.39,,,0.96,,2.03,1.65,1.67,1.07,1.03,0.96,1.1,1.02,,,1.92,1.45
TEMP_0_1,,,,,0.73,,2.49,1.91,2.34,1.11,,0.97,,3.78,,,0.91,,,2.06,2.04,1.28,,1.15,1.1,1.09,1.18,0.65,,2.09,1.46
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.07,1.22,0.94,1.42,1.18,,0.88,1.71,1.12,,,,,1.13,1.2,0.94,1.24,1.27,,1.11,1.02,1.06,0.93,0.78,0.69,0.73,0.69,0.65,,1.33,0.97
PRES_1_1,1.18,0.99,,,0.9,,1.77,0.87,1.96,,,,,1.25,0.95,,0.84,0.78,,1.04,1.04,0.97,1.17,0.76,0.66,0.71,0.75,0.62,,1.32,1.02
PRES_1_0,1.13,1.25,1.19,,,,1.25,2.58,0.84,,,,,1.23,1.09,1.15,1.27,,,1.17,1.19,1.12,0.97,0.8,0.66,0.86,0.84,0.85,,1.41,1.24
PRES_1_2,1.54,1.42,,0.87,0.78,,,,,0.79,,,,1.56,1.12,,0.98,,,1.37,1.51,1.31,1.16,0.86,0.82,0.84,0.89,0.7,,1.66,1.28
PRES_0_1,,,1.1,,,,,,,,0.74,,,,,1.08,,,,1.49,1.39,,,1.05,0.89,1.09,,,,1.89,1.64
PRES_1_3,,,,0.84,1.0,,,,,,,0.73,,2.59,1.63,,1.25,0.97,,2.09,1.63,1.47,1.31,1.18,1.07,1.11,1.14,0.73,,2.05,1.53
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.91,1.01,1.05,0.81,1.32,,0.9,1.01,0.85,0.89,,0.93,,0.92,1.13,,,,,0.92,0.98,0.88,0.77,0.73,0.6,0.65,0.65,,,1.18,0.85
DEWP_0_0,1.25,1.11,2.04,0.93,,,1.44,1.17,1.13,0.91,,1.0,,1.56,0.84,,,,,1.24,1.1,1.26,1.27,0.74,0.68,0.75,0.75,0.64,,1.42,1.36
DEWP_1_1,1.47,2.25,0.88,,,,1.15,,1.14,,0.69,,,,,0.82,,,,1.24,1.05,1.56,1.22,0.83,0.68,0.86,1.08,,,1.45,1.27
DEWP_0_2,2.23,1.46,,,0.7,,1.82,1.32,1.6,1.08,,0.93,,,,,0.78,,,1.45,1.72,1.14,,0.97,0.9,0.9,0.95,0.62,,1.76,1.29
DEWP_0_1,2.25,1.39,,0.87,,,1.91,1.3,,,,0.79,,,,,,0.77,,1.5,1.56,1.4,1.27,0.96,0.94,0.92,0.81,0.67,,1.78,1.43
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.15,1.15,1.11,1.07,1.09,,1.09,1.16,1.09,0.99,0.82,0.98,,1.19,1.24,1.08,0.96,0.95,,0.86,2.55,,,0.96,0.86,0.68,,,,1.36,1.02
WSPM_0_1,1.24,1.16,0.97,1.0,1.24,,1.16,1.17,1.03,1.12,0.81,0.91,,1.34,0.99,0.94,1.28,1.06,,1.2,0.86,,,0.96,0.62,0.94,1.04,,,1.34,1.19
WSPM_0_3,1.3,1.23,1.31,1.11,0.74,,1.21,1.19,1.15,1.1,,0.87,,1.3,1.29,1.46,0.88,1.04,,,2.78,0.83,,1.19,1.02,1.03,,,,1.56,1.01
WSPM_0_4,1.32,1.58,1.4,0.84,,,1.27,1.61,1.18,1.18,,0.89,,1.35,1.55,1.41,,1.13,,,,,0.8,1.51,1.26,,,,,1.73,1.11
WSPM_0_0,1.71,1.68,1.46,1.27,1.09,,1.76,1.72,1.54,1.28,1.17,1.36,,1.92,1.36,1.53,1.29,1.34,,2.22,1.56,1.91,,0.78,0.71,1.02,1.09,,,1.86,2.17
WSPM_1_0,1.79,1.81,1.54,1.42,1.34,,1.66,1.82,1.78,1.44,1.32,1.47,,2.0,1.49,1.53,1.5,1.62,,1.66,1.56,2.02,2.05,0.91,0.83,1.19,1.48,,,2.01,2.31
WSPM_1_1,1.77,1.96,1.83,1.56,1.54,,2.24,1.75,1.72,1.53,1.44,1.39,,2.98,1.43,1.96,1.53,1.32,,3.09,1.58,2.12,,0.95,0.99,0.74,,,,2.11,
WSPM_1_2,2.05,1.77,2.26,1.43,1.47,,2.15,1.7,1.7,1.59,,1.4,,3.35,1.39,2.21,1.55,1.26,,,1.96,,,1.02,1.26,,0.71,,,2.15,
WSPM_1_3,2.53,2.67,,,1.32,,2.61,2.43,2.21,1.89,,1.68,,,2.14,,1.65,1.58,,,,,,1.71,,,,0.63,,2.85,2.75
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.86,0.87,0.76,0.68,0.66,,0.85,0.86,0.77,0.73,0.63,0.66,,0.95,0.76,0.76,0.73,0.69,,0.82,0.78,0.84,0.79,0.56,0.5,0.55,0.56,0.47,,0.97,0.93
PM10_1,1.19,1.15,1.35,0.86,0.8,,1.09,1.14,1.12,1.02,1.04,0.79,,1.17,1.19,1.23,0.91,0.97,,1.15,1.35,0.95,0.88,0.69,0.65,0.63,,,,1.62,0.87
