,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,1.0,,,,,0.96,0.96,0.92,0.83,,,,1.04,0.89,0.89,0.81,0.79,,0.94,0.93,0.9,0.84,0.76,0.71,0.72,0.67,0.6,,1.14,0.93
TEMP_0_0,1.0,1.0,,,,,0.99,0.97,0.9,0.83,,,,1.05,0.91,0.89,0.81,0.8,,0.94,0.94,0.9,0.84,0.75,0.76,0.68,0.7,0.57,,1.14,0.95
TEMP_1_1,,,1.0,,,,1.08,,1.01,,0.84,,,1.16,1.04,0.99,,,,1.05,1.04,1.0,0.94,0.84,0.8,0.78,0.77,,,1.27,1.05
TEMP_0_2,,,,1.0,,,1.22,,,1.1,,0.96,,1.37,1.18,,,1.04,,1.25,1.22,1.17,1.1,0.97,0.94,0.92,0.9,,,1.49,1.23
TEMP_0_1,,,,,1.0,,1.31,1.33,,1.14,,0.99,,1.42,,,1.1,,,1.28,1.24,1.22,,1.05,1.01,0.94,0.93,0.78,,1.56,1.28
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.04,1.01,0.93,0.79,0.76,,1.0,0.97,0.96,,,,,1.08,0.93,0.92,0.83,0.82,,0.98,0.96,0.94,0.87,0.78,0.78,0.7,0.67,0.6,,1.18,0.97
PRES_1_1,1.04,1.03,,,0.75,,1.03,1.0,,,,,,1.08,0.93,,0.84,0.82,,0.97,0.97,0.93,0.88,0.79,0.74,0.74,0.72,0.6,,1.18,0.97
PRES_1_0,1.09,1.11,0.99,,,,1.05,,1.0,,,,,1.15,0.99,0.98,0.88,,,1.02,1.04,0.98,0.92,0.83,0.76,0.78,0.78,0.64,,1.25,1.03
PRES_1_2,1.2,1.2,,0.91,0.88,,,,,1.0,,,,1.25,1.09,,0.97,,,1.13,1.13,1.07,1.0,0.9,0.87,0.83,0.82,0.69,,1.37,1.11
