,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.06,1.0,,,,5.65,1.47,0.59,1.47,0.31,,,5.65,1.47,0.77,0.36,0.05,0.05,5.65,0.99,0.92,0.63,0.85,1.66,3.19,1.15,0.6,0.29,5.65,1.12,1.62,1.35
TEMP_0_0,1.14,2.1,0.02,,,,0.68,1.51,0.76,0.52,,,,0.87,1.62,0.03,0.62,0.89,,0.98,1.11,0.81,0.25,2.23,3.5,1.73,1.33,0.45,,1.23,1.48,1.09
TEMP_1_1,,,3.27,,,,1.38,,0.91,,2.56,,,0.42,0.1,2.59,,,,0.84,1.66,0.36,0.35,2.25,4.87,1.08,0.18,,,1.46,1.31,0.14
TEMP_0_2,,,,6.29,,,0.13,,,1.72,,4.61,,0.75,1.01,,,2.3,,0.37,0.63,0.42,2.07,1.77,2.76,1.25,1.02,,,1.09,1.24,1.43
TEMP_0_1,,,,,7.46,,0.34,0.56,0.33,2.42,,1.55,,0.11,,,4.85,,,0.31,0.21,2.28,,2.06,2.72,1.25,0.68,2.42,,1.11,1.66,2.84
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.26,0.72,1.06,0.04,0.06,7.050000000000001,2.38,0.21,1.08,0.04,,,7.050000000000001,1.17,0.5,0.95,0.1,0.09,7.050000000000001,0.9,1.13,0.68,0.74,1.66,3.47,0.81,0.54,0.17,7.050000000000001,1.15,1.63,1.2
PRES_1_1,1.14,1.81,,,0.29,,0.3,2.42,0.13,,,,,0.82,1.08,,0.85,1.05,,0.94,1.09,0.91,0.28,2.02,3.51,1.57,1.09,0.47,,1.17,1.51,1.39
PRES_1_0,1.58,1.18,0.61,,,,1.23,0.07,3.03,,,,,1.29,1.18,0.64,0.15,,,0.72,1.06,0.68,0.84,2.23,3.69,1.29,0.86,0.38,,1.34,1.49,0.61
PRES_1_2,1.09,1.09,,1.36,1.92,,0.13,,,4.39,,,,0.91,1.74,,1.22,,,0.88,0.68,0.65,0.62,2.62,3.53,2.0,1.1,0.87,,1.21,1.46,1.22
PRES_0_1,,,3.2,,,,,,,,6.73,,,,,3.32,,,,1.39,1.58,,,2.06,4.65,1.41,,,,1.42,1.15,0.18
PRES_1_3,,,,4.99,1.56,,0.18,,,,,7.5,,0.31,0.61,,1.04,2.97,,0.46,0.81,1.08,1.19,1.31,2.37,1.65,0.77,0.57,,1.14,1.17,2.2
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.64,1.13,0.35,0.34,0.02,4.44,1.35,0.65,1.26,0.45,,0.09,4.44,1.74,0.7,,,,4.44,1.0,0.78,0.84,0.99,1.25,2.93,0.68,0.21,,4.44,1.05,1.67,1.44
DEWP_0_0,1.33,1.76,0.04,0.57,,,0.64,0.99,0.81,1.13,,0.3,,0.79,3.12,,,,,0.6,1.6,0.48,0.21,3.26,4.51,2.76,2.0,0.61,,1.42,1.17,0.54
DEWP_1_1,0.41,0.04,2.66,,,,1.32,,1.08,,2.71,,,,,3.4,,,,0.89,1.82,0.18,0.37,2.3,4.98,0.95,0.23,,,1.39,1.5,0.28
DEWP_0_2,0.3,1.01,,,4.07,,0.47,1.3,0.56,1.29,,0.87,,,,,4.98,,,0.84,0.3,1.59,,2.12,2.9,1.67,0.87,1.36,,1.18,1.56,2.22
DEWP_0_1,0.39,1.4,,2.16,,,0.29,1.59,,,,2.58,,0.08,0.07,,,5.37,,0.86,0.75,0.71,0.55,2.3,2.55,2.04,2.26,1.46,,1.31,1.22,1.25
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.36,1.19,0.55,0.15,0.14,,0.97,0.84,0.94,0.53,0.65,0.17,,1.04,0.73,0.55,0.48,0.44,,2.64,0.66,0.04,,0.74,3.04,0.48,0.12,,,1.24,1.62,0.75
WSPM_0_1,0.98,0.91,1.06,0.31,0.08,,0.98,0.7,0.84,0.29,0.87,0.36,,0.74,1.21,1.2,0.13,0.27,,0.32,2.66,0.17,0.13,3.1,5.92,1.94,0.8,,,1.42,1.26,0.39
WSPM_0_3,0.97,1.24,0.36,0.25,1.32,,0.94,1.0,0.94,0.53,,0.61,,1.01,0.66,0.14,1.18,0.46,,0.14,0.23,3.23,,0.76,1.65,0.63,,,,0.91,1.74,2.31
WSPM_0_4,1.32,0.83,0.34,1.66,,,1.28,0.32,1.31,0.69,,0.81,,1.36,0.45,0.35,,0.51,,,0.12,,4.24,0.42,1.05,0.32,,,,0.9,1.87,1.89
WSPM_0_0,1.04,1.02,0.79,0.51,0.52,,1.1,0.59,0.88,0.91,0.73,0.26,,0.79,1.29,0.67,0.59,0.5,,0.56,1.07,0.31,0.14,5.67,6.59,2.74,1.41,,,1.39,1.17,0.89
WSPM_1_0,1.13,0.98,0.92,0.41,0.35,,1.11,0.62,1.06,0.6,0.67,0.25,,0.87,1.18,0.88,0.39,0.28,,0.51,1.47,0.36,0.22,3.92,5.42,1.54,0.73,,,1.34,1.28,0.85
WSPM_1_1,1.02,1.32,0.43,0.32,0.5,,0.97,0.94,0.68,0.82,0.41,0.42,,0.82,1.41,0.44,0.71,0.84,,0.76,0.84,0.43,0.18,3.5,3.26,7.78,1.02,,,1.47,1.23,
WSPM_1_2,1.02,1.34,0.18,0.59,0.39,,1.22,1.0,1.08,0.65,,0.48,,0.71,1.59,0.19,0.59,1.48,,0.85,0.87,,,3.37,2.95,0.55,9.3,,,1.43,1.19,
WSPM_1_3,0.63,1.15,,,2.7,,0.74,0.82,0.84,1.05,,0.93,,,0.97,,1.8,1.81,,,,,,2.97,0.98,,,19.22,,1.49,,0.63
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.02,1.03,0.78,0.46,0.34,,0.92,0.72,1.0,0.54,0.57,0.45,,0.84,1.13,0.67,0.48,0.58,,0.9,1.3,0.45,0.33,2.78,4.37,1.92,1.38,0.66,,1.48,1.12,0.44
PM10_1,1.28,1.11,0.5,0.37,0.41,,1.12,0.77,0.92,0.56,0.42,0.19,,1.05,0.75,0.65,0.38,0.31,,0.95,0.88,0.93,0.86,1.17,2.86,0.73,0.09,,,1.02,2.06,1.25
PM10_2,1.21,1.29,,0.73,1.05,,1.28,0.9,0.8,0.55,,1.14,,1.15,0.35,,1.12,0.58,,0.5,0.15,1.7,1.27,0.1,0.86,,,,,0.26,1.73,5.16
