,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,1.0,,,,,0.97,0.97,0.95,0.88,,,,1.03,0.92,0.93,0.87,0.86,,0.96,0.96,0.93,0.89,0.83,0.79,0.81,0.76,0.71,,1.1,0.95
TEMP_0_0,1.0,1.0,,,,,1.0,0.98,0.93,0.88,,,,1.03,0.94,0.92,0.87,0.86,,0.96,0.96,0.93,0.89,0.82,0.84,0.76,0.79,0.68,,1.09,0.97
TEMP_1_1,,,1.0,,,,1.05,,1.0,,0.89,,,1.11,1.04,0.99,,,,1.03,1.03,1.0,0.96,0.89,0.86,0.85,0.84,,,1.18,1.03
TEMP_0_2,,,,1.0,,,1.13,,,1.07,,0.97,,1.24,1.11,,,1.02,,1.17,1.15,1.11,1.06,0.98,0.96,0.94,0.93,,,1.31,1.15
TEMP_0_1,,,,,1.0,,1.2,1.22,,1.09,,0.99,,1.27,,,1.07,,,1.18,1.15,1.15,,1.04,1.01,0.95,0.96,0.84,,1.35,1.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.03,1.0,0.95,0.86,0.83,,1.0,0.97,0.97,,,,,1.05,0.95,0.95,0.88,0.88,,0.99,0.97,0.96,0.91,0.84,0.86,0.78,0.75,0.71,,1.12,0.98
PRES_1_1,1.03,1.02,,,0.82,,1.03,1.0,,,,,,1.06,0.95,,0.89,0.88,,0.98,0.98,0.95,0.92,0.85,0.82,0.82,0.81,0.71,,1.12,0.98
PRES_1_0,1.05,1.08,1.0,,,,1.03,,1.0,,,,,1.1,0.99,0.99,0.92,,,1.01,1.03,0.99,0.95,0.88,0.82,0.85,0.85,0.74,,1.16,1.02
PRES_1_2,1.13,1.13,,0.94,0.91,,,,,1.0,,,,1.16,1.06,,0.98,,,1.09,1.09,1.05,1.0,0.93,0.91,0.88,0.88,0.78,,1.24,1.07
