,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.02,66.84,1676.56,1.09,12.91,493.12,3.19,6.6,27.18,12.26,63.36,54.6,25.89,123.17,1.91,6.65,496.02
PRES_0_1,1.0,1.03,,,1.09,13.12,459.86,3.2,6.41,27.48,12.46,63.56,55.49,26.31,116.45,1.91,6.72,504.08
PRES_0_0,1.0,,4502.57,,1.2,,,3.04,17.59,9.42,,54.71,,,495.31,2.21,2.46,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.02,68.58,1832.98,1.19,0.38,,3.05,7.12,26.95,13.4,63.41,47.13,28.3,129.3,1.91,6.76,510.59
DEWP_1_0,0.98,1.02,,,,150.17,1577.34,4.79,1.13,29.14,,63.24,130.43,,,1.88,5.39,322.64
DEWP_0_0,0.97,0.79,,,,93.99,43316.28,2.65,,37.96,,55.13,213.01,,,2.15,6.72,
WSPM_0_1,1.0,1.02,55.2,,1.04,19.11,446.8,5.3,1.15,25.28,,71.81,47.53,,42.9,1.96,6.47,521.26
WSPM_0_2,1.0,0.99,160.34,9171.71,1.18,1.61,,0.46,29.26,10.04,1.17,32.88,4.07,,,1.94,6.27,301.5
WSPM_0_0,1.0,1.02,,,1.08,14.28,789.19,2.99,2.34,67.11,3.16,126.26,97.96,,150.04,1.91,7.15,605.04
WSPM_0_3,1.0,1.03,,,1.2,,,,1.03,7.29,116.49,19.42,,,,1.68,7.98,1071.75
WSPM_1_0,1.0,1.02,,,1.09,13.47,,3.41,3.45,48.65,4.33,91.42,56.36,,,1.92,6.81,520.95
WSPM_1_1,1.0,1.03,,,0.92,36.19,2668.78,3.73,,36.44,,48.24,360.56,,,1.87,7.23,
WSPM_0_4,1.0,1.03,,,1.2,,,,,,,11.75,,576.49,,1.81,5.99,
WSPM_1_2,1.0,0.93,,,1.2,,,2.04,,34.27,,32.25,,,4956.56,2.15,3.48,
PM10_0,1.0,1.01,95.54,2492.24,1.09,14.13,664.05,3.24,6.54,28.51,10.42,66.05,61.65,25.95,176.72,2.17,4.81,265.19
PM10_1,1.0,1.03,,,1.13,8.07,,3.06,6.93,23.88,16.36,56.59,40.88,19.78,,1.48,11.13,841.18
PM10_2,1.0,1.03,,,1.16,,,3.14,,27.41,28.77,64.32,,,,0.91,11.46,8367.92
