,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.19,1.06,0.55,0.65,0.81,,1.09,0.71,1.53,1.53,,1.08,0.95,0.88,0.89,0.94,0.9,0.98,1.53,1.19,,1.03,0.93,1.04
TEMP_0_1,,4.68,,,,0.49,1.44,1.92,1.06,0.9,,1.34,,,,,0.92,0.89,1.51,1.03,1.32,1.1,0.95,,0.46,,0.93,1.15,0.89
TEMP_0_0,,,7.63,,,0.87,,1.65,2.69,2.11,,,4.05,,,,0.72,1.41,0.73,1.48,0.79,1.35,1.21,,0.96,,0.95,1.1,1.02
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.19,0.49,0.86,,,2.26,,,,,,1.06,0.86,,,,1.13,0.98,0.81,1.12,1.03,1.2,1.12,0.66,0.66,,1.15,0.89,0.59
PRES_1_3,1.06,1.44,,,,,3.69,,,,,1.14,0.58,,,,0.68,0.84,1.25,0.79,1.01,0.79,0.77,2.62,1.67,,0.88,0.96,1.71
PRES_1_1,0.55,1.93,1.67,,,,,8.75,,,,0.65,2.05,,,,1.23,0.72,0.78,1.33,1.67,0.93,0.99,,1.14,,1.12,0.85,0.6
PRES_1_0,0.65,1.06,2.69,,,,,,8.75,1.21,,0.86,1.43,,,,0.65,1.64,1.28,1.04,0.34,0.81,1.3,,1.07,,0.92,1.23,0.81
PRES_0_0,0.81,0.9,2.11,,,,,,1.21,12.2,,0.88,1.13,10.41,,,1.59,1.23,1.16,0.46,0.67,0.95,0.69,,,,0.47,1.78,1.79
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.09,1.34,,,,1.06,1.14,0.65,0.86,0.88,,1.34,,,,,1.13,0.93,1.15,0.96,0.85,1.02,1.0,0.87,0.72,,0.98,1.03,1.03
DEWP_0_1,0.71,,4.06,,,0.86,0.58,2.05,1.43,1.13,,,4.05,,,,0.53,1.25,0.58,1.14,1.48,0.98,1.0,1.3,1.88,,1.08,0.88,0.88
DEWP_0_0,1.53,,,,,,,,,10.01,,,,170.47,,,3.67,,,,,,,,,,,2.1,
DEWP_1_0,1.53,,,,,,,,,,,,,,234.0,,3.48,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.92,0.72,,,1.13,0.68,1.21,0.67,1.56,,1.13,0.53,3.67,2.98,,4.65,,,,,,0.17,,,,0.54,1.54,1.96
WSPM_0_1,0.96,0.89,1.41,,,0.99,0.84,0.72,1.63,1.23,,0.93,1.26,,,,,4.42,,,,0.14,0.7,,,,1.1,0.93,0.57
WSPM_0_2,0.88,1.51,0.75,,,0.81,1.26,0.78,1.3,1.1,,1.15,0.58,,,,,,6.37,,,,0.33,,,,0.65,1.63,1.25
WSPM_0_0,0.89,1.04,1.48,,,1.12,0.79,1.32,0.97,0.61,,0.96,1.13,,,,,,,5.69,0.51,1.17,4.05,,,,1.49,0.32,0.25
WSPM_1_2,0.94,1.32,0.79,,,1.01,1.01,1.68,0.34,0.74,,0.85,1.48,,,,,,,0.45,9.64,,,,,,1.55,0.24,
WSPM_1_1,0.9,1.1,1.35,,,1.2,0.77,0.93,0.86,0.95,,1.02,0.98,,,,,0.2,,1.02,,12.7,,,,,1.47,0.4,
WSPM_1_0,0.98,0.95,1.21,,,1.13,0.77,1.03,1.35,0.52,,1.01,1.0,,,,0.15,0.63,0.23,4.32,,,5.18,,,,1.36,0.51,0.34
WSPM_0_4,1.52,,,,,0.66,2.61,,,,,0.87,1.31,,,,,,,,,,,17.9,,,0.21,1.84,3.0
WSPM_1_3,1.19,0.44,0.96,,,0.66,1.66,1.14,0.99,,,0.72,1.84,,,,,,,,,,,,27.16,,1.39,0.21,0.93
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.03,0.93,0.95,,,1.14,0.88,1.12,0.91,0.49,,0.98,1.08,,,,0.53,1.1,0.63,1.46,1.6,1.5,1.37,0.19,1.46,,1.61,0.18,
PM10_1,0.93,1.15,1.1,,,0.89,0.96,0.85,1.27,1.73,,1.03,0.89,1.91,,,1.55,0.94,1.66,0.33,0.17,0.31,0.53,1.89,0.19,,0.18,2.89,0.4
PM10_2,1.03,0.88,1.02,,,0.59,1.71,0.59,0.79,1.83,,1.02,0.89,,,,2.01,0.54,1.3,0.27,,,0.28,3.03,0.66,,,0.4,7.81
