,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.56,,0.99,0.71,0.47,0.89,0.79,0.74,0.72,0.71,0.66,0.65,0.56,0.98,0.72
PRES_0_1,1.0,1.0,,,0.99,0.71,0.5,0.89,0.8,0.74,0.72,0.71,0.66,0.65,0.57,0.99,0.72
PRES_0_0,2.37,,0.57,,2.34,,,2.19,1.6,,,,,,0.9,2.28,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.02,1.02,0.57,,0.99,,,0.92,0.8,0.76,0.72,0.73,0.7,0.65,0.56,1.0,0.73
DEWP_1_0,1.67,1.66,,,,0.72,,1.36,2.04,1.24,,1.18,0.92,,,1.64,1.39
DEWP_0_0,3.07,3.15,,,,,0.51,,,,,,1.31,,,2.94,
WSPM_0_1,1.19,1.19,0.7,,1.19,0.78,,0.9,,,,0.99,0.91,,,1.17,0.85
WSPM_0_2,1.41,1.42,0.66,,1.38,1.46,,,0.8,,,1.35,,,,1.39,0.99
WSPM_0_0,1.57,1.56,,,1.55,1.1,,,,0.82,,0.83,1.29,,,1.53,1.2
WSPM_0_3,1.63,1.62,,,1.58,,,,,,0.73,1.59,,,,1.62,1.06
WSPM_1_0,1.66,1.65,,,1.64,1.19,,1.58,1.67,0.97,1.79,0.93,,,,1.62,1.33
WSPM_1_1,1.86,1.85,,,1.9,1.11,0.63,2.91,,1.15,,,0.7,,,1.8,1.59
WSPM_0_4,1.91,1.9,,,1.86,,,,,,,,,0.66,,1.9,1.52
WSPM_1_2,2.4,2.44,0.93,,2.38,,,,,,,,,,0.58,2.3,
PM10_0,1.03,1.03,0.56,,1.01,0.73,0.47,0.91,0.81,0.77,0.75,0.74,0.67,0.68,0.56,0.99,0.96
PM10_1,1.62,1.61,,,1.59,1.32,,1.47,1.36,1.13,1.07,1.05,1.2,1.15,,2.05,0.78
